GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,MIN,DEN
2023111911,2023-11-19,2,4,51,DEN,MIN,3,7,83,0,0,"(4:51) (SHOTGUN) 3-R.WILSON PASS SHORT LEFT TO 10-J.JEUDY TO MIN 12 FOR 5 YARDS (54-A.BARR, 44-J.METELLUS).",0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,17,OPP,0,,0,,0,1509,0,0
2023111911,2023-11-19,2,4,11,DEN,MIN,4,2,88,0,0,"(4:11) 16-W.LUTZ 31 YARD FIELD GOAL IS GOOD, CENTER-48-M.FRABONI, HOLDER-9-R.DIXON.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,1549,0,0
2023111911,2023-11-19,2,4,8,MIN,DEN,0,0,65,1,0,"16-W.LUTZ KICKS 65 YARDS FROM DEN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1552,0,0
2023111911,2023-11-19,2,4,8,MIN,DEN,1,10,25,0,0,(4:08) 2-A.MATTISON LEFT GUARD TO MIN 27 FOR 2 YARDS (99-Z.ALLEN).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OWN,0,,0,,0,1552,0,0
2023111911,2023-11-19,2,4,8,DEN,MIN,0,0,100,1,0,TIMEOUT AT 04:08.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1552,0,0
2023111911,2023-11-19,2,3,32,MIN,DEN,2,8,27,0,0,"(3:32) 15-J.DOBBS FUMBLES (ABORTED) AT MIN 26, AND RECOVERS AT MIN 26.",0,2023,0,UNDER CENTER,FUMBLES,0,0,0,0,,0,0,0,,0,1,0,0,0,,27,OWN,0,,0,,0,1588,0,0
2023111911,2023-11-19,2,2,48,MIN,DEN,3,9,26,0,0,"(2:48) (SHOTGUN) 15-J.DOBBS PASS DEEP MIDDLE TO 3-J.ADDISON TO MIN 43 FOR 17 YARDS (2-P.SURTAIN). PENALTY ON DEN-29-J.MCMILLIAN, ILLEGAL CONTACT, DECLINED.",0,2023,17,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,1,0,0,,26,OWN,0,DEN,0,ILLEGAL CONTACT,0,1632,0,0
2023111911,2023-11-19,2,2,28,MIN,DEN,1,10,43,0,0,"(2:28) 15-J.DOBBS PASS SHORT RIGHT TO 87-T.HOCKENSON TO DEN 41 FOR 16 YARDS (0-J.COOPER) [31-J.SIMMONS]. PENALTY ON MIN-67-E.INGRAM, INELIGIBLE DOWNFIELD PASS, 5 YARDS, ENFORCED AT MIN 43 - NO PLAY.",0,2023,16,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,43,OWN,1,MIN,1,INELIGIBLE DOWNFIELD PASS,5,1652,0,0
2023111911,2023-11-19,2,2,8,MIN,DEN,1,15,38,0,0,(2:08) (SHOTGUN) 15-J.DOBBS PASS SHORT MIDDLE TO 87-T.HOCKENSON TO MIN 49 FOR 11 YARDS (49-A.SINGLETON).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,1672,0,0
2023111911,2023-11-19,2,2,0,MIN,DEN,2,4,49,0,0,(2:00) (SHOTGUN) 2-A.MATTISON LEFT GUARD TO DEN 48 FOR 3 YARDS (49-A.SINGLETON).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,49,OWN,0,,0,,0,1680,0,0
