GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CLE,PIT
2023111901,2023-11-19,1,4,35,CLE,PIT,0,0,85,1,0,"7-D.HOPKINS EXTRA POINT IS GOOD, CENTER-47-C.HUGHLETT, HOLDER-13-C.BOJORQUEZ.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,625,0,0
2023111901,2023-11-19,1,4,35,PIT,CLE,0,0,65,1,0,"7-D.HOPKINS KICKS 65 YARDS FROM CLE 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,625,0,0
2023111901,2023-11-19,1,4,35,CLE,PIT,0,0,100,1,0,TIMEOUT AT 04:35.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,625,0,0
2023111901,2023-11-19,1,4,35,PIT,CLE,1,10,25,0,0,(4:35) (SHOTGUN) 8-K.PICKETT PASS SHORT LEFT TO 14-G.PICKENS TO PIT 31 FOR 6 YARDS (26-R.MCLEOD; 23-M.EMERSON).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,625,0,0
2023111901,2023-11-19,1,4,3,PIT,CLE,2,4,31,1,0,(4:03) 22-N.HARRIS LEFT GUARD TO PIT 36 FOR 5 YARDS (22-G.DELPIT).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,31,OWN,0,,0,,0,657,0,0
2023111901,2023-11-19,1,3,24,PIT,CLE,1,10,36,0,0,(3:24) 14-G.PICKENS RIGHT END TO PIT 35 FOR -1 YARDS (0-G.NEWSOME).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,36,OWN,0,,0,,0,696,0,0
2023111901,2023-11-19,1,2,44,PIT,CLE,2,11,35,0,0,(2:44) (SHOTGUN) 8-K.PICKETT PASS SHORT LEFT TO 30-J.WARREN TO PIT 35 FOR NO GAIN (0-G.NEWSOME; 23-M.EMERSON).,0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,736,0,0
2023111901,2023-11-19,1,1,58,PIT,CLE,3,11,35,0,0,(1:58) (SHOTGUN) 8-K.PICKETT PASS SHORT RIGHT TO 80-D.WASHINGTON RAN OB AT PIT 43 FOR 8 YARDS (22-G.DELPIT).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,782,0,0
2023111901,2023-11-19,1,1,58,PIT,CLE,0,0,100,1,0,TIMEOUT #2 BY PIT AT 01:58.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,782,0,0
2023111901,2023-11-19,1,1,23,PIT,CLE,4,3,43,0,0,"(1:23) 6-P.HARVIN PUNTS 47 YARDS TO CLE 10, CENTER-46-C.KUNTZ, FAIR CATCH BY 11-J.PROCHE.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,817,0,0
