GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,DAL,CAR
2023111900,2023-11-19,2,0,24,CAR,DAL,0,0,65,1,0,"17-B.AUBREY KICKS 65 YARDS FROM DAL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1776,0,0
2023111900,2023-11-19,3,15,0,CAR,DAL,0,0,65,1,0,"17-B.AUBREY KICKS 65 YARDS FROM DAL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1800,0,0
2023111900,2023-11-19,3,15,0,CAR,DAL,1,10,25,0,0,"(15:00) 30-C.HUBBARD LEFT END TO CAR 32 FOR 7 YARDS (14-M.BELL). PENALTY ON CAR-19-A.THIELEN, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT CAR 26.",0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT END,25,OWN,1,CAR,0,OFFENSIVE HOLDING,10,1800,0,0
2023111900,2023-11-19,2,0,0,CAR,DAL,0,0,100,1,0,END QUARTER 2,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1800,0,0
2023111900,2023-11-19,3,14,49,CAR,DAL,1,19,16,0,0,(14:49) (SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 15-J.MINGO TO CAR 22 FOR 6 YARDS (28-M.HOOKER).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,16,OWN,0,,0,,0,1811,0,0
2023111900,2023-11-19,3,14,15,CAR,DAL,2,13,22,0,0,(14:15) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE SHORT LEFT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,1845,0,0
2023111900,2023-11-19,3,14,12,CAR,DAL,3,13,22,0,0,(14:12) (SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 30-C.HUBBARD TO CAR 28 FOR 6 YARDS (14-M.BELL; 21-S.GILMORE).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,1848,0,0
2023111900,2023-11-19,3,13,37,CAR,DAL,4,7,28,0,0,"(13:37) 10-J.HEKKER PUNTS 52 YARDS TO DAL 20, CENTER-44-J.JANSEN, FAIR CATCH BY 9-K.TURPIN.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,1883,0,0
2023111900,2023-11-19,3,13,30,DAL,CAR,1,10,20,0,0,(13:30) (SHOTGUN) 20-T.POLLARD UP THE MIDDLE TO DAL 23 FOR 3 YARDS (52-D.JOHNSON).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,20,OWN,0,,0,,0,1890,0,0
2023111900,2023-11-19,3,13,30,CAR,DAL,0,0,100,1,0,TIMEOUT AT 13:30.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1890,0,0
2023111900,2023-11-19,3,12,57,DAL,CAR,2,7,23,1,0,(12:57) 4-D.PRESCOTT PASS SHORT RIGHT TO 3-B.COOKS PUSHED OB AT DAL 35 FOR 12 YARDS (32-D.BOOTLE).,0,2023,12,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,1923,0,0
2023111900,2023-11-19,3,12,21,DAL,CAR,1,10,35,0,0,(12:21) 4-D.PRESCOTT PASS SHORT RIGHT TO 87-J.FERGUSON TO DAL 35 FOR NO GAIN (24-V.BELL).,0,2023,0,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,1959,0,0
2023111900,2023-11-19,3,11,46,DAL,CAR,2,10,35,0,0,(11:46) (SHOTGUN) 4-D.PRESCOTT PASS SHORT LEFT TO 88-C.LAMB TO DAL 37 FOR 2 YARDS (32-D.BOOTLE).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,1994,0,0
2023111900,2023-11-19,3,11,10,DAL,CAR,3,8,37,0,0,(11:10) (SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE DEEP RIGHT TO 88-C.LAMB.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,2030,0,0
