GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,BUF,NYJ
2023111909,2023-11-19,1,6,8,BUF,NYJ,3,8,88,0,0,(6:08) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE SHORT RIGHT [47-B.HUFF].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,11,532,0,0
2023111909,2023-11-19,1,5,59,BUF,NYJ,4,8,88,0,0,"(5:59) 2-T.BASS 30 YARD FIELD GOAL IS GOOD, CENTER-69-R.FERGUSON, HOLDER-8-S.MARTIN.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,11,541,0,0
2023111909,2023-11-19,1,5,56,BUF,NYJ,0,0,100,1,0,TIMEOUT AT 05:56.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,11,544,0,0
2023111909,2023-11-19,1,5,56,NYJ,BUF,0,0,65,1,0,2-T.BASS KICKS 59 YARDS FROM BUF 35 TO NYJ 6. 82-X.GIPSON PUSHED OB AT NYJ 34 FOR 28 YARDS (20-T.RAPP).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,11,544,0,0
2023111909,2023-11-19,1,5,50,NYJ,BUF,1,10,34,0,0,"(5:50) 20-BRE.HALL UP THE MIDDLE TO NYJ 34 FOR NO GAIN (25-T.DODSON, 43-T.BERNARD).",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,34,OWN,0,,0,,0,11,550,0,0
2023111909,2023-11-19,1,5,13,NYJ,BUF,2,10,34,1,0,(5:13) (SHOTGUN) 2-Z.WILSON PASS SHORT RIGHT TO 20-BRE.HALL PUSHED OB AT NYJ 48 FOR 14 YARDS (7-TA.JOHNSON).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,11,587,0,0
2023111909,2023-11-19,1,4,36,NYJ,BUF,1,10,48,0,0,(4:36) 20-BRE.HALL RIGHT END TO NYJ 45 FOR -3 YARDS (25-T.DODSON).,0,2023,-3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,48,OWN,0,,0,,0,11,624,0,0
2023111909,2023-11-19,1,3,53,NYJ,BUF,2,13,45,0,0,(3:53) (SHOTGUN) 2-Z.WILSON SACKED AT NYJ 39 FOR -6 YARDS (SACK SPLIT BY 43-T.BERNARD AND 56-L.FLOYD). NYJ-77-M.BECTON WAS INJURED DURING THE PLAY. HE IS OUT.  M.BECTON WALKS OFF GINGERLY.,0,2023,-6,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,11,667,0,0
2023111909,2023-11-19,1,3,26,NYJ,BUF,0,0,100,1,0,TIMEOUT AT 03:26.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,11,694,0,0
2023111909,2023-11-19,1,3,8,NYJ,BUF,3,19,39,0,0,"(3:08) (SHOTGUN) 33-D.COOK UP THE MIDDLE TO NYJ 49 FOR 10 YARDS (56-L.FLOYD, 7-TA.JOHNSON).",0,2023,10,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,39,OWN,0,,0,,0,11,712,0,0
