GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,JAX,TEN
2023111905,2023-11-19,2,5,35,JAX,TEN,3,9,35,0,0,"(5:35) (SHOTGUN) 16-T.LAWRENCE PASS INCOMPLETE DEEP RIGHT TO 7-Z.JONES. PENALTY ON TEN-21-R.MCCREARY, DEFENSIVE PASS INTERFERENCE, 27 YARDS, ENFORCED AT JAX 35 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,1,0,0,,35,OWN,1,TEN,1,DEFENSIVE PASS INTERFERENCE,27,11,1465,0,0
2023111905,2023-11-19,2,5,29,JAX,TEN,1,10,62,1,0,(5:29) (SHOTGUN) 0-C.RIDLEY LEFT END RAN OB AT TEN 20 FOR 18 YARDS (38-T.EDMUNDS).,0,2023,18,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,38,OPP,0,,0,,0,11,1471,0,0
2023111905,2023-11-19,2,4,51,JAX,TEN,1,10,80,0,0,(4:51) 1-T.ETIENNE RIGHT END TO TEN 18 FOR 2 YARDS (37-A.HOOKER).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,20,OPP,0,,0,,0,11,1509,0,0
2023111905,2023-11-19,2,4,10,JAX,TEN,2,8,82,0,0,(4:10) (SHOTGUN) 1-T.ETIENNE RIGHT END TO TEN 11 FOR 7 YARDS (56-M.RICE).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,18,OPP,0,,0,,0,11,1550,0,0
2023111905,2023-11-19,2,3,24,JAX,TEN,3,1,89,0,0,(3:24) 1-T.ETIENNE UP THE MIDDLE TO TEN 12 FOR -1 YARDS (98-J.SIMMONS).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,11,OPP,0,,0,,0,11,1596,0,0
2023111905,2023-11-19,2,2,47,JAX,TEN,4,2,88,0,0,"(2:47) 10-B.MCMANUS 30 YARD FIELD GOAL IS GOOD, CENTER-46-R.MATISCIK, HOLDER-9-L.COOKE.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,11,1633,0,0
2023111905,2023-11-19,2,2,43,TEN,JAX,0,0,65,1,0,10-B.MCMANUS KICKS 55 YARDS FROM JAX 35 TO TEN 10. 32-T.SPEARS TO TEN 21 FOR 11 YARDS (42-A.WINGARD).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,11,1637,0,0
2023111905,2023-11-19,2,2,43,JAX,TEN,0,0,100,1,0,TIMEOUT AT 02:43.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,11,1637,0,0
2023111905,2023-11-19,2,2,39,TEN,JAX,1,10,21,0,0,(2:39) 8-W.LEVIS PASS INCOMPLETE SHORT LEFT TO 22-D.HENRY (44-T.WALKER).,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,11,1641,0,0
2023111905,2023-11-19,2,2,34,TEN,JAX,2,10,21,0,0,(2:34) (SHOTGUN) 8-W.LEVIS PASS SHORT LEFT TO 10-D.HOPKINS RAN OB AT TEN 24 FOR 3 YARDS (5-A.CISCO).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,11,1646,0,0
