GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,CIN,BAL
2023111600,2023-11-16,1,15,0,BAL,CIN,0,0,65,1,0,"2-E.MCPHERSON KICKS 65 YARDS FROM CIN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,11,0,0,0
2023111600,2023-11-16,1,15,0,BAL,CIN,1,10,25,1,0,(15:00) (SHOTGUN) 8-L.JACKSON PASS SHORT RIGHT TO 89-M.ANDREWS RAN OB AT BAL 39 FOR 14 YARDS.,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,11,0,0,0
2023111600,2023-11-16,1,14,20,BAL,CIN,1,10,39,0,0,"(14:20) 35-G.EDWARDS LEFT END TO BAL 40 FOR 1 YARD (98-D.READER, 55-L.WILSON).",0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,39,OWN,0,,0,,0,11,40,0,0
2023111600,2023-11-16,1,13,38,BAL,CIN,2,9,40,1,0,(13:38) (SHOTGUN) 8-L.JACKSON PASS SHORT MIDDLE TO 4-Z.FLOWERS PUSHED OB AT CIN 27 FOR 33 YARDS (23-D.HILL).,0,2023,33,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,11,82,0,0
2023111600,2023-11-16,1,12,58,BAL,CIN,1,10,73,0,0,(12:58) (SHOTGUN) 8-L.JACKSON RIGHT END TO CIN 20 FOR 7 YARDS (23-D.HILL).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,27,OPP,0,,0,,0,11,122,0,0
2023111600,2023-11-16,1,12,16,BAL,CIN,2,3,80,0,0,(12:16) (SHOTGUN) 34-K.MITCHELL RIGHT GUARD TO CIN 21 FOR -1 YARDS (23-D.HILL).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,20,OPP,0,,0,,0,11,164,0,0
2023111600,2023-11-16,1,11,54,BAL,CIN,3,4,79,1,0,"(11:54) (NO HUDDLE, SHOTGUN) 8-L.JACKSON SCRAMBLES LEFT END TO CIN 13 FOR 8 YARDS (57-G.PRATT).",0,2023,8,NO HUDDLE SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,21,OPP,0,,0,,0,11,186,0,0
2023111600,2023-11-16,1,11,5,BAL,CIN,1,10,87,0,0,"(11:05) (SHOTGUN) 8-L.JACKSON PASS SHORT RIGHT TO 89-M.ANDREWS TO CIN 4 FOR 9 YARDS (55-L.WILSON). FUMBLES (55-L.WILSON), AND RECOVERS AT CIN 4. BAL-89-M.ANDREWS WAS INJURED DURING THE PLAY.",0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,,13,OPP,0,,0,,0,11,235,0,0
2023111600,2023-11-16,1,10,53,BAL,CIN,0,0,100,1,0,TIMEOUT AT 10:53.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,11,247,0,0
2023111600,2023-11-16,1,10,40,BAL,CIN,2,1,96,1,0,"(10:40) 35-G.EDWARDS LEFT GUARD TO CIN 3 FOR 1 YARD (23-D.HILL, 92-B.HILL).",0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,4,OPP,0,,0,,0,11,260,0,0
2023111600,2023-11-16,1,10,6,BAL,CIN,1,3,97,1,0,"(10:06) (SHOTGUN) 35-G.EDWARDS LEFT END FOR 3 YARDS, TOUCHDOWN.",0,2023,3,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT END,3,OPP,0,,0,,0,11,294,0,0
2023111600,2023-11-16,1,10,2,BAL,CIN,0,0,85,1,0,"9-J.TUCKER EXTRA POINT IS GOOD, CENTER-69-T.OTT, HOLDER-11-J.STOUT.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,11,298,0,0
