GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2023112610,2023-11-26,4,1,57,LAC,BAL,4,6,54,0,0,"(1:57) (SHOTGUN) 10-J.HERBERT PASS INCOMPLETE SHORT LEFT [10-A.MAULET]. PENALTY ON LAC-10-J.HERBERT, INTENTIONAL GROUNDING, 10 YARDS, ENFORCED AT BAL 46.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,46,OPP,1,LAC,0,INTENTIONAL GROUNDING,10
2023113000,2023-11-30,3,12,26,SEA,DAL,1,10,60,0,0,"(12:26) 26-Z.CHARBONNET LEFT END TO DAL 33 FOR 7 YARDS (14-M.BELL, 92-D.ARMSTRONG). PENALTY ON DAL-14-M.BELL, FACE MASK, 15 YARDS, ENFORCED AT DAL 33.",0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT END,40,OPP,1,DAL,0,FACE MASK,15
2023120306,2023-12-03,2,11,18,WAS,MIA,0,0,85,0,0,"6-J.SLYE EXTRA POINT IS GOOD, CENTER-54-C.CHEESEMAN, HOLDER-5-T.WAY. PENALTY ON MIA-20-J.BETHEL, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED BETWEEN DOWNS.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,1,0,0,,15,OPP,1,MIA,0,DEFENSIVE OFFSIDE,5
2023112302,2023-11-23,1,7,1,SF,SEA,1,10,70,0,0,"(7:01) 23-C.MCCAFFREY UP THE MIDDLE TO SEA 18 FOR 12 YARDS (22-T.BROWN, 56-J.BROOKS). PENALTY ON SF-15-J.JENNINGS, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT SEA 28.",0,2023,12,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,CENTER,30,OPP,1,SF,0,OFFENSIVE HOLDING,10
2023112300,2023-11-23,3,11,46,DET,GB,0,0,98,0,0,"TWO-POINT CONVERSION ATTEMPT. 5-D.MONTGOMERY RUSHES UP THE MIDDLE. ATTEMPT SUCCEEDS. PENALTY ON GB-90-L.VAN NESS, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED BETWEEN DOWNS.",0,2023,0,UNDER CENTER,TWO-POINT CONVERSION,0,0,0,0,,0,0,0,,0,0,1,1,1,,2,OPP,1,GB,0,UNNECESSARY ROUGHNESS,15
2023112604,2023-11-26,4,0,6,NE,NYG,4,5,83,0,0,"(:06) 37-C.RYLAND 35 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-49-J.CARDONA, HOLDER-17-B.BARINGER. PENALTY ON NYG-29-X.MCKINNEY, UNSPORTSMANLIKE CONDUCT, 12 YARDS, ENFORCED BETWEEN DOWNS.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,1,0,0,,17,OPP,1,NYG,0,UNSPORTSMANLIKE CONDUCT,12
2023113000,2023-11-30,2,1,33,DAL,SEA,4,13,87,0,0,"(1:33) 17-B.AUBREY 31 YARD FIELD GOAL IS GOOD, CENTER-44-T.SIEG, HOLDER-5-B.ANGER. PENALTY ON SEA-93-CA.YOUNG, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED BETWEEN DOWNS.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,1,0,0,,13,OPP,1,SEA,0,UNNECESSARY ROUGHNESS,15
2023112600,2023-11-26,2,1,30,ATL,NO,3,4,56,0,0,"(1:30) (NO HUDDLE, SHOTGUN) 9-D.RIDDER SCRAMBLES RIGHT END RAN OB AT NO 38 FOR 6 YARDS (20-P.WERNER). PENALTY ON NO-31-J.HOWDEN, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT NO 38.",0,2023,6,NO HUDDLE SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,1,0,0,,44,OPP,1,NO,0,DEFENSIVE HOLDING,5
2023112600,2023-11-26,4,7,48,NO,ATL,2,2,83,0,0,"(7:48) 41-A.KAMARA RIGHT END TO ATL 9 FOR 8 YARDS (95-T.GRAHAM). PENALTY ON NO-71-R.RAMCZYK, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT ATL 15.",0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT END,17,OPP,1,NO,0,OFFENSIVE HOLDING,10
2023111910,2023-11-19,3,12,11,LA,SEA,4,17,90,0,0,"(12:11) 42-E.EVANS PUNTS 51 YARDS TO SEA 39, CENTER-47-A.WARD, DOWNED BY LAR-26-D.SHELLEY. PENALTY ON LAR-26-D.SHELLEY, KICK CATCH INTERFERENCE, 15 YARDS, ENFORCED AT SEA 39.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,10,OPP,1,LAR,0,KICK CATCH INTERFERENCE,15
