GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,ARI,SF
2023121704,2023-12-17,2,14,11,ARI,SF,0,0,100,1,0,TIMEOUT AT 14:11.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,949,0,0
2023121704,2023-12-17,2,14,11,SF,ARI,1,10,25,0,0,(14:11) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE DEEP MIDDLE TO 19-D.SAMUEL (33-A.HAMILTON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,949,0,0
2023121704,2023-12-17,2,14,11,SF,ARI,0,0,65,1,0,"5-M.PRATER KICKS 65 YARDS FROM ARI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,949,0,0
2023121704,2023-12-17,2,14,5,SF,ARI,2,10,25,0,0,(14:05) 23-C.MCCAFFREY LEFT END TO SF 23 FOR -2 YARDS (21-G.WILLIAMS).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0,955,0,0
2023121704,2023-12-17,2,13,21,SF,ARI,3,12,23,0,0,(13:21) (SHOTGUN) 13-B.PURDY PASS SHORT MIDDLE TO 23-C.MCCAFFREY TO SF 29 FOR 6 YARDS (3-B.BAKER) [44-O.PAPPOE].,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,999,0,0
2023121704,2023-12-17,2,12,40,SF,ARI,4,6,29,0,0,"(12:40) 18-M.WISHNOWSKY PUNTS 40 YARDS TO ARI 31, CENTER-46-T.PEPPER. 83-G.DORTCH TO ARI 31 FOR NO GAIN (26-I.OLIVER).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,1040,0,0
2023121704,2023-12-17,2,12,29,ARI,SF,0,0,100,1,0,TIMEOUT AT 12:29.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1051,0,0
2023121704,2023-12-17,2,12,29,ARI,SF,1,10,31,1,0,(12:29) (SHOTGUN) 1-K.MURRAY RIGHT END PUSHED OB AT ARI 46 FOR 15 YARDS (27-J.BROWN).,0,2023,15,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,31,OWN,0,,0,,0,1051,0,0
2023121704,2023-12-17,2,11,52,ARI,SF,1,10,46,0,0,"(11:52) 83-G.DORTCH UP THE MIDDLE TO SF 49 FOR 5 YARDS (57-D.GREENLAW, 20-A.THOMAS).",0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,46,OWN,0,,0,,0,1088,0,0
2023121704,2023-12-17,2,11,29,ARI,SF,2,5,51,0,0,"(11:29) (NO HUDDLE, SHOTGUN) 1-K.MURRAY PASS SHORT RIGHT TO 4-R.MOORE TO SF 45 FOR 4 YARDS. FUMBLES, AND RECOVERS AT SF 45.",0,2023,4,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,,49,OPP,0,,0,,0,1111,0,0
2023121704,2023-12-17,2,10,53,ARI,SF,3,1,55,0,0,(10:53) (NO HUDDLE) 6-J.CONNER UP THE MIDDLE TO SF 45 FOR NO GAIN (54-F.WARNER).,0,2023,0,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,45,OPP,0,,0,,0,1147,0,0
2023121704,2023-12-17,2,10,15,ARI,SF,4,1,55,1,0,(10:15) 6-J.CONNER UP THE MIDDLE TO SF 43 FOR 2 YARDS (5-R.GREGORY).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,45,OPP,0,,0,,0,1185,0,0
2023121704,2023-12-17,2,9,34,ARI,SF,1,10,57,0,0,(9:34) 6-J.CONNER UP THE MIDDLE TO SF 34 FOR 9 YARDS (7-C.WARD).,0,2023,9,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,43,OPP,0,,0,,0,1226,0,0
2023121704,2023-12-17,2,8,52,ARI,SF,2,1,66,1,0,(8:52) 6-J.CONNER UP THE MIDDLE TO SF 31 FOR 3 YARDS (2-D.LENOIR).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,34,OPP,0,,0,,0,1268,0,0
2023121704,2023-12-17,2,8,12,ARI,SF,1,10,69,0,0,(8:12) (SHOTGUN) 1-K.MURRAY PASS SHORT LEFT TO 4-R.MOORE PUSHED OB AT SF 30 FOR 1 YARD (54-F.WARNER).,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,1308,0,0
