GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,SEA,PHI
2023121801,2023-12-18,1,3,29,SEA,PHI,1,10,27,0,0,(3:29) 9-K.WALKER LEFT END TO SEA 21 FOR -6 YARDS (94-J.SWEAT).,0,2023,-6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,27,OWN,0,,0,,0,15,691,0,0
2023121801,2023-12-18,1,2,49,SEA,PHI,2,16,21,0,0,(2:49) (SHOTGUN) 2-D.LOCK PASS SHORT MIDDLE TO 84-C.PARKINSON TO SEA 27 FOR 6 YARDS (41-N.MORROW; 53-S.LEONARD).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,21,OWN,0,,0,,0,15,731,0,0
2023121801,2023-12-18,1,2,12,SEA,PHI,3,10,27,1,0,(2:12) (SHOTGUN) 2-D.LOCK PASS SHORT MIDDLE TO 16-T.LOCKETT TO SEA 39 FOR 12 YARDS (7-H.REDDICK).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,27,OWN,0,,0,,0,15,768,0,0
2023121801,2023-12-18,1,1,44,SEA,PHI,1,10,39,0,0,(1:44) (NO HUDDLE) 2-D.LOCK PASS SHORT RIGHT TO 16-T.LOCKETT RAN OB AT SEA 44 FOR 5 YARDS (21-S.BROWN).,0,2023,5,NO HUDDLE,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,15,796,0,0
2023121801,2023-12-18,1,1,9,SEA,PHI,2,5,44,0,0,(1:09) 9-K.WALKER UP THE MIDDLE TO SEA 48 FOR 4 YARDS (21-S.BROWN).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,44,OWN,0,,0,,0,15,831,0,0
2023121801,2023-12-18,1,0,30,SEA,PHI,3,1,48,0,0,"(:30) PENALTY ON SEA-87-N.FANT, FALSE START, 5 YARDS, ENFORCED AT SEA 48 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,48,OWN,1,SEA,1,FALSE START,5,15,870,0,0
2023121801,2023-12-18,1,0,9,SEA,PHI,3,6,43,0,0,(:09) (SHOTGUN) 2-D.LOCK PASS INCOMPLETE SHORT RIGHT TO 87-N.FANT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,15,891,0,0
2023121801,2023-12-18,1,0,0,SEA,PHI,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,15,900,0,0
2023121801,2023-12-18,2,15,0,SEA,PHI,4,16,33,0,0,"(15:00) 4-M.DICKSON PUNTS 54 YARDS TO PHI 13, CENTER-41-C.STOLL. 18-B.COVEY TO PHI 29 FOR 16 YARDS (89-W.DISSLY, 59-J.RHATTIGAN).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,15,900,0,0
2023121801,2023-12-18,2,14,46,PHI,SEA,1,10,29,0,0,(14:46) (SHOTGUN) 1-J.HURTS PASS INCOMPLETE SHORT LEFT TO 11-A.BROWN (23-A.BURNS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,15,914,0,0
2023121801,2023-12-18,2,14,43,PHI,SEA,2,10,29,0,0,(14:43) (SHOTGUN) 1-J.HURTS PASS SHORT RIGHT TO 11-A.BROWN TO PHI 38 FOR 9 YARDS (22-T.BROWN).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,15,917,0,0
2023121801,2023-12-18,2,14,7,PHI,SEA,3,1,38,1,0,(14:07) 1-J.HURTS UP THE MIDDLE TO PHI 40 FOR 2 YARDS (54-B.WAGNER).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,38,OWN,0,,0,,0,15,953,0,0
2023121801,2023-12-18,2,13,35,PHI,SEA,1,10,40,0,0,"(13:35) (NO HUDDLE, SHOTGUN) 0-D.SWIFT UP THE MIDDLE TO PHI 44 FOR 4 YARDS (93-CA.YOUNG).",0,2023,4,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,40,OWN,0,,0,,0,15,985,0,0
2023121801,2023-12-18,2,12,54,PHI,SEA,2,6,44,1,0,(12:54) (SHOTGUN) 1-J.HURTS LEFT END PUSHED OB AT SEA 49 FOR 7 YARDS (20-J.LOVE).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,44,OWN,0,,0,,0,15,1026,0,0
2023121801,2023-12-18,2,12,22,PHI,SEA,1,10,51,0,0,"(12:22) (NO HUDDLE, SHOTGUN) 0-D.SWIFT UP THE MIDDLE TO SEA 45 FOR 4 YARDS (54-B.WAGNER; 97-M.EDWARDS).",0,2023,4,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,49,OPP,0,,0,,0,15,1058,0,0
2023121801,2023-12-18,2,11,47,PHI,SEA,2,6,55,1,0,"(11:47) (NO HUDDLE, SHOTGUN) 1-J.HURTS PASS SHORT LEFT TO 11-A.BROWN TO SEA 35 FOR 10 YARDS (20-J.LOVE; 27-T.WOOLEN).",0,2023,10,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,15,1093,0,0
