GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,KC,NE
2023121711,2023-12-17,3,12,3,KC,NE,2,9,69,1,0,(12:03) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 17-R.JAMES PUSHED OB AT NE 14 FOR 17 YARDS (23-K.DUGGER).,0,2023,17,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,1977,0,0
2023121711,2023-12-17,3,11,20,KC,NE,1,10,86,0,0,(11:20) 15-P.MAHOMES PASS INCOMPLETE SHORT MIDDLE TO 87-T.KELCE.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,14,OPP,0,,0,,0,2020,0,0
2023121711,2023-12-17,3,11,14,KC,NE,2,10,86,0,0,(11:14) (SHOTGUN) 15-P.MAHOMES PASS SHORT MIDDLE TO 87-T.KELCE TO NE 11 FOR 3 YARDS (8-J.BENTLEY; 3-M.WILSON).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,14,OPP,0,,0,,0,2026,0,0
2023121711,2023-12-17,3,10,37,KC,NE,3,7,89,0,0,(10:37) (SHOTGUN) 15-P.MAHOMES PASS INCOMPLETE SHORT RIGHT TO 87-T.KELCE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,2063,0,0
2023121711,2023-12-17,3,10,32,KC,NE,4,7,89,0,0,"(10:32) 7-H.BUTKER 29 YARD FIELD GOAL IS GOOD, CENTER-41-J.WINCHESTER, HOLDER-5-T.TOWNSEND.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,2068,0,0
2023121711,2023-12-17,3,10,29,NE,KC,0,0,100,1,0,TIMEOUT AT 10:29.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2071,0,0
2023121711,2023-12-17,3,10,29,NE,KC,0,0,65,1,0,"7-H.BUTKER KICKS 68 YARDS FROM KC 35 TO NE -3. 83-J.REAGOR TO NE 21 FOR 24 YARDS (27-C.CONNER, 54-L.CHENAL).",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,2071,0,0
2023121711,2023-12-17,3,10,22,NE,KC,1,10,21,1,0,(10:22) 4-B.ZAPPE PASS SHORT RIGHT INTENDED FOR 85-H.HENRY INTERCEPTED BY 50-W.GAY AT NE 31. 50-W.GAY PUSHED OB AT NE 7 FOR 24 YARDS (60-D.ANDREWS).,0,2023,24,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,1,0,0,0,0,,21,OWN,0,,0,,0,2078,0,0
2023121711,2023-12-17,3,10,11,KC,NE,1,7,93,0,0,(10:11) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 25-C.EDWARDS-HELAIRE TO NE 6 FOR 1 YARD (5-J.PEPPERS).,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,7,OPP,0,,0,,0,2089,0,0
2023121711,2023-12-17,3,9,29,KC,NE,2,6,94,1,0,"(9:29) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 25-C.EDWARDS-HELAIRE FOR 6 YARDS, TOUCHDOWN.",0,2023,6,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,2131,0,0
2023121711,2023-12-17,3,9,22,KC,NE,0,0,85,1,0,"7-H.BUTKER EXTRA POINT IS GOOD, CENTER-41-J.WINCHESTER, HOLDER-5-T.TOWNSEND.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,2138,0,0
2023121711,2023-12-17,3,9,22,NE,KC,0,0,65,1,0,7-H.BUTKER KICKS 70 YARDS FROM KC 35 TO NE -5. 83-J.REAGOR TO NE 35 FOR 40 YARDS (35-JA.WATSON).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,2138,0,0
2023121711,2023-12-17,3,9,22,NE,KC,0,0,100,1,0,TIMEOUT AT 09:22.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2138,0,0
2023121711,2023-12-17,3,9,14,NE,KC,1,10,35,0,0,(9:14) 36-K.HARRIS RIGHT GUARD TO NE 40 FOR 5 YARDS (38-L.SNEED).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,35,OWN,0,,0,,0,2146,0,0
2023121711,2023-12-17,3,8,34,NE,KC,2,5,40,1,0,(8:34) (SHOTGUN) 4-B.ZAPPE PASS SHORT RIGHT TO 85-H.HENRY TO NE 49 FOR 9 YARDS (20-J.REID).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,2186,0,0
