GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,ATL,DET
2023092402,2023-09-24,2,10,5,ATL,DET,0,0,65,1,0,"3-J.FOX KICKS 65 YARDS FROM DET 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,3,1195,0,0
2023092402,2023-09-24,2,10,5,ATL,DET,1,10,25,0,0,(10:05) 9-D.RIDDER PASS INCOMPLETE SHORT RIGHT TO 8-K.PITTS (32-B.BRANCH).,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,3,1195,0,0
2023092402,2023-09-24,2,9,59,ATL,DET,2,10,25,0,0,(9:59) 7-B.ROBINSON LEFT END TO ATL 26 FOR 1 YARD (23-J.JACOBS).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0,3,1201,0,0
2023092402,2023-09-24,2,9,14,ATL,DET,3,9,26,0,0,(9:14) (SHOTGUN) 9-D.RIDDER PASS INCOMPLETE DEEP LEFT TO 8-K.PITTS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,3,1246,0,0
2023092402,2023-09-24,2,9,10,ATL,DET,4,9,26,0,0,"(9:10) 13-B.PINION PUNTS 47 YARDS TO DET 27, CENTER-49-L.MCCULLOUGH, FAIR CATCH BY 11-K.RAYMOND.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,3,1250,0,0
2023092402,2023-09-24,2,9,2,DET,ATL,0,0,100,1,0,TIMEOUT AT 09:02.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,1258,0,0
2023092402,2023-09-24,2,9,2,DET,ATL,1,10,27,0,0,(9:02) (SHOTGUN) 26-J.GIBBS LEFT END PUSHED OB AT DET 34 FOR 7 YARDS (55-K.ELLISS).,0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,27,OWN,0,,0,,0,3,1258,0,0
2023092402,2023-09-24,2,8,27,DET,ATL,2,3,34,0,0,"(8:27) 16-J.GOFF PASS SHORT RIGHT TO 14-A.ST. BROWN TO DET 34 FOR NO GAIN (20-D.ALFORD, 96-Z.HARRISON).",0,2023,0,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,3,1293,0,0
2023092402,2023-09-24,2,7,51,DET,ATL,3,3,34,1,0,(7:51) (SHOTGUN) 16-J.GOFF PASS SHORT MIDDLE TO 11-K.RAYMOND TO DET 48 FOR 14 YARDS (32-J.HAWKINS).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,3,1329,0,0
2023092402,2023-09-24,2,7,18,DET,ATL,1,10,48,0,0,(7:18) (NO HUDDLE) 16-J.GOFF PASS SHORT MIDDLE TO 87-S.LAPORTA TO ATL 49 FOR 3 YARDS (55-K.ELLISS).,0,2023,3,NO HUDDLE,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,3,1362,0,0
