GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,CAR,SEA
2023092409,2023-09-24,1,4,29,SEA,CAR,1,10,72,0,0,(4:29) (SHOTGUN) 7-G.SMITH PASS INCOMPLETE DEEP LEFT TO 14-D.METCALF (23-C.HENDERSON). CAR-23-C.HENDERSON WAS INJURED DURING THE PLAY. HIS RETURN IS QUESTIONABLE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,28,OPP,0,,0,,0,3,631,0,0
2023092409,2023-09-24,1,4,23,SEA,CAR,0,0,100,1,0,TIMEOUT AT 04:23.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,637,0,0
2023092409,2023-09-24,1,4,23,SEA,CAR,2,10,72,0,0,(4:23) (SHOTGUN) 9-K.WALKER LEFT GUARD TO CAR 25 FOR 3 YARDS (95-DER.BROWN).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,28,OPP,0,,0,,0,3,637,0,0
2023092409,2023-09-24,1,3,45,SEA,CAR,3,7,75,0,0,(3:45) (SHOTGUN) 7-G.SMITH PASS INCOMPLETE SHORT RIGHT TO 16-T.LOCKETT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,3,675,0,0
2023092409,2023-09-24,1,3,37,SEA,CAR,4,7,75,0,0,"(3:37) 5-J.MYERS 43 YARD FIELD GOAL IS GOOD, CENTER-41-C.STOLL, HOLDER-4-M.DICKSON.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,3,683,0,0
2023092409,2023-09-24,1,3,33,SEA,CAR,0,0,100,1,0,TIMEOUT AT 03:33.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,687,0,0
2023092409,2023-09-24,1,3,33,CAR,SEA,0,0,65,1,0,"5-J.MYERS KICKS 65 YARDS FROM SEA 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,3,687,0,0
2023092409,2023-09-24,1,3,33,CAR,SEA,1,10,25,1,0,(3:33) (SHOTGUN) 14-A.DALTON PASS SHORT RIGHT TO 19-A.THIELEN TO CAR 40 FOR 15 YARDS (54-B.WAGNER).,0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,3,687,0,0
2023092409,2023-09-24,1,2,49,CAR,SEA,1,10,40,0,0,(2:49) 6-M.SANDERS RIGHT TACKLE TO CAR 40 FOR NO GAIN (56-J.BROOKS).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,40,OWN,0,,0,,0,3,731,0,0
2023092409,2023-09-24,1,2,11,CAR,SEA,2,10,40,0,0,(2:11) (SHOTGUN) 14-A.DALTON PASS INCOMPLETE SHORT RIGHT TO 15-J.MINGO (21-D.WITHERSPOON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,3,769,0,0
2023092409,2023-09-24,1,2,7,CAR,SEA,3,10,40,0,0,(2:07) (SHOTGUN) 14-A.DALTON SACKED AT CAR 32 FOR -8 YARDS (90-JA.REED).,0,2023,-8,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,3,773,0,0
2023092409,2023-09-24,1,1,16,CAR,SEA,4,18,32,0,0,"(1:16) 90-A.BARNO REPORTED IN AS ELIGIBLE.  10-J.HEKKER PUNTS 49 YARDS TO SEA 19, CENTER-44-J.JANSEN, FAIR CATCH BY 31-D.DALLAS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,3,824,0,0
2023092409,2023-09-24,1,1,10,SEA,CAR,0,0,100,1,0,TIMEOUT AT 01:10.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,830,0,0
2023092409,2023-09-24,1,1,10,SEA,CAR,1,10,19,1,0,(1:10) (SHOTGUN) 7-G.SMITH PASS SHORT RIGHT TO 16-T.LOCKETT RAN OB AT SEA 35 FOR 16 YARDS (54-K.GRUGIER-HILL).,0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,3,830,0,0
