GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,MIN,LAC
2023092406,2023-09-24,1,3,31,LAC,MIN,2,7,72,0,0,(3:31) (SHOTGUN) 10-J.HERBERT PASS INCOMPLETE SHORT RIGHT TO 5-J.PALMER (7-B.MURPHY).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,28,OPP,0,,0,,0,3,689,0,0
2023092406,2023-09-24,1,3,27,LAC,MIN,3,7,72,1,0,(3:27) (SHOTGUN) 10-J.HERBERT PASS DEEP RIGHT TO 13-K.ALLEN PUSHED OB AT MIN 3 FOR 25 YARDS (5-M.BLACKMON).,0,2023,25,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,28,OPP,0,,0,,0,3,693,0,0
2023092406,2023-09-24,1,2,55,LAC,MIN,1,3,97,1,0,"(2:55) (SHOTGUN) 10-J.HERBERT PASS SHORT RIGHT TO 89-D.PARHAM FOR 3 YARDS, TOUCHDOWN [44-J.METELLUS].",0,2023,3,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,,3,OPP,0,,0,,0,3,725,0,0
2023092406,2023-09-24,1,2,51,LAC,MIN,0,0,85,1,0,"11-C.DICKER EXTRA POINT IS GOOD, CENTER-47-J.HARRIS, HOLDER-16-J.SCOTT.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,3,729,0,0
2023092406,2023-09-24,1,2,51,MIN,LAC,1,10,25,0,0,(2:51) 8-K.COUSINS PASS SHORT LEFT TO 2-A.MATTISON TO MIN 30 FOR 5 YARDS (9-K.MURRAY).,0,2023,5,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,3,729,0,0
2023092406,2023-09-24,1,2,51,MIN,LAC,0,0,100,1,0,TIMEOUT AT 02:51.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,729,0,0
2023092406,2023-09-24,1,2,51,MIN,LAC,0,0,65,1,0,"11-C.DICKER KICKS 65 YARDS FROM LAC 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,3,729,0,0
2023092406,2023-09-24,1,2,3,MIN,LAC,2,5,30,0,0,(2:03) 2-A.MATTISON LEFT GUARD TO MIN 31 FOR 1 YARD (51-S.JOSEPH; 95-N.WILLIAMS). MIN-2-A.MATTISON WAS INJURED DURING THE PLAY.,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,30,OWN,0,,0,,0,3,777,0,0
2023092406,2023-09-24,1,1,50,MIN,LAC,0,0,100,1,0,TIMEOUT AT 01:50.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,790,0,0
2023092406,2023-09-24,1,1,41,MIN,LAC,3,4,31,0,0,"(1:41) (SHOTGUN) PENALTY ON LAC-56-M.FOX, NEUTRAL ZONE INFRACTION, 5 YARDS, ENFORCED AT MIN 31 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,31,OWN,1,LAC,1,NEUTRAL ZONE INFRACTION,5,3,799,0,0
