GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,CLE,TEN
2023092401,2023-09-24,1,7,49,TEN,CLE,0,0,65,1,0,"7-D.HOPKINS KICKS 65 YARDS FROM CLE 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,3,431,0,0
2023092401,2023-09-24,1,7,49,CLE,TEN,0,0,100,1,0,TIMEOUT AT 07:49.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,431,0,0
2023092401,2023-09-24,1,7,49,TEN,CLE,1,10,25,0,0,(7:49) 17-R.TANNEHILL PASS SHORT RIGHT TO 16-T.BURKS TO TEN 30 FOR 5 YARDS (21-D.WARD).,0,2023,5,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,3,431,0,0
2023092401,2023-09-24,1,7,9,TEN,CLE,2,5,30,0,0,(7:09) 22-D.HENRY RIGHT GUARD TO TEN 32 FOR 2 YARDS (22-G.DELPIT).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,30,OWN,0,,0,,0,3,471,0,0
2023092401,2023-09-24,1,6,28,TEN,CLE,3,3,32,0,0,(6:28) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE SHORT LEFT TO 10-D.HOPKINS [95-M.GARRETT].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,3,512,0,0
2023092401,2023-09-24,1,6,24,TEN,CLE,4,3,32,0,0,"(6:24) 4-R.STONEHOUSE PUNTS 49 YARDS TO CLE 19, CENTER-46-M.COX, OUT OF BOUNDS. TEN-36-J.CHESTNUT WAS INJURED DURING THE PLAY. HE IS OUT.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,3,516,0,0
2023092401,2023-09-24,1,6,18,CLE,TEN,0,0,100,1,0,TIMEOUT AT 06:18.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,522,0,0
2023092401,2023-09-24,1,6,18,CLE,TEN,1,10,19,0,0,(6:18) (SHOTGUN) 4-D.WATSON PASS SHORT RIGHT TO 2-A.COOPER TO CLE 26 FOR 7 YARDS (21-R.MCCREARY).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,3,522,0,0
2023092401,2023-09-24,1,5,45,CLE,TEN,2,3,26,0,0,(5:45) (SHOTGUN) 34-J.FORD LEFT GUARD TO CLE 26 FOR NO GAIN (2-A.AL-SHAAIR; 21-R.MCCREARY).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,26,OWN,0,,0,,0,3,555,0,0
2023092401,2023-09-24,1,5,9,CLE,TEN,3,3,26,0,0,(5:09) (SHOTGUN) 4-D.WATSON PASS INCOMPLETE SHORT MIDDLE TO 34-J.FORD.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,3,591,0,0
2023092401,2023-09-24,1,5,5,CLE,TEN,4,3,26,0,0,"(5:05) 13-C.BOJORQUEZ PUNTS 48 YARDS TO TEN 26, CENTER-47-C.HUGHLETT. 12-M.KINSEY PUSHED OB AT TEN 39 FOR 13 YARDS (5-A.WALKER).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,3,595,0,0
2023092401,2023-09-24,1,4,55,CLE,TEN,0,0,100,1,0,TIMEOUT AT 04:55.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,605,0,0
2023092401,2023-09-24,1,4,55,TEN,CLE,1,10,39,0,0,(4:55) (SHOTGUN) 17-R.TANNEHILL PASS INCOMPLETE SHORT MIDDLE TO 16-T.BURKS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,3,605,0,0
2023092401,2023-09-24,1,4,51,TEN,CLE,2,10,39,0,0,(4:51) (SHOTGUN) 17-R.TANNEHILL PASS SHORT RIGHT TO 32-T.SPEARS TO TEN 37 FOR -2 YARDS (54-O.OKORONKWO).,0,2023,-2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,3,609,0,0
2023092401,2023-09-24,1,4,10,TEN,CLE,3,12,37,0,0,(4:10) (SHOTGUN) 17-R.TANNEHILL PASS SHORT LEFT TO 85-C.OKONKWO PUSHED OB AT TEN 43 FOR 6 YARDS (23-M.EMERSON).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,3,650,0,0
2023092401,2023-09-24,1,3,36,TEN,CLE,4,6,43,0,0,"(3:36) 4-R.STONEHOUSE PUNTS 45 YARDS TO CLE 12, CENTER-46-M.COX, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,3,684,0,0
2023092401,2023-09-24,1,3,30,CLE,TEN,1,10,12,0,0,(3:30) (SHOTGUN) 8-E.MOORE RIGHT END TO CLE 13 FOR 1 YARD (0-S.MURPHY-BUNTING).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,12,OWN,0,,0,,0,3,690,0,0
2023092401,2023-09-24,1,3,30,CLE,TEN,0,0,100,1,0,TIMEOUT AT 03:30.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,690,0,0
2023092401,2023-09-24,1,2,48,CLE,TEN,2,9,13,1,0,"(2:48) (SHOTGUN) 4-D.WATSON PASS SHORT LEFT TO 2-A.COOPER TO CLE 26 FOR 13 YARDS (26-K.FULTON, 21-R.MCCREARY).",0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,13,OWN,0,,0,,0,3,732,0,0
2023092401,2023-09-24,1,2,7,CLE,TEN,1,10,26,0,0,(2:07) (SHOTGUN) 4-D.WATSON PASS SHORT RIGHT TO 8-E.MOORE TO CLE 28 FOR 2 YARDS (0-S.MURPHY-BUNTING).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,3,773,0,0
2023092401,2023-09-24,1,1,29,CLE,TEN,2,8,28,0,0,"(1:29) (NO HUDDLE, SHOTGUN) 4-D.WATSON PASS SHORT RIGHT TO 8-E.MOORE TO CLE 32 FOR 4 YARDS (0-S.MURPHY-BUNTING). FUMBLES (0-S.MURPHY-BUNTING), TOUCHED AT CLE 28, RECOVERED BY TEN-0-S.MURPHY-BUNTING AT CLE 22. 0-S.MURPHY-BUNTING TO CLE 17 FOR 5 YARDS (77-W.TELLER).",0,2023,4,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,1,0,0,0,,28,OWN,0,,0,,0,3,811,0,0
2023092401,2023-09-24,1,1,20,TEN,CLE,1,10,83,0,0,(1:20) (SHOTGUN) 22-D.HENRY RIGHT GUARD TO CLE 20 FOR -3 YARDS (95-M.GARRETT).,0,2023,-3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,17,OPP,0,,0,,0,3,820,0,0
2023092401,2023-09-24,1,0,38,TEN,CLE,2,13,80,0,0,"(:38) (SHOTGUN) 17-R.TANNEHILL SACKED AT CLE 27 FOR -7 YARDS (95-M.GARRETT). FUMBLES (95-M.GARRETT), TOUCHED AT CLE 24, RECOVERED BY TEN-22-D.HENRY AT CLE 24.",0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,1,0,0,0,,20,OPP,0,,0,,0,3,862,0,0
2023092401,2023-09-24,1,0,0,TEN,CLE,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3,900,0,0
2023092401,2023-09-24,2,15,0,TEN,CLE,3,17,76,0,0,(15:00) (SHOTGUN) 17-R.TANNEHILL PASS SHORT RIGHT TO 85-C.OKONKWO TO CLE 26 FOR -2 YARDS (21-D.WARD).,0,2023,-2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,3,900,0,0
2023092401,2023-09-24,2,14,18,TEN,CLE,4,19,74,0,0,"(14:18) 6-N.FOLK 44 YARD FIELD GOAL IS GOOD, CENTER-46-M.COX, HOLDER-4-R.STONEHOUSE.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,26,OPP,0,,0,,0,3,942,0,0
2023092401,2023-09-24,2,14,14,CLE,TEN,0,0,65,1,0,"6-N.FOLK KICKS 65 YARDS FROM TEN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,3,946,0,0
2023092401,2023-09-24,2,14,14,CLE,TEN,1,10,25,0,0,(14:14) (SHOTGUN) 4-D.WATSON PASS SHORT LEFT TO 85-D.NJOKU TO CLE 32 FOR 7 YARDS (37-A.HOOKER).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,3,946,0,0
