GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,PIT,LV
2023092412,2023-09-24,1,6,21,PIT,LV,3,7,28,0,0,"(6:21) (SHOTGUN) 8-K.PICKETT PASS DEEP MIDDLE TO 19-C.AUSTIN FOR 72 YARDS, TOUCHDOWN. PENALTY ON LV-25-T.MOEHRIG, DEFENSIVE HOLDING, DECLINED.",0,2023,72,SHOTGUN,PASS,0,1,0,1,DEEP MIDDLE,0,0,0,,0,0,1,0,0,,28,OWN,0,LV,0,DEFENSIVE HOLDING,0,519,0,0
2023092412,2023-09-24,1,6,12,LV,PIT,1,10,25,0,0,(6:12) 10-J.GAROPPOLO SACKED AT LV 17 FOR -8 YARDS (90-T.WATT).,0,2023,-8,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,528,0,0
2023092412,2023-09-24,1,6,12,LV,PIT,0,0,65,1,0,"9-C.BOSWELL KICKS 65 YARDS FROM PIT 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,528,0,0
2023092412,2023-09-24,1,6,12,PIT,LV,0,0,85,1,0,"9-C.BOSWELL EXTRA POINT IS GOOD, CENTER-46-C.KUNTZ, HOLDER-6-P.HARVIN.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,528,0,0
2023092412,2023-09-24,1,5,27,LV,PIT,2,18,17,0,0,(5:27) (SHOTGUN) 10-J.GAROPPOLO PASS SHORT MIDDLE TO 16-J.MEYERS TO LV 30 FOR 13 YARDS (20-P.PETERSON; 39-M.FITZPATRICK).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,17,OWN,0,,0,,0,573,0,0
2023092412,2023-09-24,1,4,47,LV,PIT,3,5,30,0,0,(4:47) (SHOTGUN) 10-J.GAROPPOLO PASS INCOMPLETE DEEP LEFT TO 22-A.ABDULLAH.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,613,0,0
2023092412,2023-09-24,1,4,42,LV,PIT,4,5,30,0,0,"(4:42) 6-A.COLE PUNTS 50 YARDS TO PIT 20, CENTER-50-J.BOBENMOYER. 19-C.AUSTIN TO PIT 25 FOR 5 YARDS (45-JAK.JOHNSON, 50-J.BOBENMOYER).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,618,0,0
2023092412,2023-09-24,1,4,29,PIT,LV,1,10,25,0,0,(4:29) (SHOTGUN) 8-K.PICKETT PASS INCOMPLETE SHORT RIGHT TO 83-CO.HEYWARD.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,631,0,0
2023092412,2023-09-24,1,4,29,LV,PIT,0,0,100,1,0,TIMEOUT AT 04:29.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,631,0,0
2023092412,2023-09-24,1,4,25,PIT,LV,2,10,25,0,0,(4:25) 22-N.HARRIS UP THE MIDDLE TO PIT 27 FOR 2 YARDS (95-J.JENKINS; 90-J.TILLERY).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,635,0,0
