GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,WAS,NE
2023110506,2023-11-05,1,3,14,NE,WAS,0,0,65,1,0,"6-J.SLYE KICKS 65 YARDS FROM WAS 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,9,706,0,0
2023110506,2023-11-05,1,3,14,NE,WAS,0,0,100,1,0,TIMEOUT AT 03:14.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,9,706,0,0
2023110506,2023-11-05,1,3,14,NE,WAS,1,10,25,0,0,(3:14) 10-M.JONES PASS INCOMPLETE SHORT RIGHT.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,9,706,0,0
2023110506,2023-11-05,1,3,10,NE,WAS,2,10,25,0,0,(3:10) (SHOTGUN) 10-M.JONES PASS SHORT LEFT TO 15-E.ELLIOTT PUSHED OB AT NE 30 FOR 5 YARDS (52-J.DAVIS).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,9,710,0,0
2023110506,2023-11-05,1,2,35,NE,WAS,3,5,30,0,0,(2:35) (SHOTGUN) 10-M.JONES PASS INCOMPLETE SHORT LEFT TO 11-T.THORNTON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,9,745,0,0
2023110506,2023-11-05,1,2,31,NE,WAS,4,5,30,0,0,"(2:31) 17-B.BARINGER PUNTS 56 YARDS TO WAS 14, CENTER-49-J.CARDONA. 83-J.CROWDER TO WAS 20 FOR 6 YARDS (41-B.SCHOOLER).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,9,749,0,0
2023110506,2023-11-05,1,2,21,WAS,NE,1,10,20,0,0,(2:21) (SHOTGUN) 24-A.GIBSON LEFT TACKLE TO WAS 23 FOR 3 YARDS (92-D.GODCHAUX; 21-A.PHILLIPS).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,20,OWN,0,,0,,0,9,759,0,0
2023110506,2023-11-05,1,2,21,NE,WAS,0,0,100,1,0,TIMEOUT AT 02:21.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,9,759,0,0
2023110506,2023-11-05,1,1,39,WAS,NE,2,7,23,0,0,(1:39) (SHOTGUN) 14-S.HOWELL PASS INCOMPLETE DEEP RIGHT TO 1-J.DOTSON (31-JO.JONES).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,9,801,0,0
2023110506,2023-11-05,1,1,33,WAS,NE,3,7,23,1,0,(1:33) (SHOTGUN) 14-S.HOWELL PASS SHORT LEFT TO 3-B.PRINGLE TO WAS 49 FOR 26 YARDS (31-JO.JONES) [55-J.UCHE].,0,2023,26,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,9,807,0,0
2023110506,2023-11-05,1,0,45,WAS,NE,1,10,49,1,0,(:45) (SHOTGUN) 14-S.HOWELL PASS SHORT LEFT TO 24-A.GIBSON PUSHED OB AT NE 41 FOR 10 YARDS (23-K.DUGGER).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,9,855,0,0
2023110506,2023-11-05,1,0,8,WAS,NE,1,10,59,0,0,(:08) (SHOTGUN) 14-S.HOWELL PASS INCOMPLETE DEEP LEFT TO 17-T.MCLAURIN (5-J.PEPPERS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,9,892,0,0
2023110506,2023-11-05,1,0,1,WAS,NE,2,10,59,0,0,(:01) (SHOTGUN) 14-S.HOWELL PASS SHORT RIGHT TO 1-J.DOTSON TO NE 32 FOR 9 YARDS (30-M.MAPU) [90-C.BARMORE].,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,9,899,0,0
