GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,BAL,SEA
2023110502,2023-11-05,1,5,11,SEA,BAL,3,3,40,1,0,(5:11) (SHOTGUN) 7-G.SMITH PASS SHORT LEFT TO 16-T.LOCKETT TO SEA 47 FOR 7 YARDS (21-B.STEPHENS).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,40,OWN,0,,0,,0,589,0,0
2023110502,2023-11-05,1,4,46,SEA,BAL,1,10,47,0,0,"(4:46) (NO HUDDLE, SHOTGUN) 26-Z.CHARBONNET LEFT GUARD TO BAL 49 FOR 4 YARDS (14-K.HAMILTON; 0-R.SMITH).",0,2023,4,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,47,OWN,0,,0,,0,614,0,0
2023110502,2023-11-05,1,4,20,SEA,BAL,2,6,51,0,0,"(4:20) (NO HUDDLE, SHOTGUN) PENALTY ON SEA-70-J.PETERS, FALSE START, 5 YARDS, ENFORCED AT BAL 49 - NO PLAY.",0,2023,0,NO HUDDLE SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,49,OPP,1,SEA,1,FALSE START,5,640,0,0
2023110502,2023-11-05,1,4,4,SEA,BAL,2,11,46,0,0,(4:04) (SHOTGUN) 7-G.SMITH PASS INCOMPLETE SHORT RIGHT TO 16-T.LOCKETT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,656,0,0
2023110502,2023-11-05,1,4,1,SEA,BAL,3,11,46,0,0,"(4:01) (SHOTGUN) 7-G.SMITH SACKED AT SEA 39 FOR -7 YARDS (92-J.MADUBUIKE). PENALTY ON SEA-70-J.PETERS, OFFENSIVE HOLDING, DECLINED.",0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,1,0,0,,46,OWN,0,SEA,0,OFFENSIVE HOLDING,0,659,0,0
2023110502,2023-11-05,1,3,48,SEA,BAL,4,18,39,0,0,"(3:48) 4-M.DICKSON PUNTS 42 YARDS TO BAL 19, CENTER-41-C.STOLL, FAIR CATCH BY 13-D.DUVERNAY.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,672,0,0
2023110502,2023-11-05,1,3,41,BAL,SEA,1,10,19,0,0,(3:41) (SHOTGUN) 8-L.JACKSON SCRAMBLES LEFT END TO BAL 24 FOR 5 YARDS (55-D.JONES).,0,2023,5,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,679,0,0
2023110502,2023-11-05,1,3,41,BAL,SEA,0,0,100,1,0,TIMEOUT AT 03:41.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,679,0,0
2023110502,2023-11-05,1,2,56,BAL,SEA,2,5,24,1,0,(2:56) (SHOTGUN) 8-L.JACKSON PASS SHORT MIDDLE TO 80-I.LIKELY TO BAL 41 FOR 17 YARDS (56-J.BROOKS).,0,2023,17,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,724,0,0
2023110502,2023-11-05,1,2,20,BAL,SEA,1,10,41,0,0,(2:20) (SHOTGUN) 43-J.HILL RIGHT GUARD TO BAL 47 FOR 6 YARDS (56-J.BROOKS).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,41,OWN,0,,0,,0,760,0,0
