GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CLE,ARI
2023110503,2023-11-05,3,12,29,CLE,ARI,1,10,34,0,0,(12:29) (SHOTGUN) 53-N.HARRIS REPORTED IN AS ELIGIBLE.  34-J.FORD LEFT END TO CLE 36 FOR 2 YARDS (24-S.THOMAS).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,34,OWN,0,,0,,0,1951,0,0
2023110503,2023-11-05,3,11,47,CLE,ARI,2,8,36,1,0,(11:47) (SHOTGUN) 4-D.WATSON PASS SHORT RIGHT TO 34-J.FORD TO CLE 45 FOR 9 YARDS (92-K.STRONG; 21-G.WILLIAMS). ARI-92-K.STRONG WAS INJURED DURING THE PLAY.,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,1993,0,0
2023110503,2023-11-05,3,11,29,CLE,ARI,0,0,100,1,0,TIMEOUT AT 11:29.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2011,0,0
2023110503,2023-11-05,3,11,22,CLE,ARI,1,10,45,0,0,(11:22) 53-N.HARRIS REPORTED IN AS ELIGIBLE.  27-K.HUNT LEFT GUARD TO CLE 46 FOR 1 YARD (25-Z.COLLINS). CLE-71-J.WILLS WAS INJURED DURING THE PLAY. HE IS OUT.,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,45,OWN,0,,0,,0,2018,0,0
2023110503,2023-11-05,3,11,8,CLE,ARI,0,0,100,1,0,TIMEOUT AT 11:08.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2032,0,0
2023110503,2023-11-05,3,10,58,CLE,ARI,2,9,46,0,0,(10:58) 4-D.WATSON PASS SHORT LEFT TO 20-P.STRONG TO CLE 39 FOR -7 YARDS (95-L.FOTU).,0,2023,-7,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,2042,0,0
2023110503,2023-11-05,3,10,20,CLE,ARI,3,16,39,0,0,(10:20) (SHOTGUN) 4-D.WATSON PASS SHORT LEFT TO 34-J.FORD PUSHED OB AT CLE 43 FOR 4 YARDS (3-B.BAKER).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,2080,0,0
2023110503,2023-11-05,3,9,47,CLE,ARI,4,12,43,0,0,"(9:47) 13-C.BOJORQUEZ PUNTS 57 YARDS TO END ZONE, CENTER-47-C.HUGHLETT, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,2113,0,0
2023110503,2023-11-05,3,9,38,ARI,CLE,1,10,20,0,0,"(9:38) (SHOTGUN) 15-C.TUNE SACKED AT ARI 12 FOR -8 YARDS (93-S.HARRIS). FUMBLES (93-S.HARRIS), RECOVERED BY CLE-95-M.GARRETT AT ARI 12. 95-M.GARRETT TO ARI 11 FOR 1 YARD (74-D.HUMPHRIES).",0,2023,-8,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,1,0,0,0,,20,OWN,0,,0,,0,2122,0,0
2023110503,2023-11-05,3,9,31,CLE,ARI,1,10,89,0,0,(9:31) (SHOTGUN) 4-D.WATSON PASS SHORT RIGHT TO 8-E.MOORE TO ARI 8 FOR 3 YARDS (33-A.HAMILTON).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,2129,0,0
