GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,CIN,BUF
2023110511,2023-11-05,1,1,24,CIN,BUF,1,2,98,0,0,(1:24) (SHOTGUN) 9-J.BURROW PASS SHORT LEFT TO 1-J.CHASE PUSHED OB AT BUF 2 FOR NO GAIN (21-J.POYER).,0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,2,OPP,0,,0,,0,9,816,0,0
2023110511,2023-11-05,1,0,42,CIN,BUF,2,2,98,0,0,(:42) (SHOTGUN) 9-J.BURROW PASS INCOMPLETE SHORT RIGHT TO 1-J.CHASE [50-G.ROUSSEAU].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,2,OPP,0,,0,,0,9,858,0,0
2023110511,2023-11-05,1,0,38,CIN,BUF,3,2,98,1,0,"(:38) (SHOTGUN) 28-J.MIXON LEFT GUARD FOR 2 YARDS, TOUCHDOWN.",0,2023,2,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT GUARD,2,OPP,0,,0,,0,9,862,0,0
2023110511,2023-11-05,1,0,35,CIN,BUF,0,0,100,1,0,TIMEOUT AT 00:35.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,9,865,0,0
2023110511,2023-11-05,1,0,35,CIN,BUF,0,0,85,1,0,"2-E.MCPHERSON EXTRA POINT IS GOOD, CENTER-48-C.ADOMITIS, HOLDER-10-B.ROBBINS.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,9,865,0,0
2023110511,2023-11-05,1,0,35,BUF,CIN,1,10,25,0,0,"(:35) 4-J.COOK LEFT GUARD TO BUF 27 FOR 2 YARDS (33-N.SCOTT, 23-D.HILL).",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OWN,0,,0,,0,9,865,0,0
2023110511,2023-11-05,1,0,35,BUF,CIN,0,0,65,1,0,"2-E.MCPHERSON KICKS 63 YARDS FROM CIN 35 TO BUF 2, FAIR CATCH BY 10-K.SHAKIR.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,9,865,0,0
2023110511,2023-11-05,2,15,0,BUF,CIN,2,8,27,0,0,"(15:00) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE DEEP LEFT TO 16-T.SHERFIELD. PENALTY ON CIN-29-C.TAYLOR-BRITT, DEFENSIVE PASS INTERFERENCE, 17 YARDS, ENFORCED AT BUF 27 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,1,0,0,,27,OWN,1,CIN,1,DEFENSIVE PASS INTERFERENCE,17,9,900,0,0
2023110511,2023-11-05,1,0,0,BUF,CIN,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,9,900,0,0
2023110511,2023-11-05,2,14,56,BUF,CIN,1,10,44,0,0,(14:56) (SHOTGUN) 76-D.EDWARDS REPORTED IN AS ELIGIBLE.  4-J.COOK LEFT END TO BUF 43 FOR -1 YARDS (98-D.READER).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,44,OWN,0,,0,,0,9,904,0,0
