GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LA,GB
2023110504,2023-11-05,4,13,35,GB,LA,0,0,100,1,0,TIMEOUT AT 13:35.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2785,0,0
2023110504,2023-11-05,4,13,29,LA,GB,2,10,73,0,0,(13:29) (SHOTGUN) 11-B.RYPIEN PASS DEEP LEFT INTENDED FOR 10-C.KUPP INTERCEPTED BY 36-A.JOHNSON (23-J.ALEXANDER) AT GB 49. 36-A.JOHNSON TO 50 FOR 1 YARD (10-C.KUPP).,0,2023,1,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,1,0,0,0,0,,27,OPP,0,,0,,0,2791,0,0
2023110504,2023-11-05,4,13,23,GB,LA,0,0,100,1,0,TIMEOUT AT 13:23.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2797,0,0
2023110504,2023-11-05,4,13,23,GB,LA,1,10,100,1,0,(13:23) (SHOTGUN) 10-J.LOVE PASS SHORT LEFT TO 13-D.WICKS PUSHED OB AT LAR 39 FOR 11 YARDS (26-D.SHELLEY).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2797,0,0
2023110504,2023-11-05,4,12,50,GB,LA,1,10,61,0,0,(12:50) 33-A.JONES LEFT END PUSHED OB AT LAR 33 FOR 6 YARDS (2-R.YEAST).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,39,OPP,0,,0,,0,2830,0,0
2023110504,2023-11-05,4,12,15,GB,LA,2,4,67,1,0,(12:15) (SHOTGUN) 28-A.DILLON UP THE MIDDLE TO LAR 25 FOR 8 YARDS (2-R.YEAST).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,33,OPP,0,,0,,0,2865,0,0
2023110504,2023-11-05,4,11,35,GB,LA,1,10,75,0,0,"(11:35) 33-A.JONES RIGHT TACKLE TO LAR 19 FOR 6 YARDS (91-K.TURNER, 56-C.ROZEBOOM).",0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OPP,0,,0,,0,2905,0,0
2023110504,2023-11-05,4,10,54,GB,LA,2,4,81,0,0,(10:54) (SHOTGUN) 33-A.JONES LEFT END TO LAR 16 FOR 3 YARDS (2-R.YEAST; 56-C.ROZEBOOM).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,19,OPP,0,,0,,0,2946,0,0
2023110504,2023-11-05,4,10,11,GB,LA,3,1,84,0,0,"(10:11) 28-A.DILLON RIGHT TACKLE TO LAR 16 FOR NO GAIN (52-L.MURCHISON, 97-M.HOECHT).",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,16,OPP,0,,0,,0,2989,0,0
2023110504,2023-11-05,4,9,11,GB,LA,4,1,84,0,0,"(9:11) 17-A.CARLSON 34 YARD FIELD GOAL IS GOOD, CENTER-42-M.ORZECH, HOLDER-19-D.WHELAN.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,16,OPP,0,,0,,0,3049,0,0
2023110504,2023-11-05,4,9,8,LA,GB,1,10,75,0,0,(9:08) (SHOTGUN) 11-B.RYPIEN PASS INCOMPLETE SHORT RIGHT TO 17-P.NACUA (37-C.VALENTINE).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,3052,0,0
2023110504,2023-11-05,4,9,8,GB,LA,0,0,100,1,0,TIMEOUT AT 09:08.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3052,0,0
2023110504,2023-11-05,4,9,8,LA,GB,0,0,65,1,0,"17-A.CARLSON KICKS 65 YARDS FROM GB 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,3052,0,0
2023110504,2023-11-05,4,9,4,LA,GB,2,10,75,0,0,"(9:04) (NO HUDDLE, SHOTGUN) 11-B.RYPIEN PASS SHORT LEFT TO 5-T.ATWELL TO LAR 29 FOR 4 YARDS (25-K.NIXON). GB-25-K.NIXON WAS INJURED DURING THE PLAY.",0,2023,4,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,3056,0,0
2023110504,2023-11-05,4,8,46,LA,GB,3,6,71,0,0,(8:46) (SHOTGUN) 11-B.RYPIEN PASS INCOMPLETE SHORT LEFT TO 24-R.FREEMAN (94-K.BROOKS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,3074,0,0
2023110504,2023-11-05,4,8,39,LA,GB,4,6,71,0,0,"(8:39) 42-E.EVANS PUNTS 65 YARDS TO GB 6, CENTER-47-A.WARD. 11-J.REED TO GB 28 FOR 22 YARDS (24-R.FREEMAN; 59-T.REEDER).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,3081,0,0
2023110504,2023-11-05,4,8,26,GB,LA,0,0,100,1,0,TIMEOUT AT 08:26.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,3094,0,0
