GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,BUF,JAX
2023100800,2023-10-08,2,0,52,JAX,BUF,2,3,42,1,0,(:52) (SHOTGUN) 16-T.LAWRENCE PASS SHORT MIDDLE TO 1-T.ETIENNE TO BUF 36 FOR 22 YARDS (25-T.DODSON).,0,2023,22,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,5,1748,0,0
2023100800,2023-10-08,2,0,44,JAX,BUF,0,0,100,1,0,TIMEOUT #2 BY JAX AT 00:44.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,1756,0,0
2023100800,2023-10-08,2,0,44,JAX,BUF,1,10,64,1,0,(:44) (SHOTGUN) 16-T.LAWRENCE PASS SHORT LEFT TO 0-C.RIDLEY PUSHED OB AT BUF 20 FOR 16 YARDS (24-K.ELAM).,0,2023,16,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,36,OPP,0,,0,,0,5,1756,0,0
2023100800,2023-10-08,2,0,39,JAX,BUF,1,10,80,0,0,(:39) (SHOTGUN) 16-T.LAWRENCE PASS SHORT RIGHT TO 13-C.KIRK TO BUF 12 FOR 8 YARDS (30-D.JACKSON).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,5,1761,0,0
2023100800,2023-10-08,2,0,21,JAX,BUF,2,2,88,0,0,"(:21) (NO HUDDLE, SHOTGUN) 16-T.LAWRENCE PASS INCOMPLETE SHORT RIGHT TO 0-C.RIDLEY.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,5,1779,0,0
2023100800,2023-10-08,2,0,17,JAX,BUF,3,2,88,0,0,"(:17) (SHOTGUN) 16-T.LAWRENCE SACKED AT BUF 22 FOR -10 YARDS (57-A.EPENESA). FUMBLES (57-A.EPENESA) [57-A.EPENESA], RECOVERED BY BUF-57-A.EPENESA AT BUF 23.",0,2023,-10,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,1,0,0,0,,12,OPP,0,,0,,0,5,1783,0,0
2023100800,2023-10-08,2,0,17,JAX,BUF,0,0,100,1,0,TIMEOUT #3 BY BUF AT 00:17.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,1783,0,0
2023100800,2023-10-08,2,0,10,BUF,JAX,1,10,23,0,0,(:10) 17-J.ALLEN KNEELS TO BUF 22 FOR -1 YARDS.,0,2023,0,UNDER CENTER,QB KNEEL,0,0,0,0,,0,0,0,,0,0,0,0,0,,23,OWN,0,,0,,0,5,1790,0,0
2023100800,2023-10-08,3,15,0,BUF,JAX,1,10,25,1,0,(15:00) (SHOTGUN) 17-J.ALLEN PASS SHORT RIGHT TO 14-S.DIGGS TO BUF 39 FOR 14 YARDS (31-DARI.WILLIAMS).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,5,1800,0,0
2023100800,2023-10-08,3,15,0,BUF,JAX,0,0,65,1,0,"10-B.MCMANUS KICKS 65 YARDS FROM JAX 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,5,1800,0,0
2023100800,2023-10-08,2,0,0,BUF,JAX,0,0,100,1,0,END QUARTER 2,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,1800,0,0
2023100800,2023-10-08,3,14,24,BUF,JAX,1,10,39,0,0,"(14:24) (SHOTGUN) 4-J.COOK RIGHT TACKLE TO BUF 39 FOR NO GAIN (44-T.WALKER, 32-TY.CAMPBELL).",0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,39,OWN,0,,0,,0,5,1836,0,0
2023100800,2023-10-08,3,13,55,BUF,JAX,2,10,39,0,0,"(13:55) (NO HUDDLE, SHOTGUN) 17-J.ALLEN PASS INCOMPLETE SHORT LEFT TO 13-G.DAVIS. BUF-73-D.DAWKINS WAS INJURED DURING THE PLAY.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,5,1865,0,0
2023100800,2023-10-08,3,13,52,BUF,JAX,3,10,39,0,0,(13:52) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE SHORT RIGHT [37-T.HERNDON].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,5,1868,0,0
2023100800,2023-10-08,3,13,46,BUF,JAX,4,10,39,0,0,"(13:46) 8-S.MARTIN PUNTS 50 YARDS TO JAX 11, CENTER-69-R.FERGUSON. 39-J.AGNEW TO JAX 10 FOR -1 YARDS (59-K.JONATHAN). PENALTY ON JAX-30-M.BROWN, OFFENSIVE HOLDING, 5 YARDS, ENFORCED AT JAX 11.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,39,OWN,1,JAX,0,OFFENSIVE HOLDING,5,5,1874,0,0
2023100800,2023-10-08,3,13,34,JAX,BUF,1,13,3,0,0,(13:34) (SHOTGUN) 1-T.ETIENNE RIGHT GUARD TO JAX 5 FOR 2 YARDS (97-J.PHILLIPS; 91-E.OLIVER).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,3,OWN,0,,0,,0,5,1886,0,0
2023100800,2023-10-08,3,13,34,JAX,BUF,1,10,6,0,0,"(13:34) (SHOTGUN) PENALTY ON JAX-74-C.ROBINSON, FALSE START, 3 YARDS, ENFORCED AT JAX 6 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,6,OWN,1,JAX,1,FALSE START,3,5,1886,0,0
2023100800,2023-10-08,3,13,34,BUF,JAX,0,0,100,1,0,TIMEOUT AT 13:34.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,1886,0,0
2023100800,2023-10-08,3,12,54,JAX,BUF,2,11,5,0,0,(12:54) (SHOTGUN) 16-T.LAWRENCE PASS INCOMPLETE SHORT LEFT TO 13-C.KIRK (57-A.EPENESA).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,5,OWN,0,,0,,0,5,1926,0,0
2023100800,2023-10-08,3,12,52,JAX,BUF,3,11,5,0,0,"(12:52) (SHOTGUN) 16-T.LAWRENCE PASS INCOMPLETE DEEP MIDDLE TO 0-C.RIDLEY (23-M.HYDE) [57-A.EPENESA]. PENALTY ON BUF-21-J.POYER, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT JAX 5 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,1,0,0,,5,OWN,1,BUF,1,UNNECESSARY ROUGHNESS,15,5,1928,0,0
2023100800,2023-10-08,3,12,46,JAX,BUF,1,10,20,1,0,(12:46) (SHOTGUN) 16-T.LAWRENCE SCRAMBLES LEFT TACKLE TO JAX 31 FOR 11 YARDS (43-T.BERNARD).,0,2023,11,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,5,1934,0,0
2023100800,2023-10-08,3,12,8,JAX,BUF,1,10,31,1,0,(12:08) 1-T.ETIENNE LEFT END PUSHED OB AT BUF 38 FOR 31 YARDS (7-TA.JOHNSON).,0,2023,31,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,31,OWN,0,,0,,0,5,1972,0,0
2023100800,2023-10-08,3,11,34,JAX,BUF,1,10,62,0,0,(11:34) (SHOTGUN) 16-T.LAWRENCE SACKED AT BUF 45 FOR -7 YARDS (57-A.EPENESA).,0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,5,2006,0,0
2023100800,2023-10-08,3,10,51,JAX,BUF,2,17,55,0,0,"(10:51) (SHOTGUN) 79-L.FORTNER TO JAX 46 FOR -9 YARDS. FUMBLES, RECOVERED BY JAX-16-T.LAWRENCE AT JAX 42. 16-T.LAWRENCE SACKED AT JAX 40 FOR -15 YARDS (56-L.FLOYD). FUMBLES (56-L.FLOYD) [56-L.FLOYD], TOUCHED AT JAX 41, BALL OUT OF BOUNDS AT JAX 36.",0,2023,-9,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,1,0,0,0,,45,OPP,0,,0,,0,5,2049,0,0
2023100800,2023-10-08,3,10,20,JAX,BUF,3,36,36,0,0,"(10:20) (SHOTGUN) 4-T.BIGSBY UP THE MIDDLE TO JAX 43 FOR 7 YARDS (59-K.JONATHAN, 91-E.OLIVER).",0,2023,7,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,36,OWN,0,,0,,0,5,2080,0,0
