GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LV,GB
2023100900,2023-10-09,1,4,46,GB,LV,1,10,61,1,0,(4:46) (SHOTGUN) 10-J.LOVE PASS SHORT RIGHT TO 81-J.DEGUARA PUSHED OB AT LV 20 FOR 19 YARDS (33-R.TEAMER).,0,2023,19,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,614,0,0
2023100900,2023-10-09,1,4,7,GB,LV,1,10,80,0,0,(4:07) (SHOTGUN) 9-C.WATSON LEFT END TO LV 25 FOR -5 YARDS (5-D.DEABLO).,0,2023,-5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,20,OPP,0,,0,,0,653,0,0
2023100900,2023-10-09,1,3,26,GB,LV,2,15,75,0,0,"(3:26) (SHOTGUN) 10-J.LOVE PASS SHORT LEFT TO 11-J.REED TO LV 18 FOR 7 YARDS (5-D.DEABLO, 51-M.KOONCE).",0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,694,0,0
2023100900,2023-10-09,1,2,45,GB,LV,3,8,82,0,0,"(2:45) (SHOTGUN) 10-J.LOVE PASS INCOMPLETE SHORT MIDDLE. PENALTY ON GB-71-J.MYERS, INELIGIBLE DOWNFIELD PASS, DECLINED.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,1,0,0,,18,OPP,0,GB,0,INELIGIBLE DOWNFIELD PASS,0,735,0,0
2023100900,2023-10-09,1,2,41,GB,LV,4,8,82,0,0,"(2:41) 17-A.CARLSON 37 YARD FIELD GOAL IS GOOD, CENTER-42-M.ORZECH, HOLDER-19-D.WHELAN.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,739,0,0
2023100900,2023-10-09,1,2,38,LV,GB,0,0,65,1,0,"17-A.CARLSON KICKS 65 YARDS FROM GB 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,742,0,0
2023100900,2023-10-09,1,2,38,LV,GB,1,10,25,1,0,(2:38) 10-J.GAROPPOLO PASS SHORT RIGHT TO 87-M.MAYER TO LV 44 FOR 19 YARDS (20-R.FORD; 26-D.SAVAGE).,0,2023,19,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,742,0,0
2023100900,2023-10-09,1,2,38,LV,GB,0,0,100,1,0,TIMEOUT AT 02:38.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,742,0,0
2023100900,2023-10-09,1,1,57,LV,GB,1,10,44,0,0,"(1:57) PENALTY ON LV-11-T.TUCKER, FALSE START, 5 YARDS, ENFORCED AT LV 44 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,44,OWN,1,LV,1,FALSE START,5,783,0,0
2023100900,2023-10-09,1,1,35,LV,GB,1,15,39,1,0,(1:35) 11-T.TUCKER LEFT END TO GB 45 FOR 16 YARDS (20-R.FORD).,0,2023,16,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,39,OWN,0,,0,,0,805,0,0
