GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,NO,NE
2023100805,2023-10-08,1,10,28,NO,NE,4,24,41,0,0,"(10:28) 39-L.HEDLEY PUNTS 53 YARDS TO NE 6, CENTER-49-Z.WOOD, FAIR CATCH BY 5-J.PEPPERS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,272,0,0
2023100805,2023-10-08,1,10,21,NE,NO,0,0,100,1,0,TIMEOUT AT 10:21.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,279,0,0
2023100805,2023-10-08,1,10,21,NE,NO,1,10,6,0,0,(10:21) 38-R.STEVENSON RIGHT GUARD TO NE 14 FOR 8 YARDS (1-A.TAYLOR; 56-D.DAVIS).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,6,OWN,0,,0,,0,279,0,0
2023100805,2023-10-08,1,9,41,NE,NO,2,2,14,0,0,(9:41) 10-M.JONES PASS INCOMPLETE DEEP RIGHT TO 84-K.BOURNE.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,14,OWN,0,,0,,0,319,0,0
2023100805,2023-10-08,1,9,37,NE,NO,3,2,14,0,0,(9:37) (SHOTGUN) 10-M.JONES PASS INCOMPLETE DEEP LEFT TO 85-H.HENRY.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,14,OWN,0,,0,,0,323,0,0
2023100805,2023-10-08,1,9,32,NE,NO,4,2,14,0,0,"(9:32) 17-B.BARINGER PUNTS 26 YARDS TO NE 40, CENTER-49-J.CARDONA, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,14,OWN,0,,0,,0,328,0,0
2023100805,2023-10-08,1,9,25,NO,NE,1,10,60,0,0,(9:25) 41-A.KAMARA RIGHT END TO NE 36 FOR 4 YARDS (91-D.WISE).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,40,OPP,0,,0,,0,335,0,0
2023100805,2023-10-08,1,9,25,NE,NO,0,0,100,1,0,TIMEOUT AT 09:25.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,335,0,0
2023100805,2023-10-08,1,8,56,NO,NE,2,6,64,0,0,(8:56) (SHOTGUN) 4-D.CARR PASS SHORT RIGHT TO 41-A.KAMARA RAN OB AT NE 34 FOR 2 YARDS (29-J.JACKSON).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,36,OPP,0,,0,,0,364,0,0
2023100805,2023-10-08,1,8,23,NO,NE,3,4,66,0,0,"(8:23) (SHOTGUN) PENALTY ON NO-12-C.OLAVE, FALSE START, 5 YARDS, ENFORCED AT NE 34 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,34,OPP,1,NO,1,FALSE START,5,397,0,0
