GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,ATL,HOU
2023100801,2023-10-08,1,4,32,ATL,HOU,1,10,22,1,0,(4:32) 9-D.RIDDER PASS DEEP RIGHT TO 18-M.HOLLINS TO ATL 41 FOR 19 YARDS (39-H.TO'OTO'O).,0,2023,19,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,628,0,0
2023100801,2023-10-08,1,3,57,ATL,HOU,1,10,41,0,0,"(3:57) (SHOTGUN) 7-B.ROBINSON LEFT END TO ATL 42 FOR 1 YARD (98-S.RANKINS, 53-B.CASHMAN).",0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,41,OWN,0,,0,,0,663,0,0
2023100801,2023-10-08,1,3,18,ATL,HOU,2,9,42,0,0,"(3:18) PENALTY ON HOU-52-J.GREENARD, ENCROACHMENT, 5 YARDS, ENFORCED AT ATL 42 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,42,OWN,1,HOU,1,ENCROACHMENT,5,702,0,0
2023100801,2023-10-08,1,3,2,ATL,HOU,2,4,47,0,0,(3:02) 7-B.ROBINSON RIGHT TACKLE TO ATL 46 FOR -1 YARDS (98-S.RANKINS).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,47,OWN,0,,0,,0,718,0,0
2023100801,2023-10-08,1,2,25,ATL,HOU,3,5,46,0,0,(2:25) (SHOTGUN) 9-D.RIDDER PASS INCOMPLETE SHORT MIDDLE TO 81-J.SMITH.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,755,0,0
2023100801,2023-10-08,1,2,22,ATL,HOU,4,10,41,0,0,"(2:22) 13-B.PINION PUNTS 43 YARDS TO HOU 16, CENTER-49-L.MCCULLOUGH. 2-R.WOODS PUSHED OB AT HOU 26 FOR 10 YARDS (37-D.HELLAMS; 49-L.MCCULLOUGH).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,758,0,0
2023100801,2023-10-08,1,2,9,ATL,HOU,0,0,100,1,0,TIMEOUT AT 02:09.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,771,0,0
2023100801,2023-10-08,1,2,9,HOU,ATL,1,10,26,1,0,(2:09) (SHOTGUN) 7-C.STROUD PASS DEEP MIDDLE TO 3-N.DELL TO HOU 48 FOR 22 YARDS (20-D.ALFORD).,0,2023,22,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,771,0,0
2023100801,2023-10-08,1,1,34,HOU,ATL,1,10,48,0,0,(1:34) 31-D.PIERCE LEFT TACKLE TO 50 FOR 2 YARDS (75-E.ANKOU; 96-Z.HARRISON).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,48,OWN,0,,0,,0,806,0,0
2023100801,2023-10-08,1,0,56,HOU,ATL,2,8,100,1,0,(:56) (SHOTGUN) 7-C.STROUD PASS SHORT LEFT TO 12-N.COLLINS TO ATL 25 FOR 25 YARDS (53-N.LANDMAN).,0,2023,25,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,844,0,0
2023100801,2023-10-08,1,0,19,HOU,ATL,1,10,75,0,0,(:19) 3-N.DELL RIGHT END TO ATL 30 FOR -5 YARDS (20-D.ALFORD).,0,2023,-5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,25,OPP,0,,0,,0,881,0,0
2023100801,2023-10-08,1,0,0,HOU,ATL,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023100801,2023-10-08,2,15,0,HOU,ATL,2,15,70,0,0,(15:00) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE SHORT LEFT TO 86-D.SCHULTZ.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,900,0,0
2023100801,2023-10-08,2,14,56,HOU,ATL,3,15,70,0,0,(14:56) (SHOTGUN) 7-C.STROUD PASS SHORT MIDDLE TO 2-R.WOODS TO ATL 25 FOR 5 YARDS (20-D.ALFORD; 53-N.LANDMAN).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,904,0,0
2023100801,2023-10-08,2,14,15,HOU,ATL,4,10,75,0,0,"(14:15) 15-K.FAIRBAIRN 43 YARD FIELD GOAL IS GOOD, CENTER-46-J.WEEKS, HOLDER-11-C.JOHNSTON.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,945,0,0
2023100801,2023-10-08,2,14,10,ATL,HOU,1,5,30,0,0,(14:10) (SHOTGUN) 25-T.ALLGEIER LEFT END TO ATL 31 FOR 1 YARD (92-D.HORTON).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,30,OWN,0,,0,,0,950,0,0
2023100801,2023-10-08,2,14,10,ATL,HOU,0,0,65,1,0,"15-K.FAIRBAIRN KICKS 65 YARDS FROM HOU 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,950,0,0
2023100801,2023-10-08,2,14,10,ATL,HOU,0,0,100,1,0,TIMEOUT AT 14:10.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,950,0,0
2023100801,2023-10-08,2,14,10,ATL,HOU,1,10,25,0,0,"(14:10) (SHOTGUN) PENALTY ON HOU-93-K.HINISH, NEUTRAL ZONE INFRACTION, 5 YARDS, ENFORCED AT ATL 25 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,25,OWN,1,HOU,1,NEUTRAL ZONE INFRACTION,5,950,0,0
2023100801,2023-10-08,2,13,49,ATL,HOU,2,4,31,0,0,"(13:49) (NO HUDDLE, SHOTGUN) 9-D.RIDDER PASS SHORT RIGHT TO 81-J.SMITH TO ATL 32 FOR 1 YARD (53-B.CASHMAN).",0,2023,1,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,971,0,0
2023100801,2023-10-08,2,13,9,ATL,HOU,3,3,32,0,0,(13:09) (SHOTGUN) 9-D.RIDDER PASS INCOMPLETE DEEP MIDDLE TO 8-K.PITTS (5-J.PITRE).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,1011,0,0
2023100801,2023-10-08,2,13,4,ATL,HOU,4,3,32,0,0,"(13:04) 13-B.PINION PUNTS 38 YARDS TO HOU 30, CENTER-49-L.MCCULLOUGH, FAIR CATCH BY 3-N.DELL.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,1016,0,0
2023100801,2023-10-08,2,12,58,HOU,ATL,1,10,30,1,0,(12:58) 7-C.STROUD PASS SHORT MIDDLE TO 84-T.QUITORIANO TO ATL 48 FOR 22 YARDS (27-R.GRANT).,0,2023,22,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,1022,0,0
2023100801,2023-10-08,2,12,58,ATL,HOU,0,0,100,1,0,TIMEOUT AT 12:58.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1022,0,0
2023100801,2023-10-08,2,12,12,HOU,ATL,1,10,52,0,0,(12:12) (SHOTGUN) 3-N.DELL LEFT TACKLE TO ATL 47 FOR 1 YARD (53-N.LANDMAN).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,48,OPP,0,,0,,0,1068,0,0
2023100801,2023-10-08,2,11,30,HOU,ATL,2,9,53,0,0,(11:30) 7-C.STROUD PASS INCOMPLETE DEEP RIGHT TO 3-N.DELL.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,1110,0,0
2023100801,2023-10-08,2,11,26,HOU,ATL,3,9,53,0,0,(11:26) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE SHORT RIGHT TO 2-R.WOODS (20-D.ALFORD) [53-N.LANDMAN].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,1114,0,0
2023100801,2023-10-08,2,11,19,HOU,ATL,4,9,53,0,0,"(11:19) 11-C.JOHNSTON PUNTS 36 YARDS TO ATL 11, CENTER-46-J.WEEKS, FAIR CATCH BY 21-M.HUGHES.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,47,OPP,0,,0,,0,1121,0,0
2023100801,2023-10-08,2,11,12,ATL,HOU,0,0,100,1,0,TIMEOUT AT 11:12.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1128,0,0
2023100801,2023-10-08,2,11,12,ATL,HOU,1,10,11,1,0,(11:12) 9-D.RIDDER PASS DEEP RIGHT TO 40-K.SMITH TO ATL 39 FOR 28 YARDS (1-J.WARD).,0,2023,28,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,1128,0,0
2023100801,2023-10-08,2,10,35,ATL,HOU,1,10,39,0,0,(10:35) 25-T.ALLGEIER RIGHT GUARD TO ATL 39 FOR NO GAIN (39-H.TO'OTO'O; 6-D.PERRYMAN). HOU-39-H.TO'OTO'O WAS INJURED DURING THE PLAY.,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,39,OWN,0,,0,,0,1165,0,0
