GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,LA,PHI
2023100808,2023-10-08,1,6,55,LA,PHI,1,10,59,0,0,"(6:55) (NO HUDDLE, SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT MIDDLE TO 10-C.KUPP.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,5,485,0,0
2023100808,2023-10-08,1,6,51,LA,PHI,2,10,59,0,0,(6:51) (SHOTGUN) 23-K.WILLIAMS UP THE MIDDLE TO PHI 39 FOR 2 YARDS (32-R.BLANKENSHIP).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,41,OPP,0,,0,,0,5,489,0,0
2023100808,2023-10-08,1,6,10,LA,PHI,3,8,61,1,0,(6:10) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 10-C.KUPP TO PHI 31 FOR 8 YARDS (39-E.RICKS).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,5,530,0,0
2023100808,2023-10-08,1,5,31,LA,PHI,1,10,69,0,0,(5:31) 23-K.WILLIAMS RIGHT END PUSHED OB AT PHI 24 FOR 7 YARDS (41-N.MORROW).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,31,OPP,0,,0,,0,5,569,0,0
2023100808,2023-10-08,1,4,54,LA,PHI,2,3,76,0,0,(4:54) 23-K.WILLIAMS UP THE MIDDLE TO PHI 22 FOR 2 YARDS (94-J.SWEAT).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,24,OPP,0,,0,,0,5,606,0,0
2023100808,2023-10-08,1,4,11,LA,PHI,3,1,78,0,0,(4:11) (SHOTGUN) 9-M.STAFFORD PASS INCOMPLETE SHORT MIDDLE TO 17-P.NACUA [94-J.SWEAT].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,5,649,0,0
2023100808,2023-10-08,1,4,5,LA,PHI,4,1,78,1,0,"(4:05) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 10-C.KUPP TO PHI 10 FOR 12 YARDS (39-E.RICKS, 32-R.BLANKENSHIP) [7-H.REDDICK].",0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,22,OPP,0,,0,,0,5,655,0,0
2023100808,2023-10-08,1,3,25,LA,PHI,1,10,90,0,0,(3:25) 23-K.WILLIAMS LEFT END TO PHI 11 FOR -1 YARDS (41-N.MORROW).,0,2023,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,10,OPP,0,,0,,0,5,695,0,0
2023100808,2023-10-08,1,2,45,LA,PHI,2,11,89,0,0,(2:45) (SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 10-C.KUPP TO PHI 3 FOR 8 YARDS (2-D.SLAY).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,5,735,0,0
2023100808,2023-10-08,1,2,4,LA,PHI,3,3,97,1,0,"(2:04) (SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 5-T.ATWELL FOR 3 YARDS, TOUCHDOWN.",0,2023,3,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,3,OPP,0,,0,,0,5,776,0,0
2023100808,2023-10-08,1,2,1,LA,PHI,0,0,100,1,0,TIMEOUT AT 02:01.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,5,779,0,0
2023100808,2023-10-08,1,2,1,LA,PHI,0,0,85,1,0,"8-B.MAHER EXTRA POINT IS GOOD, CENTER-47-A.WARD, HOLDER-42-E.EVANS.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,5,779,0,0
