GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CAR,DET
2023100802,2023-10-08,1,4,53,CAR,DET,1,10,25,0,0,(4:53) 30-C.HUBBARD RIGHT TACKLE TO CAR 26 FOR 1 YARD (31-K.JOSEPH; 55-D.BARNES). CAR-62-C.ZAVALA WAS INJURED DURING THE PLAY. HE IS OUT.,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OWN,0,,0,,0,607,0,0
2023100802,2023-10-08,1,4,53,DET,CAR,0,0,85,1,0,"36-R.PATTERSON EXTRA POINT IS GOOD, CENTER-47-S.DALY, HOLDER-3-J.FOX.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,607,0,0
2023100802,2023-10-08,1,4,53,CAR,DET,0,0,65,1,0,"3-J.FOX KICKS 65 YARDS FROM DET 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,607,0,0
2023100802,2023-10-08,1,4,53,DET,CAR,0,0,100,1,0,TIMEOUT AT 04:53.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,607,0,0
2023100802,2023-10-08,1,4,44,CAR,DET,0,0,100,1,0,TIMEOUT AT 04:44.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,616,0,0
2023100802,2023-10-08,1,4,25,CAR,DET,2,9,26,0,0,(4:25) (SHOTGUN) 9-B.YOUNG PASS SHORT LEFT TO 19-A.THIELEN PUSHED OB AT CAR 31 FOR 5 YARDS (25-W.HARRIS). DET-4-E.MOSELEY WAS INJURED DURING THE PLAY. HE IS OUT.,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,635,0,0
2023100802,2023-10-08,1,3,56,CAR,DET,3,4,31,1,0,(3:56) (SHOTGUN) 9-B.YOUNG PASS SHORT LEFT TO 19-A.THIELEN TO CAR 39 FOR 8 YARDS (55-D.BARNES).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,664,0,0
2023100802,2023-10-08,1,3,30,CAR,DET,1,10,39,0,0,"(3:30) (NO HUDDLE, SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 19-A.THIELEN TO CAR 45 FOR 6 YARDS (25-W.HARRIS).",0,2023,6,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,39,OWN,0,,0,,0,690,0,0
2023100802,2023-10-08,1,2,56,CAR,DET,2,4,45,1,0,"(2:56) (NO HUDDLE, SHOTGUN) 6-M.SANDERS UP THE MIDDLE TO DET 46 FOR 9 YARDS (34-A.ANZALONE).",0,2023,9,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,45,OWN,0,,0,,0,724,0,0
2023100802,2023-10-08,1,2,25,CAR,DET,1,10,54,1,0,(2:25) (SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 15-J.MINGO TO DET 33 FOR 13 YARDS (1-C.SUTTON).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,755,0,0
2023100802,2023-10-08,1,1,56,CAR,DET,1,10,67,0,0,"(1:56) (NO HUDDLE, SHOTGUN) 6-M.SANDERS UP THE MIDDLE TO DET 29 FOR 4 YARDS (1-C.SUTTON, 21-T.WALKER).",0,2023,4,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,33,OPP,0,,0,,0,784,0,0
