GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,GB,DET
2023112300,2023-11-23,1,5,18,GB,DET,1,10,67,1,0,(5:18) (SHOTGUN) 11-J.REED LEFT END TO DET 18 FOR 15 YARDS (34-A.ANZALONE).,0,2023,15,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,33,OPP,0,,0,,0,12,582,0,0
2023112300,2023-11-23,1,4,31,GB,DET,1,10,82,0,0,(4:31) (SHOTGUN) 10-J.LOVE PASS SHORT RIGHT TO 9-C.WATSON TO DET 10 FOR 8 YARDS (46-J.CAMPBELL; 32-B.BRANCH).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,12,629,0,0
2023112300,2023-11-23,1,3,49,GB,DET,2,2,90,0,0,(3:49) (SHOTGUN) 28-A.DILLON RIGHT TACKLE TO DET 9 FOR 1 YARD (79-J.COMINSKY; 55-D.BARNES).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,10,OPP,0,,0,,0,12,671,0,0
2023112300,2023-11-23,1,3,13,GB,DET,3,1,91,1,0,"(3:13) (SHOTGUN) 10-J.LOVE PASS SHORT RIGHT TO 85-T.KRAFT FOR 9 YARDS, TOUCHDOWN.",0,2023,9,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,,9,OPP,0,,0,,0,12,707,0,0
2023112300,2023-11-23,1,3,8,DET,GB,1,10,25,0,0,(3:08) (SHOTGUN) 16-J.GOFF SCRAMBLES UP THE MIDDLE TO DET 28 FOR 3 YARDS (58-I.MCDUFFIE; 91-P.SMITH).,0,2023,3,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,12,712,0,0
2023112300,2023-11-23,1,3,8,DET,GB,0,0,65,1,0,"17-A.CARLSON KICKS 65 YARDS FROM GB 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,12,712,0,0
2023112300,2023-11-23,1,3,8,DET,GB,0,0,100,1,0,TIMEOUT AT 03:08.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,712,0,0
2023112300,2023-11-23,1,3,8,GB,DET,0,0,85,1,0,"17-A.CARLSON EXTRA POINT IS GOOD, CENTER-42-M.ORZECH, HOLDER-19-D.WHELAN.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,12,712,0,0
2023112300,2023-11-23,1,2,41,DET,GB,2,7,28,0,0,"(2:41) 26-J.GIBBS LEFT TACKLE TO DET 31 FOR 3 YARDS (52-R.GARY). PENALTY ON DET-19-D.PEOPLES-JONES, OFFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT DET 28 - NO PLAY.",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT TACKLE,28,OWN,1,DET,1,OFFENSIVE OFFSIDE,5,12,739,0,0
2023112300,2023-11-23,1,2,23,DET,GB,2,12,23,0,0,"(2:23) (SHOTGUN) 16-J.GOFF SACKED AT DET 19 FOR -4 YARDS (52-R.GARY). FUMBLES (52-R.GARY) [52-R.GARY], RECOVERED BY GB-34-J.OWENS AT DET 27. 34-J.OWENS FOR 27 YARDS, TOUCHDOWN. THE REPLAY OFFICIAL REVIEWED THE FUMBLE RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS.",0,2023,-4,SHOTGUN,SACK,0,0,0,1,,1,0,0,,0,1,0,0,0,,23,OWN,0,,0,,0,12,757,0,0
