GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CAR,TEN
2023112605,2023-11-26,3,10,10,CAR,TEN,1,10,87,0,0,(10:10) (SHOTGUN) 9-B.YOUNG SCRAMBLES LEFT END PUSHED OB AT TEN 7 FOR 6 YARDS (37-A.HOOKER).,0,2023,6,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,13,OPP,0,,0,,0,2090,0,0
2023112605,2023-11-26,3,9,29,CAR,TEN,2,4,93,0,0,(9:29) (SHOTGUN) 30-C.HUBBARD LEFT TACKLE TO TEN 4 FOR 3 YARDS (35-K.WALLACE).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,7,OPP,0,,0,,0,2131,0,0
2023112605,2023-11-26,3,8,51,CAR,TEN,3,1,96,0,0,(8:51) (SHOTGUN) 30-C.HUBBARD UP THE MIDDLE TO TEN 5 FOR -1 YARDS (93-T.TART).,0,2023,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,4,OPP,0,,0,,0,2169,0,0
2023112605,2023-11-26,3,8,9,CAR,TEN,4,2,95,1,0,"(8:09) (SHOTGUN) 30-C.HUBBARD UP THE MIDDLE FOR 5 YARDS, TOUCHDOWN.",0,2023,5,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,CENTER,5,OPP,0,,0,,0,2211,0,0
2023112605,2023-11-26,3,8,6,TEN,CAR,0,0,65,1,0,4-E.PINEIRO KICKS 65 YARDS FROM CAR 35 TO TEN 0. 11-C.MOORE TO TEN 21 FOR 21 YARDS (90-A.BARNO; 33-T.DAVIS).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,2214,0,0
2023112605,2023-11-26,3,8,6,TEN,CAR,0,0,100,1,0,TIMEOUT AT 08:06.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2214,0,0
2023112605,2023-11-26,3,8,6,CAR,TEN,0,0,85,1,0,"4-E.PINEIRO EXTRA POINT IS GOOD, CENTER-44-J.JANSEN, HOLDER-10-J.HEKKER.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,2214,0,0
2023112605,2023-11-26,3,8,0,TEN,CAR,1,10,21,1,0,(8:00) 22-D.HENRY LEFT END TO TEN 36 FOR 15 YARDS (20-D.LONG).,0,2023,15,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,21,OWN,0,,0,,0,2220,0,0
2023112605,2023-11-26,3,7,12,TEN,CAR,1,10,36,0,0,"(7:12) 8-W.LEVIS PASS SHORT MIDDLE TO 85-C.OKONKWO TO TEN 42 FOR 6 YARDS (20-D.LONG, 49-F.LUVU). CAR-20-D.LONG WAS INJURED DURING THE PLAY.",0,2023,6,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,2268,0,0
2023112605,2023-11-26,3,6,32,TEN,CAR,2,4,42,0,0,(6:32) (SHOTGUN) 11-C.MOORE LEFT END TO TEN 43 FOR 1 YARD (29-D.JAMISON).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,42,OWN,0,,0,,0,2308,0,0
2023112605,2023-11-26,3,5,50,TEN,CAR,3,3,43,0,0,"(5:50) (SHOTGUN) PENALTY ON TEN-79-J.DUNCAN, FALSE START, 5 YARDS, ENFORCED AT TEN 43 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,43,OWN,1,TEN,1,FALSE START,5,2350,0,0
2023112605,2023-11-26,3,5,35,TEN,CAR,3,8,38,0,0,(5:35) (SHOTGUN) 8-W.LEVIS PASS INCOMPLETE DEEP LEFT TO 11-C.MOORE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,2365,0,0
2023112605,2023-11-26,3,5,29,TEN,CAR,4,8,38,0,0,"(5:29) 4-R.STONEHOUSE PUNTS 56 YARDS TO CAR 6, CENTER-46-M.COX. 11-I.SMITH-MARSETTE RAN OB AT CAR 12 FOR 6 YARDS (40-A.KENDALL; 37-A.HOOKER).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,2371,0,0
2023112605,2023-11-26,3,5,20,CAR,TEN,1,10,12,0,0,(5:20) (SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 5-L.SHENAULT TO CAR 20 FOR 8 YARDS (21-R.MCCREARY).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,12,OWN,0,,0,,0,2380,0,0
2023112605,2023-11-26,3,5,20,TEN,CAR,0,0,100,1,0,TIMEOUT AT 05:20.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2380,0,0
2023112605,2023-11-26,3,4,44,CAR,TEN,2,2,20,1,0,"(4:44) (SHOTGUN) 6-M.SANDERS RIGHT TACKLE TO CAR 26 FOR 6 YARDS (35-K.WALLACE, 37-A.HOOKER).",0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,20,OWN,0,,0,,0,2416,0,0
2023112605,2023-11-26,3,4,8,CAR,TEN,1,10,26,0,0,(4:08) (SHOTGUN) 9-B.YOUNG SACKED AT CAR 19 FOR -7 YARDS (98-J.SIMMONS). CAR-68-C.MAYS WAS INJURED DURING THE PLAY.,0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,2452,0,0
2023112605,2023-11-26,3,3,49,CAR,TEN,0,0,100,1,0,TIMEOUT AT 03:49.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,2471,0,0
2023112605,2023-11-26,3,3,46,CAR,TEN,2,17,19,0,0,(3:46) (SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 82-T.TREMBLE TO CAR 26 FOR 7 YARDS (35-K.WALLACE).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,2474,0,0
2023112605,2023-11-26,3,3,6,CAR,TEN,3,10,26,1,0,(3:06) (SHOTGUN) 9-B.YOUNG PASS SHORT MIDDLE TO 30-C.HUBBARD TO CAR 36 FOR 10 YARDS (37-A.HOOKER; 35-K.WALLACE).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,2514,0,0
