GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,NYJ,MIA
2023112400,2023-11-24,1,5,49,NYJ,MIA,3,10,5,0,0,(5:49) (SHOTGUN) 7-T.BOYLE PASS SHORT LEFT TO 83-T.CONKLIN TO NYJ 13 FOR 8 YARDS (51-D.LONG).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,5,OWN,0,,0,,0,551,0,0
2023112400,2023-11-24,1,5,7,NYJ,MIA,4,2,13,0,0,"(5:07) 5-T.MORSTEAD PUNTS 52 YARDS TO MIA 35, CENTER-42-T.HENNESSY. 0-B.BERRIOS TO MIA 44 FOR 9 YARDS (19-I.CHARLES).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,13,OWN,0,,0,,0,593,0,0
2023112400,2023-11-24,1,4,57,MIA,NYJ,1,10,44,0,0,"(4:57) (SHOTGUN) 23-J.WILSON RIGHT END TO MIA 47 FOR 3 YARDS (94-S.THOMAS, 56-QU.WILLIAMS).",0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,44,OWN,0,,0,,0,603,0,0
2023112400,2023-11-24,1,4,16,MIA,NYJ,2,7,47,1,0,(4:16) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT RIGHT TO 81-D.SMYTHE TO NYJ 43 FOR 10 YARDS (3-J.WHITEHEAD).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,644,0,0
2023112400,2023-11-24,1,3,32,MIA,NYJ,1,10,57,1,0,(3:32) 23-J.WILSON RIGHT GUARD TO NYJ 29 FOR 14 YARDS (3-J.WHITEHEAD; 1-A.GARDNER).,0,2023,14,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,43,OPP,0,,0,,0,688,0,0
2023112400,2023-11-24,1,2,50,MIA,NYJ,1,10,71,0,0,(2:50) 23-J.WILSON RIGHT END TO NYJ 25 FOR 4 YARDS (57-C.MOSLEY).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,29,OPP,0,,0,,0,730,0,0
2023112400,2023-11-24,1,2,13,MIA,NYJ,2,6,75,0,0,(2:13) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT LEFT TO 10-T.HILL PUSHED OB AT NYJ 20 FOR 5 YARDS (4-D.REED).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,767,0,0
2023112400,2023-11-24,1,1,33,MIA,NYJ,3,1,80,0,0,(1:33) (SHOTGUN) 1-T.TAGOVAILOA PASS INCOMPLETE SHORT RIGHT TO 81-D.SMYTHE (57-C.MOSLEY).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,807,0,0
2023112400,2023-11-24,1,1,29,MIA,NYJ,4,1,80,0,0,"(1:29) 7-J.SANDERS 38 YARD FIELD GOAL IS GOOD, CENTER-44-B.FERGUSON, HOLDER-16-J.BAILEY.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,811,0,0
2023112400,2023-11-24,1,1,26,NYJ,MIA,0,0,100,1,0,TIMEOUT AT 01:26.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,814,0,0
2023112400,2023-11-24,1,1,26,NYJ,MIA,0,0,65,1,0,"7-J.SANDERS KICKS 65 YARDS FROM MIA 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,814,0,0
2023112400,2023-11-24,1,1,26,NYJ,MIA,1,10,25,0,0,"(1:26) 7-T.BOYLE FUMBLES (ABORTED) AT NYJ 18, RECOVERED BY NYJ-20-BRE.HALL AT NYJ 19. 20-BRE.HALL TO NYJ 20 FOR 1 YARD (15-J.PHILLIPS).",0,2023,0,UNDER CENTER,FUMBLES,0,0,0,0,,0,0,0,,0,1,0,0,0,,25,OWN,0,,0,,0,814,0,0
