GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,WAS,DAL
2023112301,2023-11-23,1,5,53,DAL,WAS,1,15,5,1,0,(5:53) (SHOTGUN) 4-D.PRESCOTT PASS DEEP MIDDLE TO 87-J.FERGUSON TO DAL 40 FOR 35 YARDS (57-C.BARTON).,0,2023,35,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,5,OWN,0,,0,,0,547,0,0
2023112301,2023-11-23,1,5,53,DAL,WAS,1,10,10,0,0,"(5:53) PENALTY ON DAL-70-Z.MARTIN, FALSE START, 5 YARDS, ENFORCED AT DAL 10 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,10,OWN,1,DAL,1,FALSE START,5,547,0,0
2023112301,2023-11-23,1,5,53,DAL,WAS,0,0,100,1,0,TIMEOUT AT 05:53.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,547,0,0
2023112301,2023-11-23,1,5,19,DAL,WAS,1,10,40,0,0,(5:19) 20-T.POLLARD RIGHT END TO DAL 49 FOR 9 YARDS (31-K.CURL).,0,2023,9,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,40,OWN,0,,0,,0,581,0,0
2023112301,2023-11-23,1,4,46,DAL,WAS,2,1,49,0,0,(4:46) 20-T.POLLARD RIGHT TACKLE TO DAL 46 FOR -3 YARDS (94-D.PAYNE).,0,2023,-3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,49,OWN,0,,0,,0,614,0,0
2023112301,2023-11-23,1,4,8,DAL,WAS,3,4,46,1,0,(4:08) (SHOTGUN) 4-D.PRESCOTT PASS SHORT MIDDLE TO 88-C.LAMB TO WAS 46 FOR 8 YARDS (55-K.HENRY).,0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,652,0,0
2023112301,2023-11-23,1,3,34,DAL,WAS,1,10,54,0,0,(3:34) (SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE SHORT RIGHT TO 3-B.COOKS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,686,0,0
2023112301,2023-11-23,1,3,29,DAL,WAS,2,10,54,0,0,"(3:29) 23-R.DOWDLE LEFT END PUSHED OB AT WAS 35 FOR 11 YARDS (35-P.BUTLER). PENALTY ON DAL-88-C.LAMB, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT WAS 46 - NO PLAY.",0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT END,46,OPP,1,DAL,1,OFFENSIVE HOLDING,10,691,0,0
2023112301,2023-11-23,1,3,19,DAL,WAS,2,20,44,0,0,"(3:19) (SHOTGUN) PENALTY ON DAL-88-C.LAMB, FALSE START, 5 YARDS, ENFORCED AT DAL 44 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,44,OWN,1,DAL,1,FALSE START,5,701,0,0
2023112301,2023-11-23,1,3,3,DAL,WAS,2,25,39,0,0,"(3:03) (SHOTGUN) 4-D.PRESCOTT PASS DEEP MIDDLE TO 18-J.TOLBERT TO WAS 43 FOR 18 YARDS (29-K.FULLER). PENALTY ON WAS-94-D.PAYNE, DEFENSIVE OFFSIDE, DECLINED.",0,2023,18,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,1,0,0,,39,OWN,0,WAS,0,DEFENSIVE OFFSIDE,0,717,0,0
2023112301,2023-11-23,1,2,54,DAL,WAS,3,7,57,1,0,(2:54) (SHOTGUN) 20-T.POLLARD RIGHT END TO WAS 29 FOR 14 YARDS (29-K.FULLER).,0,2023,14,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,43,OPP,0,,0,,0,726,0,0
2023112301,2023-11-23,1,2,20,DAL,WAS,1,10,71,0,0,"(2:20) (SHOTGUN) 4-D.PRESCOTT PASS SHORT LEFT TO 20-T.POLLARD TO WAS 23 FOR 6 YARDS (20-J.MARTIN, 52-J.DAVIS). FUMBLES (52-J.DAVIS), TOUCHED AT WAS 23, RECOVERED BY DAL-88-C.LAMB AT WAS 22.",0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,1,0,0,0,,29,OPP,0,,0,,0,760,0,0
