GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,PIT,CIN
2023112601,2023-11-26,1,3,31,CIN,PIT,2,8,52,0,0,(3:31) (SHOTGUN) 28-J.MIXON RIGHT GUARD TO PIT 45 FOR 3 YARDS (90-T.WATT).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,48,OPP,0,,0,,0,12,689,0,0
2023112601,2023-11-26,1,2,47,CIN,PIT,3,5,55,0,0,"(2:47) (SHOTGUN) PENALTY ON CIN-83-T.BOYD, FALSE START, 5 YARDS, ENFORCED AT PIT 45 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,45,OPP,1,CIN,1,FALSE START,5,12,733,0,0
2023112601,2023-11-26,1,2,32,CIN,PIT,3,10,100,0,0,"(2:32) (SHOTGUN) 6-J.BROWNING PASS SHORT LEFT TO 81-I.SMITH TO PIT 44 FOR 6 YARDS (20-P.PETERSON, 23-D.KAZEE).",0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,748,0,0
2023112601,2023-11-26,1,1,42,CIN,PIT,4,4,56,0,0,"(1:42) (SHOTGUN) PENALTY ON CIN, DELAY OF GAME, 5 YARDS, ENFORCED AT PIT 44 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,44,OPP,1,CIN,1,DELAY OF GAME,5,12,798,0,0
2023112601,2023-11-26,1,1,29,CIN,PIT,4,9,51,0,0,"(1:29) 10-B.ROBBINS PUNTS 38 YARDS TO PIT 11, CENTER-48-C.ADOMITIS, FAIR CATCH BY 19-C.AUSTIN.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,12,811,0,0
2023112601,2023-11-26,1,1,23,PIT,CIN,1,10,11,1,0,(1:23) 22-N.HARRIS RIGHT GUARD TO PIT 31 FOR 20 YARDS (23-D.HILL).,0,2023,20,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,11,OWN,0,,0,,0,12,817,0,0
2023112601,2023-11-26,1,1,23,CIN,PIT,0,0,100,1,0,TIMEOUT AT 01:23.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,817,0,0
2023112601,2023-11-26,1,0,35,PIT,CIN,1,10,31,0,0,(:35) (SHOTGUN) 8-K.PICKETT SCRAMBLES RIGHT END RAN OB AT PIT 36 FOR 5 YARDS (96-C.SAMPLE).,0,2023,5,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,12,865,0,0
2023112601,2023-11-26,2,15,0,PIT,CIN,2,5,36,0,0,(15:00) 30-J.WARREN LEFT TACKLE TO PIT 38 FOR 2 YARDS (92-B.HILL; 94-S.HUBBARD).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,36,OWN,0,,0,,0,12,900,0,0
2023112601,2023-11-26,1,0,0,PIT,CIN,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,900,0,0
