GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,CHI,MIN
2023112700,2023-11-27,1,1,50,CHI,MIN,2,27,45,0,0,(1:50) (SHOTGUN) 1-J.FIELDS PASS SHORT RIGHT TO 85-C.KMET TO MIN 49 FOR 6 YARDS (7-B.MURPHY).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,12,790,0,0
2023112700,2023-11-27,1,1,5,CHI,MIN,3,21,51,0,0,(1:05) (SHOTGUN) 1-J.FIELDS PASS SHORT RIGHT TO 23-R.JOHNSON TO MIN 38 FOR 11 YARDS (22-H.SMITH; 7-B.MURPHY).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,12,835,0,0
2023112700,2023-11-27,1,0,22,CHI,MIN,4,10,62,1,0,(:22) (SHOTGUN) 1-J.FIELDS PASS SHORT LEFT TO 85-C.KMET TO MIN 14 FOR 24 YARDS (25-TH.JACKSON).,0,2023,24,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,12,878,0,0
2023112700,2023-11-27,1,0,0,CHI,MIN,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,900,0,0
2023112700,2023-11-27,2,15,0,CHI,MIN,1,10,86,0,0,(15:00) 23-R.JOHNSON LEFT END TO MIN 8 FOR 6 YARDS (98-D.WONNUM).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,14,OPP,0,,0,,0,12,900,0,0
2023112700,2023-11-27,2,14,24,CHI,MIN,2,4,92,0,0,(14:24) (SHOTGUN) 1-J.FIELDS PASS INCOMPLETE SHORT RIGHT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,8,OPP,0,,0,,0,12,936,0,0
2023112700,2023-11-27,2,14,18,CHI,MIN,3,4,92,0,0,(14:18) (SHOTGUN) 1-J.FIELDS PASS SHORT RIGHT TO 23-R.JOHNSON TO MIN 7 FOR 1 YARD (24-C.BYNUM).,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,8,OPP,0,,0,,0,12,942,0,0
2023112700,2023-11-27,2,13,37,CHI,MIN,4,3,93,0,0,"(13:37) 8-C.SANTOS 25 YARD FIELD GOAL IS GOOD, CENTER-48-P.SCALES, HOLDER-16-T.GILL. CHI-76-T.JENKINS WAS INJURED DURING THE PLAY.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,7,OPP,0,,0,,0,12,983,0,0
2023112700,2023-11-27,2,13,35,MIN,CHI,1,10,25,0,0,(13:35) 15-J.DOBBS SCRAMBLES LEFT END TO MIN 29 FOR 4 YARDS (49-T.EDMUNDS).,0,2023,4,UNDER CENTER,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,12,985,0,0
2023112700,2023-11-27,2,13,35,MIN,CHI,0,0,100,1,0,TIMEOUT AT 13:35.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,985,0,0
2023112700,2023-11-27,2,13,35,MIN,CHI,0,0,65,1,0,"8-C.SANTOS KICKS 65 YARDS FROM CHI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,12,985,0,0
2023112700,2023-11-27,2,13,1,MIN,CHI,2,6,29,1,0,(13:01) 2-A.MATTISON LEFT END TO MIN 37 FOR 8 YARDS (97-A.BILLINGS; 91-Y.NGAKOUE).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,29,OWN,0,,0,,0,12,1019,0,0
2023112700,2023-11-27,2,12,26,MIN,CHI,1,10,37,0,0,(12:26) (NO HUDDLE) 2-A.MATTISON RIGHT END TO MIN 35 FOR -2 YARDS (49-T.EDMUNDS).,0,2023,-2,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,37,OWN,0,,0,,0,12,1054,0,0
2023112700,2023-11-27,2,11,43,MIN,CHI,2,12,35,0,0,"(11:43) (SHOTGUN) 15-J.DOBBS PASS DEEP LEFT INTENDED FOR 3-J.ADDISON INTERCEPTED BY 33-J.JOHNSON AT CHI 44. 33-J.JOHNSON TO MIN 37 FOR 19 YARDS (17-K.OSBORN). PENALTY ON CHI-6-K.GORDON, TAUNTING, 15 YARDS, ENFORCED AT MIN 37.",0,2023,19,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,1,0,1,0,0,,35,OWN,1,CHI,0,TAUNTING,15,12,1097,0,0
2023112700,2023-11-27,2,11,31,CHI,MIN,1,10,48,0,0,"(11:31) (SHOTGUN) 1-J.FIELDS PASS INCOMPLETE SHORT RIGHT. PENALTY ON CHI-64-N.DAVIS, INELIGIBLE DOWNFIELD PASS, DECLINED.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,48,OWN,0,CHI,0,INELIGIBLE DOWNFIELD PASS,0,12,1109,0,0
2023112700,2023-11-27,2,11,25,CHI,MIN,2,15,43,0,0,(11:25) (SHOTGUN) 1-J.FIELDS PASS SHORT RIGHT TO 24-K.HERBERT TO CHI 44 FOR 1 YARD (7-B.MURPHY).,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,12,1115,0,0
2023112700,2023-11-27,2,11,25,CHI,MIN,2,10,48,0,0,"(11:25) (SHOTGUN) PENALTY ON CHI-58-D.WRIGHT, FALSE START, 5 YARDS, ENFORCED AT CHI 48 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,48,OWN,1,CHI,1,FALSE START,5,12,1115,0,0
2023112700,2023-11-27,2,10,46,CHI,MIN,3,14,44,0,0,(10:46) (SHOTGUN) 1-J.FIELDS PASS INCOMPLETE DEEP LEFT TO 11-D.MOONEY. MIN-44-J.METELLUS WAS INJURED DURING THE PLAY.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,12,1154,0,0
2023112700,2023-11-27,2,10,38,CHI,MIN,4,14,44,0,0,"(10:38) 16-T.GILL PUNTS 44 YARDS TO MIN 12, CENTER-48-P.SCALES, FAIR CATCH BY 4-B.POWELL. PENALTY ON MIN-91-P.JONES, RUNNING INTO THE KICKER, DECLINED.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,44,OWN,0,MIN,0,RUNNING INTO THE KICKER,0,12,1162,0,0
2023112700,2023-11-27,2,10,31,MIN,CHI,1,10,12,0,0,(10:31) 32-T.CHANDLER LEFT GUARD TO MIN 18 FOR 6 YARDS (95-D.WALKER).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,12,OWN,0,,0,,0,12,1169,0,0
2023112700,2023-11-27,2,10,31,MIN,CHI,0,0,100,1,0,TIMEOUT AT 10:31.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,1169,0,0
2023112700,2023-11-27,2,10,9,MIN,CHI,2,4,18,0,0,"(10:09) (NO HUDDLE) 15-J.DOBBS PASS INCOMPLETE DEEP RIGHT TO 3-J.ADDISON. PENALTY ON CHI-99-G.DEXTER, ROUGHING THE PASSER, 15 YARDS, ENFORCED AT MIN 18 - NO PLAY.",0,2023,0,NO HUDDLE,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,1,0,0,,18,OWN,1,CHI,1,ROUGHING THE PASSER,15,12,1191,0,0
2023112700,2023-11-27,2,10,4,MIN,CHI,1,10,33,0,0,(10:04) (SHOTGUN) 15-J.DOBBS PASS SHORT RIGHT TO 17-K.OSBORN TO MIN 33 FOR NO GAIN (33-J.JOHNSON).,0,2023,0,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,12,1196,0,0
2023112700,2023-11-27,2,9,40,MIN,CHI,2,10,33,0,0,"(9:40) (NO HUDDLE, SHOTGUN) 15-J.DOBBS PASS SHORT RIGHT TO 3-J.ADDISON TO MIN 38 FOR 5 YARDS (32-T.SMITH).",0,2023,5,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,12,1220,0,0
