GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,SF,SEA
2023112302,2023-11-23,1,5,46,SF,SEA,3,14,66,0,0,(5:46) (SHOTGUN) 13-B.PURDY PASS SHORT LEFT TO 23-C.MCCAFFREY TO SEA 40 FOR -6 YARDS (99-L.WILLIAMS).,0,2023,-6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,34,OPP,0,,0,,0,12,554,0,0
2023112302,2023-11-23,1,5,7,SF,SEA,4,20,60,0,0,"(5:07) 18-M.WISHNOWSKY PUNTS 33 YARDS TO SEA 7, CENTER-46-T.PEPPER, FAIR CATCH BY 31-D.DALLAS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,12,593,0,0
2023112302,2023-11-23,1,5,1,SEA,SF,1,10,7,0,0,"(5:01) (SHOTGUN) 26-Z.CHARBONNET RIGHT GUARD TO SEA 10 FOR 3 YARDS (97-N.BOSA, 94-C.FERRELL).",0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,7,OWN,0,,0,,0,12,599,0,0
2023112302,2023-11-23,1,5,1,SEA,SF,0,0,100,1,0,TIMEOUT AT 05:01.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,599,0,0
2023112302,2023-11-23,1,4,25,SEA,SF,2,7,10,0,0,(4:25) 7-G.SMITH SACKED AT SEA 1 FOR -9 YARDS (31-T.GIPSON).,0,2023,-9,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,10,OWN,0,,0,,0,12,635,0,0
2023112302,2023-11-23,1,3,46,SEA,SF,3,16,1,0,0,(3:46) (SHOTGUN) 7-G.SMITH PASS SHORT MIDDLE TO 31-D.DALLAS TO SEA 6 FOR 5 YARDS (57-D.GREENLAW).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,1,OWN,0,,0,,0,12,674,0,0
2023112302,2023-11-23,1,3,9,SEA,SF,4,11,6,0,0,"(3:09) 4-M.DICKSON PUNTS 39 YARDS TO SEA 45, CENTER-41-C.STOLL, FAIR CATCH BY 3-R.MCCLOUD.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,6,OWN,0,,0,,0,12,711,0,0
2023112302,2023-11-23,1,3,2,SF,SEA,1,10,55,1,0,(3:02) (SHOTGUN) 23-C.MCCAFFREY LEFT GUARD TO SEA 29 FOR 16 YARDS (6-Q.DIGGS).,0,2023,16,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,45,OPP,0,,0,,0,12,718,0,0
2023112302,2023-11-23,1,3,2,SEA,SF,0,0,100,1,0,TIMEOUT AT 03:02.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,718,0,0
2023112302,2023-11-23,1,2,25,SF,SEA,1,10,71,0,0,(2:25) 19-D.SAMUEL PASS INCOMPLETE SHORT RIGHT [54-B.WAGNER].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,12,755,0,0
2023112302,2023-11-23,1,2,18,SF,SEA,2,10,71,0,0,"(2:18) 19-D.SAMUEL UP THE MIDDLE TO SEA 26 FOR 3 YARDS (53-B.MAFE, 33-J.ADAMS).",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,29,OPP,0,,0,,0,12,762,0,0
2023112302,2023-11-23,1,1,36,SF,SEA,3,7,74,1,0,(1:36) (SHOTGUN) 13-B.PURDY PASS SHORT LEFT TO 15-J.JENNINGS TO SEA 19 FOR 7 YARDS (21-D.WITHERSPOON).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,26,OPP,0,,0,,0,12,804,0,0
