GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NE,NYG
2023112604,2023-11-26,2,5,56,NE,NYG,3,15,54,1,0,(5:56) (SHOTGUN) 10-M.JONES PASS SHORT LEFT TO 1-D.PARKER TO NYG 29 FOR 17 YARDS (27-J.PINNOCK).,0,2023,17,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,12,1444,0,0
2023112604,2023-11-26,2,5,18,NE,NYG,1,10,71,0,0,(5:18) 10-M.JONES PASS SHORT LEFT TO 1-D.PARKER PUSHED OB AT NYG 23 FOR 6 YARDS (25-D.BANKS).,0,2023,6,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,12,1482,0,0
2023112604,2023-11-26,2,4,44,NE,NYG,2,4,77,0,0,(4:44) (SHOTGUN) 10-M.JONES PASS INCOMPLETE SHORT MIDDLE TO 1-D.PARKER.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,23,OPP,0,,0,,0,12,1516,0,0
2023112604,2023-11-26,2,4,39,NE,NYG,3,4,77,1,0,(4:39) (SHOTGUN) 10-M.JONES PASS SHORT MIDDLE INTENDED FOR 81-D.DOUGLAS INTERCEPTED BY 58-B.OKEREKE AT NYG 19. 58-B.OKEREKE TO NE 26 FOR 55 YARDS (10-M.JONES; 62-S.SOW).,0,2023,55,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,1,0,0,0,0,,23,OPP,0,,0,,0,12,1521,0,0
2023112604,2023-11-26,2,4,27,NYG,NE,1,10,74,0,0,(4:27) 26-S.BARKLEY RIGHT END TO NE 24 FOR 2 YARDS (99-K.WHITE; 48-JA.TAVAI).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,26,OPP,0,,0,,0,12,1533,0,0
2023112604,2023-11-26,2,3,46,NYG,NE,2,8,76,0,0,(3:46) (SHOTGUN) 15-T.DEVITO PASS INCOMPLETE SHORT LEFT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,12,1574,0,0
2023112604,2023-11-26,2,3,38,NYG,NE,3,8,76,1,0,(3:38) (SHOTGUN) 15-T.DEVITO PASS SHORT MIDDLE TO 13-J.HYATT RAN OB AT NE 12 FOR 12 YARDS (27-M.BRYANT).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,24,OPP,0,,0,,0,12,1582,0,0
2023112604,2023-11-26,2,2,58,NYG,NE,1,10,88,0,0,(2:58) 26-S.BARKLEY LEFT END TO NE 14 FOR -2 YARDS (90-C.BARMORE).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,12,OPP,0,,0,,0,12,1622,0,0
2023112604,2023-11-26,2,2,19,NYG,NE,2,12,86,0,0,(2:19) (SHOTGUN) 15-T.DEVITO PASS SHORT RIGHT TO 17-W.ROBINSON TO NE 12 FOR 2 YARDS (31-J.JONES).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,14,OPP,0,,0,,0,12,1661,0,0
2023112604,2023-11-26,2,2,0,NYG,NE,0,0,100,1,0,TWO-MINUTE WARNING,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,12,1680,0,0
2023112604,2023-11-26,2,2,0,NYG,NE,3,10,88,1,0,"(2:00) (SHOTGUN) 15-T.DEVITO PASS SHORT LEFT TO 18-I.HODGINS FOR 12 YARDS, TOUCHDOWN.",0,2023,12,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,12,1680,0,0
2023112604,2023-11-26,2,1,53,NYG,NE,0,0,85,1,0,"46-R.BULLOCK EXTRA POINT IS GOOD, CENTER-59-C.KREITER, HOLDER-6-J.GILLAN.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,12,1687,0,0
