GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,ARI,LA
2023112606,2023-11-26,1,4,50,LA,ARI,0,0,65,1,0,"5-M.PRATER KICKS 65 YARDS FROM ARI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,610,0,0
2023112606,2023-11-26,1,4,50,LA,ARI,1,10,75,1,0,(4:50) 9-M.STAFFORD PASS SHORT LEFT TO 23-K.WILLIAMS PUSHED OB AT LAR 36 FOR 11 YARDS (13-K.CLARK; 18-B.OJULARI).,0,2023,11,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OPP,0,,0,,0,610,0,0
2023112606,2023-11-26,1,4,50,ARI,LA,0,0,85,0,0,"5-M.PRATER EXTRA POINT IS GOOD, CENTER-46-A.BREWER, HOLDER-12-B.GILLIKIN. PENALTY ON LAR-91-K.TURNER, ILLEGAL FORMATION, 1 YARD, ENFORCED AT LAR 15 - NO PLAY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,1,0,0,,15,OPP,1,LAR,1,ILLEGAL FORMATION,1,610,0,0
2023112606,2023-11-26,1,4,50,ARI,LA,0,0,99,1,0,TWO-POINT CONVERSION ATTEMPT. 15-C.TUNE RUSHES UP THE MIDDLE. ATTEMPT SUCCEEDS.,0,2023,0,UNDER CENTER,TWO-POINT CONVERSION,0,0,0,0,,0,0,0,,0,0,0,1,1,,1,OPP,0,,0,,0,610,0,0
2023112606,2023-11-26,1,4,50,ARI,LA,0,0,100,1,0,TIMEOUT AT 04:50.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,610,0,0
2023112606,2023-11-26,1,4,14,LA,ARI,1,10,64,0,0,(4:14) (SHOTGUN) 23-K.WILLIAMS RIGHT TACKLE TO LAR 42 FOR 6 YARDS (3-B.BAKER).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,36,OPP,0,,0,,0,646,0,0
2023112606,2023-11-26,1,3,52,LA,ARI,2,4,58,1,0,"(3:52) (NO HUDDLE, SHOTGUN) 9-M.STAFFORD PASS SHORT RIGHT TO 17-P.NACUA PUSHED OB AT LAR 46 FOR 4 YARDS (24-S.THOMAS).",0,2023,4,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,668,0,0
2023112606,2023-11-26,1,3,15,LA,ARI,1,10,54,0,0,(3:15) 9-M.STAFFORD PASS SHORT LEFT TO 23-K.WILLIAMS TO ARI 48 FOR 6 YARDS (13-K.CLARK).,0,2023,6,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,705,0,0
2023112606,2023-11-26,1,2,46,LA,ARI,2,4,52,1,0,"(2:46) (NO HUDDLE, SHOTGUN) 9-M.STAFFORD PASS SHORT LEFT TO 15-D.ROBINSON TO ARI 42 FOR 6 YARDS (13-K.CLARK).",0,2023,6,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,734,0,0
2023112606,2023-11-26,1,2,4,LA,ARI,1,10,58,0,0,(2:04) 23-K.WILLIAMS RIGHT END TO ARI 41 FOR 1 YARD (45-D.GARDECK).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,42,OPP,0,,0,,0,776,0,0
