GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,IND,TB
2023112603,2023-11-26,1,5,36,IND,TB,2,2,58,1,0,"(5:36) (NO HUDDLE, SHOTGUN) 10-G.MINSHEW PASS SHORT LEFT TO 14-A.PIERCE TO TB 37 FOR 5 YARDS (31-A.WINFIELD).",0,2023,5,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,564,0,0
2023112603,2023-11-26,1,5,7,IND,TB,1,10,63,0,0,"(5:07) (NO HUDDLE, SHOTGUN) 10-G.MINSHEW PASS SHORT LEFT TO 11-M.PITTMAN TO TB 28 FOR 9 YARDS (27-Z.MCCOLLUM).",0,2023,9,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,593,0,0
2023112603,2023-11-26,1,4,36,IND,TB,2,1,72,1,0,"(4:36) (NO HUDDLE, SHOTGUN) 28-J.TAYLOR RIGHT TACKLE TO TB 19 FOR 9 YARDS (31-A.WINFIELD, 23-R.NEAL).",0,2023,9,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,28,OPP,0,,0,,0,624,0,0
2023112603,2023-11-26,1,3,53,IND,TB,1,10,81,0,0,(3:53) (SHOTGUN) 10-G.MINSHEW PASS INCOMPLETE SHORT LEFT TO 86-W.MALLORY.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,19,OPP,0,,0,,0,667,0,0
2023112603,2023-11-26,1,3,49,IND,TB,2,10,81,0,0,(3:49) (SHOTGUN) 10-G.MINSHEW PASS INCOMPLETE SHORT RIGHT TO 11-M.PITTMAN (24-C.DAVIS).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,19,OPP,0,,0,,0,671,0,0
2023112603,2023-11-26,1,3,44,IND,TB,3,10,81,0,0,(3:44) (SHOTGUN) 10-G.MINSHEW SACKED AT TB 28 FOR -9 YARDS (9-J.TRYON).,0,2023,-9,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,19,OPP,0,,0,,0,676,0,0
2023112603,2023-11-26,1,3,5,IND,TB,4,19,72,0,0,"(3:05) 7-M.GAY 46 YARD FIELD GOAL IS GOOD, CENTER-46-L.RHODES, HOLDER-8-R.SANCHEZ.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OPP,0,,0,,0,715,0,0
2023112603,2023-11-26,1,3,1,IND,TB,0,0,100,1,0,TIMEOUT AT 03:01.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,719,0,0
2023112603,2023-11-26,1,3,1,TB,IND,1,10,25,0,0,(3:01) (SHOTGUN) 6-B.MAYFIELD PASS SHORT LEFT TO 88-C.OTTON PUSHED OB AT TB 31 FOR 6 YARDS (40-J.JONES).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,719,0,0
2023112603,2023-11-26,1,3,1,TB,IND,0,0,65,1,0,"7-M.GAY KICKS 65 YARDS FROM IND 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,719,0,0
