GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,IND,HOU,Week
2024010601,2024-01-06,2,4,30,HOU,IND,2,4,61,0,0,(4:30) 26-D.SINGLETARY RIGHT END TO IND 37 FOR 2 YARDS (90-G.STEWART; 51-K.PAYE).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,39,OPP,0,,0,,0,1530,0,0,18
2024010601,2024-01-06,2,3,52,HOU,IND,3,2,63,1,0,(3:52) (SHOTGUN) 7-C.STROUD PASS SHORT LEFT TO 12-N.COLLINS PUSHED OB AT IND 8 FOR 29 YARDS (40-J.JONES).,0,2023,29,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,1568,0,0,18
2024010601,2024-01-06,2,3,10,HOU,IND,1,8,92,0,0,(3:10) 26-D.SINGLETARY LEFT END TO IND 4 FOR 4 YARDS (45-E.SPEED).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,8,OPP,0,,0,,0,1610,0,0,18
2024010601,2024-01-06,2,2,27,HOU,IND,2,4,96,0,0,(2:27) (SHOTGUN) 26-D.SINGLETARY UP THE MIDDLE TO IND 1 FOR 3 YARDS (40-J.JONES; 52-S.EBUKAM).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,4,OPP,0,,0,,0,1653,0,0,18
2024010601,2024-01-06,2,2,0,HOU,IND,0,0,100,1,0,TWO-MINUTE WARNING,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1680,0,0,18
2024010601,2024-01-06,2,2,0,HOU,IND,3,1,99,1,0,"(2:00) (SHOTGUN) 7-C.STROUD PASS SHORT MIDDLE TO 47-A.BECK FOR 1 YARD, TOUCHDOWN.",0,2023,1,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,1,OPP,0,,0,,0,1680,0,0,18
2024010601,2024-01-06,2,1,57,HOU,IND,0,0,85,1,0,"15-K.FAIRBAIRN EXTRA POINT IS GOOD, CENTER-46-J.WEEKS, HOLDER-11-C.JOHNSTON.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,1683,0,0,18
2024010601,2024-01-06,2,0,35,HOU,IND,1,15,20,0,0,(:35) (SHOTGUN) 26-D.SINGLETARY LEFT GUARD TO HOU 20 FOR NO GAIN (99-D.BUCKNER; 52-S.EBUKAM).,0,2023,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,20,OWN,0,,0,,0,1765,0,0,18
2024010601,2024-01-06,2,0,35,HOU,IND,1,10,25,0,0,"(:35) (SHOTGUN) PENALTY ON HOU-19-X.HUTCHINSON, FALSE START, 5 YARDS, ENFORCED AT HOU 25 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,25,OWN,1,HOU,1,FALSE START,5,1765,0,0,18
2024010601,2024-01-06,2,0,35,HOU,IND,0,0,65,1,0,"7-M.GAY KICKS 65 YARDS FROM IND 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1765,0,0,18
