GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,BUF,MIA
2024010713,2024-01-07,1,3,19,MIA,BUF,1,10,52,0,0,"(3:19) 28-D.ACHANE RIGHT TACKLE TO BUF 46 FOR 2 YARDS (25-T.DODSON, 56-L.FLOYD).",0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,48,OPP,0,,0,,0,18,701,0,0
2024010713,2024-01-07,1,2,44,MIA,BUF,2,8,54,0,0,(2:44) (SHOTGUN) 1-T.TAGOVAILOA PASS INCOMPLETE SHORT RIGHT TO 89-J.HILL.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,18,736,0,0
2024010713,2024-01-07,1,2,40,MIA,BUF,3,8,54,0,0,(2:40) (SHOTGUN) 1-T.TAGOVAILOA PASS INCOMPLETE SHORT RIGHT TO 10-T.HILL.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,18,740,0,0
2024010713,2024-01-07,1,2,35,MIA,BUF,4,8,54,0,0,"(2:35) 16-J.BAILEY PUNTS 35 YARDS TO BUF 11, CENTER-44-B.FERGUSON, FAIR CATCH BY 11-D.HARTY.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,18,745,0,0
2024010713,2024-01-07,1,2,29,BUF,MIA,1,10,11,0,0,(2:29) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE DEEP RIGHT TO 14-S.DIGGS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,18,751,0,0
2024010713,2024-01-07,1,2,29,MIA,BUF,0,0,100,1,0,TIMEOUT AT 02:29.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18,751,0,0
2024010713,2024-01-07,1,2,23,BUF,MIA,2,10,11,1,0,(2:23) (SHOTGUN) 17-J.ALLEN PASS SHORT LEFT TO 10-K.SHAKIR PUSHED OB AT MIA 43 FOR 46 YARDS (21-D.ELLIOTT).,0,2023,46,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,18,757,0,0
2024010713,2024-01-07,1,1,43,BUF,MIA,1,10,57,0,0,"(1:43) 26-T.JOHNSON RIGHT END TO MIA 38 FOR 5 YARDS (51-D.LONG, 21-D.ELLIOTT).",0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,43,OPP,0,,0,,0,18,797,0,0
2024010713,2024-01-07,1,1,3,BUF,MIA,2,5,62,0,0,(1:03) (SHOTGUN) 17-J.ALLEN PASS INCOMPLETE SHORT MIDDLE TO 86-D.KINCAID [94-C.WILKINS].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,18,837,0,0
2024010713,2024-01-07,1,1,0,BUF,MIA,3,5,62,0,0,(1:00) (SHOTGUN) 17-J.ALLEN UP THE MIDDLE TO MIA 35 FOR 3 YARDS (94-C.WILKINS).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,38,OPP,0,,0,,0,18,840,0,0
2024010713,2024-01-07,1,0,22,BUF,MIA,4,2,65,0,0,(:22) (SHOTGUN) 17-J.ALLEN PASS DEEP MIDDLE INTENDED FOR 13-G.DAVIS INTERCEPTED BY 21-D.ELLIOTT [92-Z.SIELER] AT MIA -7. TOUCHBACK.,0,2023,0,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,1,0,0,0,0,,35,OPP,0,,0,,0,18,878,0,0
