GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NO,ATL
2024010700,2024-01-07,2,11,9,NO,ATL,2,3,97,0,0,"(11:09) 73-M.GARCIA REPORTED IN AS ELIGIBLE.  25-K.MILLER LEFT END TO ATL 1 FOR 2 YARDS (53-N.LANDMAN; 95-T.GRAHAM). NEW ORLEANS CHALLENGED THE SHORT OF THE GOAL LINE RULING, AND THE PLAY WAS REVERSED. 73-M.GARCIA REPORTED IN AS ELIGIBLE.  25-K.MILLER LEFT END FOR 3 YARDS, TOUCHDOWN.",0,2023,2,UNDER CENTER,RUSH,1,0,0,1,,0,1,1,,0,0,0,0,0,LEFT END,3,OPP,0,,0,,0,18,1131,0,0
2024010700,2024-01-07,2,11,4,ATL,NO,0,0,65,1,0,"19-B.GRUPE KICKS 65 YARDS FROM NO 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,18,1136,0,0
2024010700,2024-01-07,2,11,4,NO,ATL,0,0,100,1,0,TIMEOUT AT 11:04.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,18,1136,0,0
2024010700,2024-01-07,2,11,4,NO,ATL,0,0,85,1,0,"19-B.GRUPE EXTRA POINT IS GOOD, CENTER-49-Z.WOOD, HOLDER-39-L.HEDLEY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,18,1136,0,0
2024010700,2024-01-07,2,11,4,ATL,NO,1,10,25,0,0,(11:04) (SHOTGUN) 84-C.PATTERSON LEFT TACKLE TO ATL 29 FOR 4 YARDS (94-C.JORDAN; 20-P.WERNER).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,25,OWN,0,,0,,0,18,1136,0,0
2024010700,2024-01-07,2,10,25,ATL,NO,2,6,29,0,0,"(10:25) (SHOTGUN) 7-B.ROBINSON RIGHT TACKLE TO ATL 34 FOR 5 YARDS (93-N.SHEPHERD; 0-U.AMADI). PENALTY ON ATL-85-M.PRUITT, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT ATL 29 - NO PLAY.",0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,RIGHT TACKLE,29,OWN,1,ATL,1,OFFENSIVE HOLDING,10,18,1175,0,0
2024010700,2024-01-07,2,10,5,ATL,NO,2,16,19,0,0,(10:05) (SHOTGUN) 9-D.RIDDER PASS SHORT RIGHT TO 7-B.ROBINSON TO ATL 24 FOR 5 YARDS (29-P.ADEBO).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,18,1195,0,0
2024010700,2024-01-07,2,9,31,ATL,NO,3,11,24,0,0,(9:31) (SHOTGUN) 9-D.RIDDER PASS SHORT LEFT TO 81-J.SMITH TO ATL 30 FOR 6 YARDS (0-U.AMADI; 24-J.ABRAM).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,18,1229,0,0
2024010700,2024-01-07,2,8,49,ATL,NO,4,5,30,0,0,"(8:49) 13-B.PINION PUNTS 49 YARDS TO NO 21, CENTER-49-L.MCCULLOUGH, FAIR CATCH BY 22-R.SHAHEED.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,18,1271,0,0
2024010700,2024-01-07,2,8,43,NO,ATL,1,10,21,1,0,"(8:43) 25-K.MILLER RIGHT GUARD TO NO 33 FOR 12 YARDS (3-J.BATES, 27-R.GRANT).",0,2023,12,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,21,OWN,0,,0,,0,18,1277,0,0
