GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,CAR,TB
2024010705,2024-01-07,1,2,41,CAR,TB,4,7,37,0,0,"(2:41) 10-J.HEKKER PUNTS 39 YARDS TO TB 24, CENTER-44-J.JANSEN, OUT OF BOUNDS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,739,0,0
2024010705,2024-01-07,1,2,34,CAR,TB,0,0,100,1,0,TIMEOUT AT 02:34.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,746,0,0
2024010705,2024-01-07,1,2,34,TB,CAR,1,10,24,0,0,(2:34) 22-C.EDMONDS LEFT TACKLE TO TB 32 FOR 8 YARDS (95-DER.BROWN).,0,2023,8,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,24,OWN,0,,0,,0,746,0,0
2024010705,2024-01-07,1,1,57,TB,CAR,2,2,32,1,0,(1:57) 14-C.GODWIN RIGHT END TO TB 36 FOR 4 YARDS (54-K.GRUGIER-HILL).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,32,OWN,0,,0,,0,783,0,0
2024010705,2024-01-07,1,1,18,TB,CAR,1,10,36,0,0,"(1:18) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT LEFT TO 14-C.GODWIN. PENALTY ON TB-64-A.STINNIE, INELIGIBLE DOWNFIELD PASS, 5 YARDS, ENFORCED AT TB 36 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,36,OWN,1,TB,1,INELIGIBLE DOWNFIELD PASS,5,822,0,0
2024010705,2024-01-07,1,1,14,TB,CAR,1,15,31,0,0,(1:14) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE DEEP RIGHT TO 10-T.PALMER.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,826,0,0
2024010705,2024-01-07,1,1,8,TB,CAR,2,15,31,0,0,"(1:08) (SHOTGUN) 6-B.MAYFIELD PASS SHORT MIDDLE TO 10-T.PALMER TO TB 35 FOR 4 YARDS (49-F.LUVU). FUMBLES (49-F.LUVU), TOUCHED AT TB 35, RECOVERED BY TB-70-R.HAINSEY AT TB 35. 70-R.HAINSEY TO TB 37 FOR 2 YARDS (25-X.WOODS).",0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,,31,OWN,0,,0,,0,832,0,0
2024010705,2024-01-07,1,0,26,TB,CAR,3,9,37,0,0,(:26) (SHOTGUN) 6-B.MAYFIELD SACKED AT TB 30 FOR -7 YARDS (97-Y.GROSS-MATOS).,0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,874,0,0
2024010705,2024-01-07,1,0,18,TB,CAR,4,16,30,0,0,"(:18) 5-J.CAMARDA PUNTS 40 YARDS TO CAR 30, CENTER-97-Z.TRINER, DOWNED BY TB-19-D.MOORE.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,882,0,0
2024010705,2024-01-07,1,0,18,TB,CAR,0,0,100,1,0,TIMEOUT #1 BY CAR AT 00:18.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,882,0,0
2024010705,2024-01-07,1,0,7,CAR,TB,1,10,30,0,0,(:07) 30-C.HUBBARD RIGHT TACKLE TO CAR 33 FOR 3 YARDS (54-L.DAVID; 24-C.DAVIS).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,30,OWN,0,,0,,0,893,0,0
2024010705,2024-01-07,1,0,0,CAR,TB,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2024010705,2024-01-07,2,15,0,CAR,TB,2,7,33,0,0,"(15:00) 9-B.YOUNG SACKED AT CAR 28 FOR -5 YARDS (SACK SPLIT BY 7-S.BARRETT AND 96-G.GAINES). PENALTY ON TB-54-L.DAVID, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT CAR 33 - NO PLAY.",0,2023,-5,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,1,0,0,,33,OWN,1,TB,1,DEFENSIVE HOLDING,5,900,0,0
2024010705,2024-01-07,2,14,33,CAR,TB,1,10,38,1,0,(14:33) (SHOTGUN) 6-M.SANDERS LEFT END TO TB 49 FOR 13 YARDS (9-J.TRYON; 35-J.DEAN).,0,2023,13,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,38,OWN,0,,0,,0,927,0,0
2024010705,2024-01-07,2,13,50,CAR,TB,1,10,51,0,0,(13:50) (SHOTGUN) 9-B.YOUNG PASS SHORT MIDDLE TO 82-T.TREMBLE TO TB 45 FOR 4 YARDS (54-L.DAVID).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,49,OPP,0,,0,,0,970,0,0
2024010705,2024-01-07,2,13,12,CAR,TB,2,6,55,0,0,(13:12) (SHOTGUN) 6-M.SANDERS LEFT TACKLE TO TB 43 FOR 2 YARDS (90-L.HALL).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,45,OPP,0,,0,,0,1008,0,0
2024010705,2024-01-07,2,12,29,CAR,TB,3,4,57,1,0,"(12:29) (SHOTGUN) 9-B.YOUNG PASS DEEP LEFT TO 17-D.CHARK FOR 43 YARDS, TOUCHDOWN. THE REPLAY OFFICIAL REVIEWED THE RUNNER BROKE THE PLANE RULING, AND THE PLAY WAS REVERSED. (SHOTGUN) 9-B.YOUNG PASS DEEP LEFT TO 17-D.CHARK TO TB 1 FOR 42 YARDS (31-A.WINFIELD). FUMBLES (31-A.WINFIELD), RECOVERED BY TB-35-J.DEAN AT TB 0. TOUCHBACK.",0,2023,43,SHOTGUN,PASS,0,1,0,1,DEEP LEFT,0,0,0,,0,1,0,0,0,,43,OPP,0,,0,,0,1051,0,0
2024010705,2024-01-07,2,12,18,TB,CAR,1,10,20,0,0,(12:18) (SHOTGUN) 6-B.MAYFIELD PASS SHORT MIDDLE TO 10-T.PALMER TO TB 26 FOR 6 YARDS (49-F.LUVU).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,1062,0,0
2024010705,2024-01-07,2,11,42,TB,CAR,2,4,26,0,0,(11:42) (SHOTGUN) 1-R.WHITE UP THE MIDDLE TO TB 27 FOR 1 YARD (96-D.WILLIAMS).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,26,OWN,0,,0,,0,1098,0,0
