GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,GB,CHI
2024010706,2024-01-07,1,15,0,CHI,GB,0,0,65,1,0,"17-A.CARLSON KICKS 66 YARDS FROM GB 35 TO CHI -1. 12-V.JONES TO CHI 31 FOR 32 YARDS (54-K.WELCH, 27-P.TAYLOR).",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0
2024010706,2024-01-07,1,14,55,CHI,GB,1,10,31,0,0,(14:55) 24-K.HERBERT RIGHT END TO CHI 29 FOR -2 YARDS (59-D.CAMPBELL).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,31,OWN,0,,0,,0,5,0,0
2024010706,2024-01-07,1,14,16,CHI,GB,2,12,29,0,0,"(14:16) (SHOTGUN) 1-J.FIELDS PASS SHORT MIDDLE TO 85-C.KMET TO CHI 37 FOR 8 YARDS (34-J.OWENS, 7-Q.WALKER).",0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,44,0,0
2024010706,2024-01-07,1,13,38,CHI,GB,3,4,37,1,0,(13:38) (SHOTGUN) 1-J.FIELDS SCRAMBLES UP THE MIDDLE TO CHI 43 FOR 6 YARDS (59-D.CAMPBELL).,0,2023,6,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,82,0,0
2024010706,2024-01-07,1,12,59,CHI,GB,1,10,43,0,0,(12:59) (SHOTGUN) 24-K.HERBERT UP THE MIDDLE TO CHI 47 FOR 4 YARDS (7-Q.WALKER).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,43,OWN,0,,0,,0,121,0,0
2024010706,2024-01-07,1,12,27,CHI,GB,2,6,47,1,0,(12:27) (SHOTGUN) 1-J.FIELDS PASS SHORT LEFT TO 2-D.MOORE TO GB 44 FOR 9 YARDS (34-J.OWENS; 37-C.VALENTINE).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,47,OWN,0,,0,,0,153,0,0
2024010706,2024-01-07,1,11,48,CHI,GB,1,10,56,1,0,(11:48) (SHOTGUN) 1-J.FIELDS PASS SHORT MIDDLE TO 19-E.ST. BROWN TO GB 26 FOR 18 YARDS (59-D.CAMPBELL; 26-D.SAVAGE).,0,2023,18,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,192,0,0
2024010706,2024-01-07,1,11,6,CHI,GB,1,10,74,0,0,(11:06) (SHOTGUN) 1-J.FIELDS SACKED AT GB 32 FOR -6 YARDS (90-L.VAN NESS).,0,2023,-6,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,26,OPP,0,,0,,0,234,0,0
2024010706,2024-01-07,1,10,22,CHI,GB,2,16,68,0,0,(10:22) (SHOTGUN) 1-J.FIELDS LEFT TACKLE TO GB 29 FOR 3 YARDS (26-D.SAVAGE).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,32,OPP,0,,0,,0,278,0,0
2024010706,2024-01-07,1,9,38,CHI,GB,3,13,71,0,0,(9:38) (SHOTGUN) 1-J.FIELDS PASS SHORT LEFT TO 24-K.HERBERT TO GB 32 FOR -3 YARDS (94-K.BROOKS).,0,2023,-3,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,29,OPP,0,,0,,0,322,0,0
2024010706,2024-01-07,1,8,59,CHI,GB,4,16,68,0,0,"(8:59) 8-C.SANTOS 50 YARD FIELD GOAL IS GOOD, CENTER-48-P.SCALES, HOLDER-16-T.GILL.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,32,OPP,0,,0,,0,361,0,0
2024010706,2024-01-07,1,8,54,GB,CHI,0,0,65,1,0,"16-T.GILL KICKS 65 YARDS FROM CHI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,366,0,0
2024010706,2024-01-07,1,8,54,GB,CHI,1,10,25,0,0,(8:54) 10-J.LOVE PASS SHORT LEFT TO 33-A.JONES TO GB 29 FOR 4 YARDS (49-T.EDMUNDS).,0,2023,4,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,366,0,0
2024010706,2024-01-07,1,8,54,GB,CHI,0,0,100,1,0,TIMEOUT AT 08:54.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,366,0,0
2024010706,2024-01-07,1,8,12,GB,CHI,2,6,29,0,0,(8:12) (SHOTGUN) 10-J.LOVE PASS INCOMPLETE SHORT LEFT TO 13-D.WICKS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,408,0,0
2024010706,2024-01-07,1,8,9,GB,CHI,3,6,29,1,0,(8:09) (SHOTGUN) 10-J.LOVE PASS SHORT RIGHT TO 33-A.JONES TO GB 36 FOR 7 YARDS (53-T.EDWARDS).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,411,0,0
2024010706,2024-01-07,1,7,30,GB,CHI,1,10,36,0,0,(7:30) 33-A.JONES RIGHT END TO GB 37 FOR 1 YARD (53-T.EDWARDS).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,36,OWN,0,,0,,0,450,0,0
2024010706,2024-01-07,1,6,55,GB,CHI,2,9,37,1,0,(6:55) 10-J.LOVE PASS DEEP LEFT TO 13-D.WICKS TO CHI 44 FOR 19 YARDS (32-T.SMITH).,0,2023,19,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,485,0,0
2024010706,2024-01-07,1,6,15,GB,CHI,1,10,56,1,0,(6:15) 33-A.JONES LEFT END TO CHI 30 FOR 14 YARDS (29-T.STEVENSON).,0,2023,14,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,44,OPP,0,,0,,0,525,0,0
2024010706,2024-01-07,1,5,31,GB,CHI,1,10,70,0,0,(5:31) (SHOTGUN) 10-J.LOVE PASS SHORT MIDDLE TO 80-B.MELTON TO CHI 23 FOR 7 YARDS (57-J.SANBORN).,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,569,0,0
2024010706,2024-01-07,1,4,52,GB,CHI,2,3,77,1,0,(4:52) 33-A.JONES RIGHT TACKLE TO CHI 19 FOR 4 YARDS (90-D.ROBINSON).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,23,OPP,0,,0,,0,608,0,0
2024010706,2024-01-07,1,4,14,GB,CHI,1,10,81,0,0,"(4:14) (SHOTGUN) 33-A.JONES UP THE MIDDLE TO CHI 15 FOR 4 YARDS (49-T.EDMUNDS, 90-D.ROBINSON).",0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,19,OPP,0,,0,,0,646,0,0
2024010706,2024-01-07,1,3,29,GB,CHI,2,6,85,0,0,(3:29) (SHOTGUN) 10-J.LOVE PASS INCOMPLETE SHORT LEFT TO 87-R.DOUBS (29-T.STEVENSON).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,691,0,0
2024010706,2024-01-07,1,3,22,GB,CHI,3,6,85,0,0,(3:22) (SHOTGUN) 10-J.LOVE SACKED AT CHI 23 FOR -8 YARDS (95-D.WALKER).,0,2023,-8,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,698,0,0
2024010706,2024-01-07,1,2,39,GB,CHI,4,14,77,0,0,"(2:39) 17-A.CARLSON 41 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-42-M.ORZECH, HOLDER-19-D.WHELAN.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,23,OPP,0,,0,,0,741,0,0
2024010706,2024-01-07,1,2,36,CHI,GB,1,10,31,1,0,(2:36) (SHOTGUN) 1-J.FIELDS PASS SHORT LEFT TO 13-T.SCOTT PUSHED OB AT CHI 43 FOR 12 YARDS (37-C.VALENTINE).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,744,0,0
2024010706,2024-01-07,1,2,36,GB,CHI,0,0,100,1,0,TIMEOUT AT 02:36.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,744,0,0
2024010706,2024-01-07,1,2,1,CHI,GB,1,10,43,1,0,(2:01) (SHOTGUN) 1-J.FIELDS PASS SHORT LEFT TO 2-D.MOORE TO GB 46 FOR 11 YARDS (37-C.VALENTINE).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,779,0,0
2024010706,2024-01-07,1,1,22,CHI,GB,1,10,54,0,0,"(1:22) (SHOTGUN) 23-R.JOHNSON UP THE MIDDLE TO GB 38 FOR 8 YARDS (25-K.NIXON, 59-D.CAMPBELL).",0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,46,OPP,0,,0,,0,818,0,0
2024010706,2024-01-07,1,0,39,CHI,GB,2,2,62,0,0,(:39) (SHOTGUN) 1-J.FIELDS UP THE MIDDLE TO GB 42 FOR -4 YARDS (52-R.GARY).,0,2023,-4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,38,OPP,0,,0,,0,861,0,0
2024010706,2024-01-07,1,0,0,CHI,GB,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2024010706,2024-01-07,2,15,0,CHI,GB,3,6,58,0,0,(15:00) (SHOTGUN) 1-J.FIELDS SACKED AT 50 FOR -8 YARDS (95-D.WYATT).,0,2023,-8,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,900,0,0
2024010706,2024-01-07,2,14,9,CHI,GB,4,14,100,0,0,"(14:09) 16-T.GILL PUNTS 42 YARDS TO GB 8, CENTER-48-P.SCALES, FAIR CATCH BY 11-J.REED.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,951,0,0
2024010706,2024-01-07,2,14,2,GB,CHI,1,10,8,0,0,(14:02) (SHOTGUN) 33-A.JONES UP THE MIDDLE TO GB 12 FOR 4 YARDS (49-T.EDMUNDS).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,8,OWN,0,,0,,0,958,0,0
2024010706,2024-01-07,2,14,2,GB,CHI,0,0,100,1,0,TIMEOUT AT 14:02.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,958,0,0
2024010706,2024-01-07,2,13,23,GB,CHI,2,6,12,1,0,(13:23) 10-J.LOVE PASS DEEP MIDDLE TO 11-J.REED TO GB 44 FOR 32 YARDS (9-J.BRISKER).,0,2023,32,UNDER CENTER,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,12,OWN,0,,0,,0,997,0,0
2024010706,2024-01-07,2,12,35,GB,CHI,1,10,44,0,0,"(12:35) 10-J.LOVE PASS SHORT LEFT TO 13-D.WICKS TO CHI 48 FOR 8 YARDS (53-T.EDWARDS, 9-J.BRISKER).",0,2023,8,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,1045,0,0
2024010706,2024-01-07,2,11,53,GB,CHI,2,2,52,1,0,(11:53) 80-B.MELTON RIGHT END TO CHI 46 FOR 2 YARDS (49-T.EDMUNDS).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,48,OPP,0,,0,,0,1087,0,0
2024010706,2024-01-07,2,11,14,GB,CHI,1,10,54,0,0,(11:14) 10-J.LOVE PASS SHORT RIGHT TO 18-M.HEATH TO CHI 44 FOR 2 YARDS (53-T.EDWARDS).,0,2023,2,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,1126,0,0
