GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,GB,CHI
2023091008,2023-09-10,1,3,20,CHI,GB,1,20,59,0,0,"(3:20) (SHOTGUN) 1-J.FIELDS SCRAMBLES LEFT END PUSHED OB AT GB 33 FOR 8 YARDS (23-J.ALEXANDER). PENALTY ON CHI-2-D.MOORE, UNNECESSARY ROUGHNESS, OFFSETTING. PENALTY ON GB-93-T.SLATON, UNNECESSARY ROUGHNESS, OFFSETTING.",0,2023,8,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,1,0,0,,41,OPP,1,CHI,0,UNNECESSARY ROUGHNESS,0,1,700,0,0
2023091008,2023-09-10,1,2,51,CHI,GB,2,12,67,0,0,(2:51) (SHOTGUN) 1-J.FIELDS PASS SHORT LEFT TO 21-D.FOREMAN PUSHED OB AT GB 28 FOR 5 YARDS (59-D.CAMPBELL).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,1,729,0,0
2023091008,2023-09-10,1,2,12,CHI,GB,3,7,72,0,0,(2:12) (SHOTGUN) 1-J.FIELDS PASS INCOMPLETE SHORT RIGHT TO 10-C.CLAYPOOL (55-K.ENAGBARE).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,28,OPP,0,,0,,0,1,768,0,0
2023091008,2023-09-10,1,2,8,CHI,GB,4,7,72,0,0,"(2:08) 8-C.SANTOS 47 YARD FIELD GOAL IS GOOD, CENTER-48-P.SCALES, HOLDER-16-T.GILL.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,28,OPP,0,,0,,0,1,772,0,0
2023091008,2023-09-10,1,2,4,GB,CHI,0,0,65,1,0,"8-C.SANTOS KICKS 65 YARDS FROM CHI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1,776,0,0
2023091008,2023-09-10,1,2,4,CHI,GB,0,0,100,1,0,TIMEOUT AT 02:04.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,776,0,0
2023091008,2023-09-10,1,2,4,GB,CHI,1,10,25,0,0,(2:04) (SHOTGUN) 10-J.LOVE PASS INCOMPLETE SHORT MIDDLE TO 18-M.HEATH [97-A.BILLINGS].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1,776,0,0
2023091008,2023-09-10,1,2,0,GB,CHI,2,10,25,0,0,(2:00) (SHOTGUN) 28-A.DILLON LEFT END TO GB 20 FOR -5 YARDS (91-Y.NGAKOUE).,0,2023,-5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0,1,780,0,0
2023091008,2023-09-10,1,1,19,GB,CHI,3,15,20,0,0,"(1:19) (NO HUDDLE, SHOTGUN) 10-J.LOVE PASS SHORT MIDDLE TO 88-L.MUSGRAVE TO GB 29 FOR 9 YARDS (49-T.EDMUNDS, 4-E.JACKSON).",0,2023,9,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,1,821,0,0
2023091008,2023-09-10,1,0,42,GB,CHI,4,6,29,0,0,"(:42) 19-D.WHELAN PUNTS 42 YARDS TO CHI 29, CENTER-42-M.ORZECH. 15-T.TAYLOR TO CHI 37 FOR 8 YARDS (38-I.GAINES).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,1,858,0,0
