GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,PIT,SF
2023091006,2023-09-10,1,4,38,PIT,SF,0,0,65,1,0,18-M.WISHNOWSKY KICKS 65 YARDS FROM SF 35 TO PIT 0. 26-A.MCFARLAND TO PIT 32 FOR 32 YARDS (59-C.ROBINSON).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,622,0,0
2023091006,2023-09-10,1,4,32,PIT,SF,1,10,32,0,0,(4:32) 8-K.PICKETT PASS SHORT LEFT TO 11-A.ROBINSON TO PIT 34 FOR 2 YARDS (2-D.LENOIR).,0,2023,2,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,628,0,0
2023091006,2023-09-10,1,3,58,PIT,SF,2,8,34,0,0,(3:58) 22-N.HARRIS LEFT GUARD TO PIT 34 FOR NO GAIN (98-J.HARGRAVE).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,34,OWN,0,,0,,0,662,0,0
2023091006,2023-09-10,1,3,21,PIT,SF,3,8,34,0,0,(3:21) (SHOTGUN) 8-K.PICKETT PASS INCOMPLETE DEEP MIDDLE TO 18-D.JOHNSON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,699,0,0
2023091006,2023-09-10,1,3,16,PIT,SF,4,13,29,0,0,"(3:16) 6-P.HARVIN PUNTS 54 YARDS TO SF 17, CENTER-46-C.KUNTZ. 3-R.MCCLOUD TO SF 32 FOR 15 YARDS (46-C.KUNTZ, 28-M.KILLEBREW).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,704,0,0
2023091006,2023-09-10,1,3,5,PIT,SF,0,0,100,1,0,TIMEOUT AT 03:05.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,715,0,0
2023091006,2023-09-10,1,3,5,PIT,SF,0,0,100,1,0,TIMEOUT #1 BY SF AT 03:05.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,715,0,0
2023091006,2023-09-10,1,3,5,SF,PIT,1,10,32,0,0,"(3:05) (SHOTGUN) 13-B.PURDY PASS SHORT MIDDLE TO 23-C.MCCAFFREY TO SF 39 FOR 7 YARDS (54-K.ALEXANDER, 55-C.HOLCOMB) [97-CA.HEYWARD]. FUMBLES (55-C.HOLCOMB), AND RECOVERS AT SF 39.",0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,1,0,0,0,,32,OWN,0,,0,,0,715,0,0
2023091006,2023-09-10,1,2,36,SF,PIT,2,3,39,1,0,(2:36) 23-C.MCCAFFREY RIGHT TACKLE TO SF 44 FOR 5 YARDS (55-C.HOLCOMB).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,39,OWN,0,,0,,0,744,0,0
2023091006,2023-09-10,1,2,1,SF,PIT,1,10,44,0,0,(2:01) 13-B.PURDY PASS INCOMPLETE SHORT MIDDLE TO 85-G.KITTLE (20-P.PETERSON).,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,779,0,0
2023091006,2023-09-10,1,1,57,SF,PIT,2,10,44,1,0,"(1:57) (SHOTGUN) 23-C.MCCAFFREY UP THE MIDDLE TO PIT 45 FOR 11 YARDS (39-M.FITZPATRICK, 98-D.LEAL).",0,2023,11,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,44,OWN,0,,0,,0,783,0,0
