GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,WAS,ARI
2023091007,2023-09-10,1,5,8,WAS,ARI,2,11,100,0,0,"(5:08) (SHOTGUN) 14-S.HOWELL PASS INCOMPLETE DEEP LEFT TO 17-T.MCLAURIN. PENALTY ON ARI-20-MA.WILSON, DEFENSIVE PASS INTERFERENCE, 37 YARDS, ENFORCED AT 50 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,1,0,0,,0,OPP,1,ARI,1,DEFENSIVE PASS INTERFERENCE,37,1,592,0,0
2023091007,2023-09-10,1,5,2,WAS,ARI,1,10,87,0,0,(5:02) (SHOTGUN) 4-C.SAMUEL LEFT TACKLE TO ARI 7 FOR 6 YARDS (7-K.WHITE; 22-K.WALLACE).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,13,OPP,0,,0,,0,1,598,0,0
2023091007,2023-09-10,1,4,22,WAS,ARI,2,4,93,1,0,"(4:22) (SHOTGUN) 14-S.HOWELL PASS SHORT LEFT TO 8-B.ROBINSON FOR 7 YARDS, TOUCHDOWN.",0,2023,7,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,0,0,0,0,0,,7,OPP,0,,0,,0,1,638,0,0
2023091007,2023-09-10,1,4,15,ARI,WAS,1,10,25,0,0,(4:15) (SHOTGUN) 4-R.MOORE LEFT END RAN OB AT ARI 29 FOR 4 YARDS (13-E.FORBES).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0,1,645,0,0
2023091007,2023-09-10,1,4,15,ARI,WAS,0,0,65,1,0,"6-J.SLYE KICKS 65 YARDS FROM WAS 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1,645,0,0
2023091007,2023-09-10,1,4,15,WAS,ARI,0,0,100,1,0,TIMEOUT AT 04:15.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,645,0,0
2023091007,2023-09-10,1,4,15,WAS,ARI,0,0,85,1,0,"6-J.SLYE EXTRA POINT IS GOOD, CENTER-54-C.CHEESEMAN, HOLDER-5-T.WAY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,1,645,0,0
2023091007,2023-09-10,1,3,45,ARI,WAS,2,6,29,1,0,(3:45) (SHOTGUN) 2-M.BROWN RIGHT END TO WAS 42 FOR 29 YARDS (22-D.FORREST).,0,2023,29,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,29,OWN,0,,0,,0,1,675,0,0
2023091007,2023-09-10,1,3,1,ARI,WAS,1,10,58,0,0,"(3:01) (SHOTGUN) 9-J.DOBBS PASS SHORT RIGHT TO 6-J.CONNER TO WAS 43 FOR -1 YARDS (90-M.SWEAT, 96-J.SMITH-WILLIAMS).",0,2023,-1,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,1,719,0,0
2023091007,2023-09-10,1,2,16,ARI,WAS,2,11,57,0,0,"(2:16) (SHOTGUN) 9-J.DOBBS PASS SHORT RIGHT TO 4-R.MOORE PUSHED OB AT WAS 12 FOR 31 YARDS (13-E.FORBES). PENALTY ON WAS-29-K.FULLER, ILLEGAL USE OF HANDS, DECLINED.",0,2023,31,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,43,OPP,0,WAS,0,ILLEGAL USE OF HANDS,0,1,764,0,0
2023091007,2023-09-10,1,1,43,ARI,WAS,0,0,100,1,0,TIMEOUT #1 BY ARI AT 01:43.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,797,0,0
2023091007,2023-09-10,1,1,43,ARI,WAS,1,10,88,0,0,(1:43) (SHOTGUN) 9-J.DOBBS PASS INCOMPLETE SHORT MIDDLE TO 86-Z.ERTZ.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,1,797,0,0
2023091007,2023-09-10,1,1,38,ARI,WAS,2,10,88,0,0,(1:38) (SHOTGUN) 9-J.DOBBS RIGHT END TO WAS 11 FOR 1 YARD (52-J.DAVIS).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,12,OPP,0,,0,,0,1,802,0,0
2023091007,2023-09-10,1,1,0,ARI,WAS,3,9,89,0,0,(1:00) (SHOTGUN) 9-J.DOBBS PASS INCOMPLETE SHORT MIDDLE TO 86-Z.ERTZ (31-K.CURL).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,1,840,0,0
2023091007,2023-09-10,1,0,56,ARI,WAS,4,9,89,0,0,"(:56) 5-M.PRATER 28 YARD FIELD GOAL IS GOOD, CENTER-46-A.BREWER, HOLDER-16-N.COONEY.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,1,844,0,0
2023091007,2023-09-10,1,0,53,WAS,ARI,0,0,100,1,0,TIMEOUT AT 00:53.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,847,0,0
2023091007,2023-09-10,1,0,53,WAS,ARI,0,0,65,1,0,"5-M.PRATER KICKS 65 YARDS FROM ARI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1,847,0,0
2023091007,2023-09-10,1,0,53,WAS,ARI,1,10,25,0,0,(:53) (SHOTGUN) 14-S.HOWELL SACKED OB AT WAS 24 FOR -1 YARDS (95-L.FOTU).,0,2023,-1,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1,847,0,0
2023091007,2023-09-10,1,0,17,WAS,ARI,2,11,24,0,0,"(:17) (SHOTGUN) 14-S.HOWELL PASS SHORT RIGHT TO 82-L.THOMAS PUSHED OB AT WAS 35 FOR 11 YARDS (13-K.CLARK). PENALTY ON WAS-87-J.BATES, OFFENSIVE PASS INTERFERENCE, 10 YARDS, ENFORCED AT WAS 24 - NO PLAY.",0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,24,OWN,1,WAS,1,OFFENSIVE PASS INTERFERENCE,10,1,883,0,0
2023091007,2023-09-10,2,15,0,WAS,ARI,2,21,14,0,0,"(15:00) (SHOTGUN) 14-S.HOWELL PASS INCOMPLETE SHORT RIGHT TO 82-L.THOMAS. PENALTY ON ARI-93-J.LEDBETTER, ROUGHING THE PASSER, 15 YARDS, ENFORCED AT WAS 14 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,14,OWN,1,ARI,1,ROUGHING THE PASSER,15,1,900,0,0
2023091007,2023-09-10,1,0,0,WAS,ARI,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,900,0,0
2023091007,2023-09-10,2,14,54,WAS,ARI,1,10,29,0,0,(14:54) 14-S.HOWELL PASS SHORT LEFT INTENDED FOR 1-J.DOTSON INTERCEPTED BY 25-Z.COLLINS (92-K.STRONG) AT WAS 38. 25-Z.COLLINS TO WAS 37 FOR 1 YARD (17-T.MCLAURIN).,0,2023,1,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,1,0,0,0,0,,29,OWN,0,,0,,0,1,906,0,0
2023091007,2023-09-10,2,14,46,ARI,WAS,1,10,63,0,0,(14:46) (SHOTGUN) 9-J.DOBBS PASS SHORT MIDDLE TO 86-Z.ERTZ TO WAS 33 FOR 4 YARDS (57-C.BARTON).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,1,914,0,0
2023091007,2023-09-10,2,14,8,ARI,WAS,2,6,67,0,0,"(14:08) 30-K.INGRAM RIGHT END TO WAS 36 FOR -3 YARDS (94-D.PAYNE, 95-C.TOOHILL).",0,2023,-3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,33,OPP,0,,0,,0,1,952,0,0
