GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,DAL,NYG
2023091013,2023-09-10,1,4,10,DAL,NYG,1,6,94,0,0,"(4:10) (SHOTGUN) 4-D.PRESCOTT PASS INCOMPLETE SHORT LEFT TO 87-J.FERGUSON (25-D.BANKS, 29-X.MCKINNEY).",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,1,650,0,0
2023091013,2023-09-10,1,4,5,DAL,NYG,2,6,94,0,0,"(4:05) 4-D.PRESCOTT PASS SHORT RIGHT TO 9-K.TURPIN TO NYG 2 FOR 4 YARDS (22-A.JACKSON, 27-J.PINNOCK).",0,2023,4,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,6,OPP,0,,0,,0,1,655,0,0
2023091013,2023-09-10,1,3,30,DAL,NYG,0,0,100,1,0,TIMEOUT #2 BY NYG AT 03:30.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,690,0,0
2023091013,2023-09-10,1,3,30,DAL,NYG,3,2,98,0,0,(3:30) 4-D.PRESCOTT PASS INCOMPLETE SHORT LEFT TO 87-J.FERGUSON.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,2,OPP,0,,0,,0,1,690,0,0
2023091013,2023-09-10,1,3,24,DAL,NYG,4,2,98,0,0,"(3:24) 17-B.AUBREY 21 YARD FIELD GOAL IS GOOD, CENTER-44-T.SIEG, HOLDER-5-B.ANGER.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,2,OPP,0,,0,,0,1,696,0,0
2023091013,2023-09-10,1,3,21,NYG,DAL,1,10,25,0,0,(3:21) 8-D.JONES SACKED AT NYG 16 FOR -9 YARDS (90-D.LAWRENCE).,0,2023,-9,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1,699,0,0
2023091013,2023-09-10,1,3,21,NYG,DAL,0,0,100,1,0,TIMEOUT AT 03:21.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,699,0,0
2023091013,2023-09-10,1,3,21,NYG,DAL,0,0,65,1,0,"17-B.AUBREY KICKS 65 YARDS FROM DAL 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,1,699,0,0
2023091013,2023-09-10,1,2,39,NYG,DAL,2,19,16,0,0,(2:39) (SHOTGUN) 8-D.JONES PASS INCOMPLETE DEEP LEFT.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,16,OWN,0,,0,,0,1,741,0,0
2023091013,2023-09-10,1,2,30,NYG,DAL,3,19,16,1,0,"(2:30) (SHOTGUN) 8-D.JONES PASS SHORT LEFT INTENDED FOR 26-S.BARKLEY INTERCEPTED BY 26-D.BLAND (7-T.DIGGS) AT NYG 22. 26-D.BLAND FOR 22 YARDS, TOUCHDOWN.",0,2023,22,SHOTGUN,PASS,0,1,0,1,SHORT LEFT,0,0,0,,1,0,0,0,0,,16,OWN,0,,0,,0,1,750,0,0
2023091013,2023-09-10,1,2,22,NYG,DAL,0,0,100,1,0,TIMEOUT AT 02:22.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,758,0,0
2023091013,2023-09-10,1,2,22,NYG,DAL,0,0,15,1,0,"17-B.AUBREY EXTRA POINT IS GOOD, CENTER-44-T.SIEG, HOLDER-5-B.ANGER.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,1,758,0,0
