GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,LA,SEA
2023091012,2023-09-10,1,0,39,SEA,LA,1,10,25,0,0,(:39) (SHOTGUN) 7-G.SMITH PASS SHORT LEFT TO 11-J.SMITH-NJIGBA TO SEA 26 FOR 1 YARD (1-D.KENDRICK).,0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,1,861,0,0
2023091012,2023-09-10,1,0,39,SEA,LA,0,0,100,1,0,TIMEOUT AT 00:39.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,861,0,0
2023091012,2023-09-10,1,0,39,LA,SEA,0,0,85,1,0,"8-B.MAHER EXTRA POINT IS GOOD, CENTER-47-A.WARD, HOLDER-42-E.EVANS.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,1,861,0,0
2023091012,2023-09-10,1,0,0,SEA,LA,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1,900,0,0
2023091012,2023-09-10,2,15,0,SEA,LA,2,9,26,1,0,(15:00) (SHOTGUN) 7-G.SMITH PASS SHORT MIDDLE TO 89-W.DISSLY TO SEA 36 FOR 10 YARDS (99-A.DONALD) [14-C.DURANT].,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,26,OWN,0,,0,,0,1,900,0,0
2023091012,2023-09-10,2,14,16,SEA,LA,1,10,36,0,0,(14:16) (SHOTGUN) 7-G.SMITH PASS SHORT LEFT TO 14-D.METCALF TO SEA 45 FOR 9 YARDS (53-E.JONES; 56-C.ROZEBOOM).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,1,944,0,0
2023091012,2023-09-10,2,13,37,SEA,LA,2,1,45,1,0,(13:37) (SHOTGUN) 9-K.WALKER LEFT END PUSHED OB AT LAR 42 FOR 13 YARDS (2-R.YEAST).,0,2023,13,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,45,OWN,0,,0,,0,1,983,0,0
2023091012,2023-09-10,2,13,4,SEA,LA,1,10,58,0,0,"(13:04) (SHOTGUN) 7-G.SMITH PASS INCOMPLETE SHORT LEFT. PENALTY ON SEA-60-P.HAYNES, OFFENSIVE HOLDING, OFFSETTING, ENFORCED AT LAR 42 - NO PLAY. PENALTY ON LAR-99-A.DONALD, ROUGHING THE PASSER, OFFSETTING.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,42,OPP,1,SEA,1,OFFENSIVE HOLDING,0,1,1016,0,0
2023091012,2023-09-10,2,12,55,SEA,LA,1,10,58,0,0,(12:55) (SHOTGUN) DIRECT SNAP TO 31-D.DALLAS.  7-G.SMITH SCRAMBLES RIGHT END RAN OB AT LAR 36 FOR 6 YARDS (97-M.HOECHT).,0,2023,6,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,1,1025,0,0
2023091012,2023-09-10,2,12,15,SEA,LA,2,4,64,1,0,(12:15) (SHOTGUN) 7-G.SMITH PASS SHORT MIDDLE TO 9-K.WALKER TO LAR 32 FOR 4 YARDS (56-C.ROZEBOOM).,0,2023,4,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,36,OPP,0,,0,,0,1,1065,0,0
