GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,SEA,SF
2023121008,2023-12-10,1,6,23,SF,SEA,1,10,8,0,0,(6:23) 13-B.PURDY SACKED AT SF 8 FOR 0 YARDS (55-D.JONES).,0,2023,0,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,8,OWN,0,,0,,0,517,0,0
2023121008,2023-12-10,1,6,23,SF,SEA,0,0,100,1,0,TIMEOUT AT 06:23.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,517,0,0
2023121008,2023-12-10,1,5,43,SF,SEA,2,10,8,0,0,(5:43) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE SHORT MIDDLE TO 85-G.KITTLE (21-D.WITHERSPOON). SEA-21-D.WITHERSPOON WAS INJURED DURING THE PLAY. HIS RETURN IS QUESTIONABLE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,8,OWN,0,,0,,0,557,0,0
2023121008,2023-12-10,1,5,39,SF,SEA,3,10,8,0,0,"(5:39) (SHOTGUN) 13-B.PURDY PASS SHORT LEFT TO 19-D.SAMUEL TO SF 16 FOR 8 YARDS (33-J.ADAMS, 23-A.BURNS).",0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,8,OWN,0,,0,,0,561,0,0
2023121008,2023-12-10,1,4,55,SF,SEA,4,2,16,0,0,"(4:55) 18-M.WISHNOWSKY PUNTS 55 YARDS TO SEA 29, CENTER-46-T.PEPPER, FAIR CATCH BY 31-D.DALLAS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,16,OWN,0,,0,,0,605,0,0
2023121008,2023-12-10,1,4,48,SF,SEA,0,0,100,1,0,TIMEOUT AT 04:48.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,612,0,0
2023121008,2023-12-10,1,4,48,SEA,SF,1,10,29,1,0,(4:48) (SHOTGUN) 2-D.LOCK PASS SHORT MIDDLE TO 11-J.SMITH-NJIGBA TO SEA 40 FOR 11 YARDS (2-D.LENOIR; 54-F.WARNER).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,29,OWN,0,,0,,0,612,0,0
2023121008,2023-12-10,1,4,7,SEA,SF,1,10,40,1,0,(4:07) 26-Z.CHARBONNET UP THE MIDDLE TO SF 37 FOR 23 YARDS (27-J.BROWN).,0,2023,23,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,40,OWN,0,,0,,0,653,0,0
2023121008,2023-12-10,1,3,22,SEA,SF,1,10,63,1,0,(3:22) 26-Z.CHARBONNET LEFT END PUSHED OB AT SF 14 FOR 23 YARDS (27-J.BROWN).,0,2023,23,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,37,OPP,0,,0,,0,698,0,0
2023121008,2023-12-10,1,2,42,SEA,SF,1,10,86,0,0,(2:42) 26-Z.CHARBONNET RIGHT TACKLE TO SF 18 FOR -4 YARDS (97-N.BOSA).,0,2023,-4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,14,OPP,0,,0,,0,738,0,0
2023121008,2023-12-10,1,2,1,SEA,SF,2,14,82,0,0,(2:01) (SHOTGUN) 2-D.LOCK PASS INCOMPLETE SHORT RIGHT TO 9-K.WALKER.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,779,0,0
2023121008,2023-12-10,1,1,55,SEA,SF,3,14,82,0,0,(1:55) (SHOTGUN) 2-D.LOCK PASS SHORT LEFT TO 9-K.WALKER PUSHED OB AT SF 16 FOR 2 YARDS (20-A.THOMAS).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,785,0,0
2023121008,2023-12-10,1,1,55,SEA,SF,0,0,100,1,0,TIMEOUT #1 BY SEA AT 01:55.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,785,0,0
2023121008,2023-12-10,1,1,1,SEA,SF,4,17,79,0,0,"(1:01) 5-J.MYERS 40 YARD FIELD GOAL IS GOOD, CENTER-41-C.STOLL, HOLDER-4-M.DICKSON.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,21,OPP,0,,0,,0,839,0,0
2023121008,2023-12-10,1,0,56,SF,SEA,0,0,65,1,0,5-J.MYERS KICKS 68 YARDS FROM SEA 35 TO SF -3. 19-D.SAMUEL TO SF 15 FOR 18 YARDS (59-J.RHATTIGAN).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,844,0,0
2023121008,2023-12-10,1,0,56,SF,SEA,0,0,100,1,0,TIMEOUT AT 00:56.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,844,0,0
2023121008,2023-12-10,1,0,52,SF,SEA,1,10,15,1,0,(:52) 13-B.PURDY PASS DEEP LEFT TO 11-B.AIYUK TO SF 40 FOR 25 YARDS (30-M.JACKSON).,0,2023,25,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,848,0,0
2023121008,2023-12-10,1,0,17,SF,SEA,1,10,40,0,0,(:17) 23-C.MCCAFFREY RIGHT TACKLE TO SF 41 FOR 1 YARD (33-J.ADAMS).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,40,OWN,0,,0,,0,883,0,0
2023121008,2023-12-10,2,15,0,SF,SEA,2,9,41,1,0,(15:00) (SHOTGUN) 13-B.PURDY PASS SHORT MIDDLE TO 11-B.AIYUK TO SEA 48 FOR 11 YARDS (20-J.LOVE).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,900,0,0
2023121008,2023-12-10,1,0,0,SF,SEA,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023121008,2023-12-10,2,14,24,SF,SEA,1,10,52,0,0,(14:24) (SHOTGUN) 13-B.PURDY PASS DEEP RIGHT INTENDED FOR 11-B.AIYUK INTERCEPTED BY 20-J.LOVE AT SEA 30. 20-J.LOVE TO SEA 37 FOR 7 YARDS (23-C.MCCAFFREY).,0,2023,7,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,1,0,0,0,0,,48,OPP,0,,0,,0,936,0,0
2023121008,2023-12-10,2,14,13,SF,SEA,0,0,100,1,0,TIMEOUT AT 14:13.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,947,0,0
2023121008,2023-12-10,2,14,13,SEA,SF,1,10,37,0,0,(14:13) (SHOTGUN) 26-Z.CHARBONNET UP THE MIDDLE TO SEA 39 FOR 2 YARDS (27-J.BROWN).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,37,OWN,0,,0,,0,947,0,0
