GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,DEN,LAC
2023121010,2023-12-10,1,4,55,LAC,DEN,1,10,25,1,0,(4:55) (SHOTGUN) 10-J.HERBERT PASS SHORT MIDDLE TO 7-G.EVERETT TO LAC 37 FOR 12 YARDS (6-P.LOCKE).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,14,605,0,0
2023121010,2023-12-10,1,4,55,LAC,DEN,0,0,100,1,0,TIMEOUT AT 04:55.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,14,605,0,0
2023121010,2023-12-10,1,4,55,LAC,DEN,0,0,65,1,0,"16-W.LUTZ KICKS 65 YARDS FROM DEN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,14,605,0,0
2023121010,2023-12-10,1,4,55,DEN,LAC,0,0,85,1,0,"16-W.LUTZ EXTRA POINT IS GOOD, CENTER-48-M.FRABONI, HOLDER-9-R.DIXON.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,14,605,0,0
2023121010,2023-12-10,1,4,19,LAC,DEN,1,10,37,0,0,"(4:19) 28-I.SPILLER RIGHT TACKLE TO LAC 42 FOR 5 YARDS (92-J.HARRIS, 47-J.JEWELL).",0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,37,OWN,0,,0,,0,14,641,0,0
2023121010,2023-12-10,1,3,39,LAC,DEN,2,5,42,0,0,(3:39) 10-J.HERBERT SACKED AT LAC 32 FOR -10 YARDS (29-J.MCMILLIAN).,0,2023,-10,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,14,681,0,0
2023121010,2023-12-10,1,2,59,LAC,DEN,3,15,32,0,0,"(2:59) (SHOTGUN) 10-J.HERBERT PASS SHORT LEFT TO 1-Q.JOHNSTON TO LAC 44 FOR 12 YARDS (49-A.SINGLETON, 6-P.LOCKE). LAC-77-Z.JOHNSON WAS INJURED DURING THE PLAY.",0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,14,721,0,0
2023121010,2023-12-10,1,2,47,LAC,DEN,0,0,100,1,0,TIMEOUT AT 02:47.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,14,733,0,0
2023121010,2023-12-10,1,2,38,LAC,DEN,4,3,44,0,0,"(2:38) 16-J.SCOTT PUNTS 42 YARDS TO DEN 14, CENTER-47-J.HARRIS, FAIR CATCH BY 19-M.MIMS.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,44,OWN,0,,0,,0,14,742,0,0
2023121010,2023-12-10,1,2,30,LAC,DEN,0,0,100,1,0,TIMEOUT AT 02:30.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,14,750,0,0
