GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,MIA,TEN
2023121100,2023-12-11,3,6,6,MIA,TEN,3,4,15,0,0,(6:06) (SHOTGUN) 1-T.TAGOVAILOA PASS INCOMPLETE DEEP RIGHT TO 28-D.ACHANE.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,14,2334,0,0
2023121100,2023-12-11,3,6,0,MIA,TEN,4,4,15,0,0,"(6:00) 16-J.BAILEY PUNTS 50 YARDS TO TEN 35, CENTER-44-B.FERGUSON, FAIR CATCH BY 33-E.GARROR.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,14,2340,0,0
2023121100,2023-12-11,3,5,53,TEN,MIA,1,10,35,0,0,(5:53) (SHOTGUN) DIRECT SNAP TO 22-D.HENRY.  22-D.HENRY RIGHT TACKLE TO TEN 37 FOR 2 YARDS (2-B.CHUBB).,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,14,2347,0,0
2023121100,2023-12-11,3,5,13,TEN,MIA,2,8,37,0,0,(5:13) (SHOTGUN) 22-D.HENRY RIGHT TACKLE TO TEN 40 FOR 3 YARDS (2-B.CHUBB; 91-E.OGBAH).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,37,OWN,0,,0,,0,14,2387,0,0
2023121100,2023-12-11,3,4,33,TEN,MIA,3,5,40,1,0,(4:33) (SHOTGUN) 32-T.SPEARS LEFT END TO TEN 48 FOR 8 YARDS (29-B.JONES).,0,2023,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,40,OWN,0,,0,,0,14,2427,0,0
2023121100,2023-12-11,3,3,49,TEN,MIA,1,10,48,0,0,(3:49) (SHOTGUN) 8-W.LEVIS PASS INCOMPLETE DEEP LEFT TO 10-D.HOPKINS (5-J.RAMSEY).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,48,OWN,0,,0,,0,14,2471,0,0
2023121100,2023-12-11,3,3,44,TEN,MIA,2,10,48,0,0,"(3:44) PENALTY ON TEN-79-J.DUNCAN, FALSE START, 5 YARDS, ENFORCED AT TEN 48 - NO PLAY.",0,2023,0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,48,OWN,1,TEN,1,FALSE START,5,14,2476,0,0
2023121100,2023-12-11,3,3,44,TEN,MIA,2,15,43,1,0,(3:44) (SHOTGUN) 8-W.LEVIS PASS DEEP LEFT TO 22-D.HENRY TO MIA 40 FOR 17 YARDS (29-B.JONES).,0,2023,17,SHOTGUN,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,14,2476,0,0
2023121100,2023-12-11,3,3,0,TEN,MIA,1,10,60,0,0,"(3:00) 8-W.LEVIS PASS DEEP RIGHT TO 10-D.HOPKINS RAN OB AT MIA 22 FOR 18 YARDS. PENALTY ON TEN, ILLEGAL FORMATION, 5 YARDS, ENFORCED AT MIA 40 - NO PLAY.",0,2023,18,UNDER CENTER,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,1,0,0,,40,OPP,1,TEN,1,ILLEGAL FORMATION,5,14,2520,0,0
2023121100,2023-12-11,3,2,33,TEN,MIA,1,15,55,0,0,(2:33) (SHOTGUN) 8-W.LEVIS PASS SHORT RIGHT TO 10-D.HOPKINS RAN OB AT MIA 38 FOR 7 YARDS.,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,45,OPP,0,,0,,0,14,2547,0,0
