GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,NO,CAR
2023121005,2023-12-10,1,4,55,NO,CAR,4,13,61,0,0,"(4:55) 39-L.HEDLEY PUNTS 27 YARDS TO CAR 12, CENTER-49-Z.WOOD, DOWNED BY NO-46-A.PRENTICE.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,39,OPP,0,,0,,0,14,605,0,0
2023121005,2023-12-10,1,4,45,NO,CAR,0,0,100,1,0,TIMEOUT AT 04:45.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,14,615,0,0
2023121005,2023-12-10,1,4,45,CAR,NO,1,10,12,0,0,"(4:45) 6-M.SANDERS LEFT GUARD TO CAR 15 FOR 3 YARDS (32-T.MATHIEU, 27-I.YIADOM).",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,12,OWN,0,,0,,0,14,615,0,0
2023121005,2023-12-10,1,4,0,CAR,NO,2,7,15,0,0,(4:00) (SHOTGUN) 3-R.BLACKSHEAR LEFT TACKLE TO CAR 19 FOR 4 YARDS (32-T.MATHIEU).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,15,OWN,0,,0,,0,14,660,0,0
2023121005,2023-12-10,1,3,24,CAR,NO,3,3,19,0,0,(3:24) (SHOTGUN) 9-B.YOUNG PASS INCOMPLETE DEEP RIGHT TO 19-A.THIELEN (27-I.YIADOM).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,14,696,0,0
2023121005,2023-12-10,1,3,16,CAR,NO,4,3,19,0,0,"(3:16) 10-J.HEKKER PUNTS 37 YARDS TO NO 44, CENTER-44-J.JANSEN. 5-L.BOWDEN TO CAR 44 FOR 12 YARDS (44-J.JANSEN; 27-A.COOK).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,14,704,0,0
2023121005,2023-12-10,1,3,7,NO,CAR,1,10,56,0,0,(3:07) 4-D.CARR PASS SHORT LEFT TO 12-C.OLAVE TO CAR 37 FOR 7 YARDS (24-V.BELL).,0,2023,7,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,14,713,0,0
2023121005,2023-12-10,1,3,7,NO,CAR,0,0,100,1,0,TIMEOUT AT 03:07.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,14,713,0,0
2023121005,2023-12-10,1,2,35,NO,CAR,2,3,63,1,0,(2:35) 41-A.KAMARA RIGHT TACKLE TO CAR 30 FOR 7 YARDS (98-M.HAYNES).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,37,OPP,0,,0,,0,14,745,0,0
2023121005,2023-12-10,1,1,58,NO,CAR,1,10,70,0,0,(1:58) 41-A.KAMARA RIGHT GUARD TO CAR 23 FOR 7 YARDS (24-V.BELL; 21-J.CHINN).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,30,OPP,0,,0,,0,14,782,0,0
2023121005,2023-12-10,1,1,25,NO,CAR,2,3,77,1,0,"(1:25) 21-J.WILLIAMS RIGHT END TO CAR 11 FOR 12 YARDS (25-X.WOODS, 24-V.BELL).",0,2023,12,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,23,OPP,0,,0,,0,14,815,0,0
2023121005,2023-12-10,1,0,40,NO,CAR,1,10,89,0,0,(:40) 41-A.KAMARA RIGHT TACKLE TO CAR 9 FOR 2 YARDS (95-DER.BROWN).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,11,OPP,0,,0,,0,14,860,0,0
2023121005,2023-12-10,1,0,0,NO,CAR,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,14,900,0,0
2023121005,2023-12-10,2,15,0,NO,CAR,2,8,91,1,0,"(15:00) 41-A.KAMARA LEFT TACKLE FOR 9 YARDS, TOUCHDOWN.",0,2023,9,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,LEFT TACKLE,9,OPP,0,,0,,0,14,900,0,0
2023121005,2023-12-10,2,14,55,CAR,NO,0,0,65,1,0,"19-B.GRUPE KICKS 65 YARDS FROM NO 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,14,905,0,0
2023121005,2023-12-10,2,14,55,NO,CAR,0,0,85,1,0,"19-B.GRUPE EXTRA POINT IS GOOD, CENTER-49-Z.WOOD, HOLDER-39-L.HEDLEY.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,14,905,0,0
2023121005,2023-12-10,2,14,55,CAR,NO,1,10,25,0,0,"(14:55) 30-C.HUBBARD LEFT GUARD TO CAR 26 FOR 1 YARD (94-C.JORDAN, 32-T.MATHIEU).",0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,25,OWN,0,,0,,0,14,905,0,0
