GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,MIN,NO
2023111204,2023-11-12,1,6,17,MIN,NO,0,0,100,1,0,TIMEOUT AT 06:17.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,10,523,0,0
2023111204,2023-11-12,1,6,17,NO,MIN,1,10,24,0,0,(6:17) 41-A.KAMARA LEFT TACKLE TO NO 33 FOR 9 YARDS (24-C.BYNUM; 98-D.WONNUM).,0,2023,9,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,24,OWN,0,,0,,0,10,523,0,0
2023111204,2023-11-12,1,5,43,NO,MIN,2,1,33,1,0,(5:43) 21-J.WILLIAMS RIGHT TACKLE TO NO 35 FOR 2 YARDS (99-D.HUNTER).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,33,OWN,0,,0,,0,10,557,0,0
2023111204,2023-11-12,1,5,9,NO,MIN,1,10,35,0,0,(5:09) (SHOTGUN) 4-D.CARR PASS SHORT MIDDLE TO 7-T.HILL TO NO 41 FOR 6 YARDS (98-D.WONNUM).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,10,591,0,0
2023111204,2023-11-12,1,4,32,NO,MIN,2,4,41,1,0,(4:32) 41-A.KAMARA RIGHT TACKLE TO NO 48 FOR 7 YARDS (45-T.DYE; 44-J.METELLUS).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,41,OWN,0,,0,,0,10,628,0,0
2023111204,2023-11-12,1,3,54,NO,MIN,1,10,48,0,0,(3:54) (SHOTGUN) 7-T.HILL RIGHT END TO MIN 46 FOR 6 YARDS (45-T.DYE).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,48,OWN,0,,0,,0,10,666,0,0
2023111204,2023-11-12,1,3,14,NO,MIN,2,4,54,1,0,(3:14) (SHOTGUN) 4-D.CARR PASS DEEP MIDDLE TO 17-A.PERRY TO MIN 23 FOR 23 YARDS (22-H.SMITH).,0,2023,23,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,10,706,0,0
2023111204,2023-11-12,1,2,35,NO,MIN,1,10,77,0,0,"(2:35) 41-A.KAMARA LEFT TACKLE TO MIN 12 FOR 11 YARDS (21-A.EVANS; 24-C.BYNUM). PENALTY ON NO-87-F.MOREAU, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT MIN 23 - NO PLAY.",0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT TACKLE,23,OPP,1,NO,1,OFFENSIVE HOLDING,10,10,745,0,0
2023111204,2023-11-12,1,2,11,NO,MIN,1,20,67,0,0,(2:11) (SHOTGUN) 4-D.CARR PASS INCOMPLETE DEEP MIDDLE TO 83-J.JOHNSON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,10,769,0,0
2023111204,2023-11-12,1,2,7,NO,MIN,2,20,67,0,0,"(2:07) (NO HUDDLE, SHOTGUN) 4-D.CARR PASS INCOMPLETE SHORT LEFT TO 17-A.PERRY.",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,10,773,0,0
2023111204,2023-11-12,1,2,4,NO,MIN,3,20,67,0,0,(2:04) (SHOTGUN) 4-D.CARR PASS SHORT MIDDLE TO 21-J.WILLIAMS TO MIN 30 FOR 3 YARDS (40-I.PACE).,0,2023,3,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,10,776,0,0
2023111204,2023-11-12,1,1,23,NO,MIN,4,17,70,0,0,"(1:23) 19-B.GRUPE 48 YARD FIELD GOAL IS GOOD, CENTER-49-Z.WOOD, HOLDER-39-L.HEDLEY.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,10,817,0,0
2023111204,2023-11-12,1,1,19,MIN,NO,0,0,65,1,0,"19-B.GRUPE KICKS 65 YARDS FROM NO 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,10,821,0,0
2023111204,2023-11-12,1,1,19,MIN,NO,1,10,25,1,0,(1:19) 32-T.CHANDLER RIGHT TACKLE TO MIN 36 FOR 11 YARDS (29-P.ADEBO; 32-T.MATHIEU).,0,2023,11,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,25,OWN,0,,0,,0,10,821,0,0
2023111204,2023-11-12,1,1,19,MIN,NO,0,0,100,1,0,TIMEOUT AT 01:19.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,10,821,0,0
2023111204,2023-11-12,1,0,44,MIN,NO,1,10,36,0,0,"(:44) (NO HUDDLE) 15-J.DOBBS PASS SHORT LEFT TO 86-J.MUNDT TO MIN 36 FOR NO GAIN (56-D.DAVIS, 53-Z.BAUN).",0,2023,0,NO HUDDLE,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,10,856,0,0
2023111204,2023-11-12,1,0,10,MIN,NO,2,10,36,0,0,"(:10) (NO HUDDLE, SHOTGUN) 15-J.DOBBS PASS DEEP RIGHT INTENDED FOR 3-J.ADDISON INTERCEPTED BY 29-P.ADEBO [90-B.BRESEE] AT NO 4. 29-P.ADEBO TO NO 46 FOR 42 YARDS (83-J.NAILOR). PENALTY ON NO-96-C.GRANDERSON, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT MIN 36 - NO PLAY.",0,2023,42,NO HUDDLE SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,1,0,1,0,0,,36,OWN,1,NO,1,DEFENSIVE OFFSIDE,5,10,890,0,0
2023111204,2023-11-12,2,15,0,MIN,NO,2,5,41,0,0,(15:00) 32-T.CHANDLER RIGHT END PUSHED OB AT MIN 45 FOR 4 YARDS (1-A.TAYLOR).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,41,OWN,0,,0,,0,10,900,0,0
2023111204,2023-11-12,1,0,0,MIN,NO,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,10,900,0,0
