GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,TB,TEN
2023111206,2023-11-12,1,1,44,TEN,TB,0,0,100,1,0,TIMEOUT AT 01:44.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,796,0,0
2023111206,2023-11-12,1,1,31,TEN,TB,3,18,20,0,0,(1:31) (SHOTGUN) 8-W.LEVIS PASS SHORT RIGHT TO 32-T.SPEARS TO TEN 26 FOR 6 YARDS (58-M.WATTS).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,809,0,0
2023111206,2023-11-12,1,0,55,TEN,TB,4,12,26,0,0,"(:55) 4-R.STONEHOUSE PUNTS 62 YARDS TO TB 12, CENTER-46-M.COX, DOWNED BY TEN-39-M.JACKSON. PENALTY ON TB-27-Z.MCCOLLUM, ILLEGAL SUBSTITUTION, 5 YARDS, ENFORCED AT TB 12.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,26,OWN,1,TB,0,ILLEGAL SUBSTITUTION,5,845,0,0
2023111206,2023-11-12,1,0,43,TB,TEN,1,10,7,0,0,"(:43) (SHOTGUN) 1-R.WHITE UP THE MIDDLE TO TB 9 FOR 2 YARDS (98-J.SIMMONS, 94-J.JOHNSON).",0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,7,OWN,0,,0,,0,857,0,0
2023111206,2023-11-12,1,0,6,TB,TEN,2,8,9,0,0,(:06) 6-B.MAYFIELD PASS INCOMPLETE SHORT RIGHT TO 14-C.GODWIN [58-H.LANDRY].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,9,OWN,0,,0,,0,894,0,0
2023111206,2023-11-12,1,0,1,TB,TEN,3,8,9,0,0,(:01) (SHOTGUN) 6-B.MAYFIELD PASS INCOMPLETE SHORT RIGHT TO 13-M.EVANS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,9,OWN,0,,0,,0,899,0,0
2023111206,2023-11-12,2,15,0,TB,TEN,4,8,9,0,0,"(15:00) 5-J.CAMARDA PUNTS 47 YARDS TO TEN 44, CENTER-97-Z.TRINER. 33-E.GARROR PUSHED OB AT TB 41 FOR 15 YARDS (41-K.KIEFT).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,9,OWN,0,,0,,0,900,0,0
2023111206,2023-11-12,1,0,0,TB,TEN,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023111206,2023-11-12,2,14,49,TEN,TB,1,10,59,0,0,(14:49) 22-D.HENRY LEFT GUARD TO TB 37 FOR 4 YARDS (7-S.BARRETT).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,41,OPP,0,,0,,0,911,0,0
2023111206,2023-11-12,2,14,8,TEN,TB,2,6,63,0,0,(14:08) 8-W.LEVIS SACKED AT TB 43 FOR -6 YARDS (45-D.WHITE).,0,2023,-6,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,37,OPP,0,,0,,0,952,0,0
