GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,HOU,CIN
2023111202,2023-11-12,1,5,17,CIN,HOU,1,10,35,0,0,(5:17) 9-J.BURROW PASS INCOMPLETE SHORT MIDDLE TO 83-T.BOYD [96-M.COLLINS].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,583,0,0
2023111202,2023-11-12,1,5,12,CIN,HOU,2,10,35,0,0,"(5:12) (SHOTGUN) 9-J.BURROW PASS SHORT LEFT TO 32-T.WILLIAMS TO CIN 37 FOR 2 YARDS (48-C.HARRIS, 0-S.GRIFFIN).",0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,35,OWN,0,,0,,0,588,0,0
2023111202,2023-11-12,1,4,29,CIN,HOU,3,8,37,0,0,(4:29) (SHOTGUN) 9-J.BURROW SCRAMBLES UP THE MIDDLE TO CIN 38 FOR 1 YARD (53-B.CASHMAN).,0,2023,1,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,631,0,0
2023111202,2023-11-12,1,3,53,CIN,HOU,4,7,38,0,0,"(3:53) 10-B.ROBBINS PUNTS 55 YARDS TO HOU 7, CENTER-48-C.ADOMITIS. 3-N.DELL TO HOU 18 FOR 11 YARDS (25-C.EVANS).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,667,0,0
2023111202,2023-11-12,1,3,42,HOU,CIN,1,10,18,1,0,(3:42) (SHOTGUN) 7-C.STROUD PASS DEEP MIDDLE TO 86-D.SCHULTZ TO HOU 41 FOR 23 YARDS (29-C.TAYLOR-BRITT).,0,2023,23,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,678,0,0
2023111202,2023-11-12,1,3,42,CIN,HOU,0,0,100,1,0,TIMEOUT AT 03:42.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,678,0,0
2023111202,2023-11-12,1,3,5,HOU,CIN,1,10,41,0,0,(3:05) 26-D.SINGLETARY LEFT GUARD TO HOU 47 FOR 6 YARDS (20-D.TURNER).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,41,OWN,0,,0,,0,715,0,0
2023111202,2023-11-12,1,2,42,HOU,CIN,2,4,47,0,0,(2:42) (NO HUDDLE) 26-D.SINGLETARY UP THE MIDDLE TO 50 FOR 3 YARDS (21-M.HILTON).,0,2023,3,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,47,OWN,0,,0,,0,738,0,0
2023111202,2023-11-12,1,2,12,HOU,CIN,3,1,100,0,0,"(2:12) (SHOTGUN) PENALTY ON HOU-86-D.SCHULTZ, FALSE START, 5 YARDS, ENFORCED AT 50 - NO PLAY.",0,2023,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,1,0,0,,0,OPP,1,HOU,1,FALSE START,5,768,0,0
2023111202,2023-11-12,1,1,50,HOU,CIN,3,6,45,1,0,(1:50) (SHOTGUN) 7-C.STROUD PASS SHORT MIDDLE TO 2-R.WOODS TO CIN 40 FOR 15 YARDS (22-C.AWUZIE).,0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,790,0,0
2023111202,2023-11-12,1,1,12,HOU,CIN,1,10,60,1,0,"(1:12) 26-D.SINGLETARY LEFT TACKLE TO CIN 18 FOR 22 YARDS (21-M.HILTON, 23-D.HILL).",0,2023,22,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,40,OPP,0,,0,,0,828,0,0
2023111202,2023-11-12,1,0,35,HOU,CIN,1,10,82,0,0,(:35) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE SHORT MIDDLE TO 2-R.WOODS.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,865,0,0
2023111202,2023-11-12,1,0,32,HOU,CIN,2,10,82,0,0,(:32) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE SHORT MIDDLE TO 3-N.DELL (23-D.HILL).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,18,OPP,0,,0,,0,868,0,0
2023111202,2023-11-12,1,0,26,HOU,CIN,3,10,82,0,0,"(:26) (SHOTGUN) 7-C.STROUD PASS SHORT RIGHT TO 3-N.DELL RAN OB AT CIN 9 FOR 9 YARDS. CINCINNATI CHALLENGED THE PASS COMPLETION RULING, AND THE PLAY WAS UPHELD. THE RULING ON THE FIELD STANDS. (TIMEOUT #1.)",0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,1,0,,0,0,0,0,0,,18,OPP,0,,0,,0,874,0,0
2023111202,2023-11-12,1,0,3,HOU,CIN,4,1,91,0,0,"(:03) 7-C.STROUD FUMBLES (ABORTED) AT CIN 10, TOUCHED AT CIN 10, RECOVERED BY CIN-98-D.READER AT CIN 11.",0,2023,0,UNDER CENTER,FUMBLES,0,0,0,0,,0,0,0,,0,1,0,0,0,,9,OPP,0,,0,,0,897,0,0
2023111202,2023-11-12,2,15,0,CIN,HOU,1,10,11,0,0,(15:00) (SHOTGUN) 9-J.BURROW PASS INCOMPLETE SHORT LEFT TO 28-J.MIXON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,900,0,0
2023111202,2023-11-12,1,0,0,CIN,HOU,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023111202,2023-11-12,2,14,57,CIN,HOU,2,10,11,0,0,"(14:57) (SHOTGUN) 9-J.BURROW PASS SHORT RIGHT TO 28-J.MIXON TO CIN 10 FOR -1 YARDS (6-D.PERRYMAN, 4-T.THOMAS) [92-D.HORTON].",0,2023,-1,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,11,OWN,0,,0,,0,903,0,0
2023111202,2023-11-12,2,14,18,CIN,HOU,3,11,10,0,0,"(14:18) (SHOTGUN) 9-J.BURROW PASS SHORT MIDDLE TO 1-J.CHASE TO CIN 18 FOR 8 YARDS (4-T.THOMAS, 53-B.CASHMAN).",0,2023,8,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,10,OWN,0,,0,,0,942,0,0
2023111202,2023-11-12,2,13,43,CIN,HOU,4,3,18,0,0,"(13:43) 10-B.ROBBINS PUNTS 48 YARDS TO HOU 34, CENTER-48-C.ADOMITIS, FAIR CATCH BY 3-N.DELL. HOU-33-D.OGUNBOWALE WAS INJURED DURING THE PLAY.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,977,0,0
2023111202,2023-11-12,2,13,36,HOU,CIN,1,10,34,0,0,(13:36) 26-D.SINGLETARY LEFT TACKLE TO HOU 41 FOR 7 YARDS (96-C.SAMPLE). CIN-96-C.SAMPLE WAS INJURED DURING THE PLAY.,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,34,OWN,0,,0,,0,984,0,0
2023111202,2023-11-12,2,13,10,HOU,CIN,2,3,41,1,0,(13:10) 3-N.DELL LEFT END PUSHED OB AT CIN 46 FOR 13 YARDS (29-C.TAYLOR-BRITT).,0,2023,13,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,41,OWN,0,,0,,0,1010,0,0
2023111202,2023-11-12,2,12,33,HOU,CIN,1,10,54,0,0,"(12:33) (SHOTGUN) 26-D.SINGLETARY RIGHT TACKLE TO CIN 42 FOR 4 YARDS (21-M.HILTON, 22-C.AWUZIE).",0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,46,OPP,0,,0,,0,1047,0,0
2023111202,2023-11-12,2,12,10,HOU,CIN,2,6,58,1,0,(12:10) (NO HUDDLE) 7-C.STROUD PASS SHORT MIDDLE TO 3-N.DELL TO CIN 25 FOR 17 YARDS (22-C.AWUZIE).,0,2023,17,NO HUDDLE,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,42,OPP,0,,0,,0,1070,0,0
