GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,ARI,PIT
2023120303,2023-12-03,1,7,53,ARI,PIT,0,0,100,1,0,TIMEOUT AT 07:53.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,427,0,0
2023120303,2023-12-03,1,7,10,ARI,PIT,2,15,56,0,0,(7:10) (SHOTGUN) 1-K.MURRAY PASS SHORT MIDDLE TO 4-R.MOORE RAN OB AT PIT 38 FOR 6 YARDS (50-E.ROBERTS) [90-T.WATT].,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,44,OPP,0,,0,,0,470,0,0
2023120303,2023-12-03,1,6,30,ARI,PIT,3,9,62,0,0,(6:30) (SHOTGUN) 1-K.MURRAY PASS SHORT MIDDLE TO 85-T.MCBRIDE TO PIT 33 FOR 5 YARDS (39-M.FITZPATRICK).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,510,0,0
2023120303,2023-12-03,1,5,48,ARI,PIT,4,4,67,0,0,"(5:48) 5-M.PRATER 51 YARD FIELD GOAL IS GOOD, CENTER-46-A.BREWER, HOLDER-12-B.GILLIKIN.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,552,0,0
2023120303,2023-12-03,1,5,44,PIT,ARI,1,10,25,0,0,(5:44) 30-J.WARREN RIGHT GUARD TO PIT 32 FOR 7 YARDS (79-P.HOSKINS; 51-K.BARNES).,0,2023,7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,25,OWN,0,,0,,0,556,0,0
2023120303,2023-12-03,1,5,44,PIT,ARI,0,0,100,1,0,TIMEOUT AT 05:44.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,556,0,0
2023120303,2023-12-03,1,5,44,PIT,ARI,0,0,65,1,0,"5-M.PRATER KICKS 65 YARDS FROM ARI 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,556,0,0
2023120303,2023-12-03,1,5,9,PIT,ARI,2,3,32,1,0,(5:09) (SHOTGUN) 8-K.PICKETT PASS SHORT RIGHT TO 18-D.JOHNSON RAN OB AT PIT 37 FOR 5 YARDS.,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,32,OWN,0,,0,,0,591,0,0
2023120303,2023-12-03,1,4,42,PIT,ARI,1,10,37,0,0,(4:42) (SHOTGUN) 8-K.PICKETT PASS SHORT LEFT TO 30-J.WARREN TO PIT 33 FOR -4 YARDS (10-J.WOODS).,0,2023,-4,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,618,0,0
2023120303,2023-12-03,1,4,0,PIT,ARI,2,14,33,0,0,(4:00) (SHOTGUN) 30-J.WARREN LEFT GUARD TO PIT 42 FOR 9 YARDS (21-G.WILLIAMS; 18-B.OJULARI).,0,2023,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,33,OWN,0,,0,,0,660,0,0
2023120303,2023-12-03,1,3,26,PIT,ARI,3,5,42,0,0,"(3:26) (NO HUDDLE, SHOTGUN) 8-K.PICKETT PASS SHORT RIGHT TO 18-D.JOHNSON TO PIT 42 FOR NO GAIN (10-J.WOODS; 44-O.PAPPOE).",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,694,0,0
2023120303,2023-12-03,1,2,49,PIT,ARI,4,5,42,0,0,"(2:49) 6-P.HARVIN PUNTS 49 YARDS TO ARI 9, CENTER-46-C.KUNTZ. 83-G.DORTCH TO ARI 16 FOR 7 YARDS (42-J.PIERRE, 93-M.ROBINSON).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,42,OWN,0,,0,,0,731,0,0
2023120303,2023-12-03,1,2,37,ARI,PIT,1,10,16,0,0,(2:37) (SHOTGUN) 6-J.CONNER UP THE MIDDLE TO ARI 22 FOR 6 YARDS (50-E.ROBERTS; 38-M.WALKER).,0,2023,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,16,OWN,0,,0,,0,743,0,0
2023120303,2023-12-03,1,2,0,ARI,PIT,2,4,22,0,0,(2:00) (SHOTGUN) 1-K.MURRAY PASS INCOMPLETE SHORT RIGHT TO 83-G.DORTCH [44-M.GOLDEN].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,780,0,0
2023120303,2023-12-03,1,1,54,ARI,PIT,3,4,22,0,0,(1:54) (SHOTGUN) 1-K.MURRAY SACKED AT ARI 15 FOR -7 YARDS (56-A.HIGHSMITH).,0,2023,-7,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,786,0,0
2023120303,2023-12-03,1,1,17,ARI,PIT,4,11,15,0,0,"(1:17) 12-B.GILLIKIN PUNTS 59 YARDS TO PIT 26, CENTER-46-A.BREWER. 19-C.AUSTIN TO PIT 37 FOR 11 YARDS (87-G.SWAIM).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OWN,0,,0,,0,823,0,0
2023120303,2023-12-03,1,1,7,PIT,ARI,1,10,37,0,0,(1:07) 22-N.HARRIS RIGHT TACKLE TO PIT 40 FOR 3 YARDS (13-K.CLARK).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,37,OWN,0,,0,,0,833,0,0
2023120303,2023-12-03,1,1,7,PIT,ARI,0,0,100,1,0,TIMEOUT AT 01:07.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,833,0,0
2023120303,2023-12-03,1,0,34,PIT,ARI,2,7,40,0,0,(:34) 22-N.HARRIS RIGHT TACKLE TO PIT 41 FOR 1 YARD (92-K.STRONG; 10-J.WOODS).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,40,OWN,0,,0,,0,866,0,0
2023120303,2023-12-03,2,15,0,PIT,ARI,3,6,41,0,0,(15:00) (SHOTGUN) 8-K.PICKETT PASS INCOMPLETE SHORT RIGHT TO 30-J.WARREN (18-B.OJULARI) [34-J.THOMPSON].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OWN,0,,0,,0,900,0,0
2023120303,2023-12-03,1,0,0,PIT,ARI,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
