GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,DET,NO
2023120301,2023-12-03,1,7,36,NO,DET,2,3,32,0,0,(7:36) 41-A.KAMARA RIGHT END TO NO 30 FOR -2 YARDS (46-J.CAMPBELL).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,32,OWN,0,,0,,0,444,0,0
2023120301,2023-12-03,1,6,59,NO,DET,3,5,30,0,0,(6:59) (SHOTGUN) 4-D.CARR SACKED AT NO 20 FOR -10 YARDS (51-B.IRVIN).,0,2023,-10,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,30,OWN,0,,0,,0,481,0,0
2023120301,2023-12-03,1,6,19,NO,DET,4,15,20,0,0,"(6:19) 39-L.HEDLEY PUNTS 49 YARDS TO DET 31, CENTER-49-Z.WOOD. 11-K.RAYMOND MUFFS CATCH, AND RECOVERS AT DET 32. 11-K.RAYMOND TO DET 34 FOR 2 YARDS (7-T.HILL).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,20,OWN,0,,0,,0,521,0,0
2023120301,2023-12-03,1,6,8,DET,NO,1,10,34,0,0,(6:08) 16-J.GOFF PASS SHORT RIGHT TO 5-D.MONTGOMERY TO DET 33 FOR -1 YARDS (94-C.JORDAN).,0,2023,-1,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,532,0,0
2023120301,2023-12-03,1,6,8,NO,DET,0,0,100,1,0,TIMEOUT AT 06:08.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,532,0,0
2023120301,2023-12-03,1,5,29,DET,NO,2,11,33,0,0,(5:29) (SHOTGUN) 16-J.GOFF PASS INCOMPLETE SHORT RIGHT TO 14-A.ST. BROWN.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,571,0,0
2023120301,2023-12-03,1,5,25,DET,NO,3,11,33,0,0,(5:25) (SHOTGUN) 16-J.GOFF SACKED AT DET 25 FOR -8 YARDS (53-Z.BAUN).,0,2023,-8,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,575,0,0
2023120301,2023-12-03,1,4,45,DET,NO,4,19,25,0,0,"(4:45) 3-J.FOX PUNTS 49 YARDS TO NO 26, CENTER-43-J.MCQUAIDE. 5-L.BOWDEN TO NO 24 FOR -2 YARDS (42-J.REEVES-MAYBIN).",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,615,0,0
2023120301,2023-12-03,1,4,33,NO,DET,1,10,24,0,0,"(4:33) 67-L.YOUNG REPORTED IN AS ELIGIBLE.  4-D.CARR PASS SHORT RIGHT TO 21-J.WILLIAMS TO NO 30 FOR 6 YARDS (21-T.WALKER, 44-M.RODRIGUEZ) [94-B.JONES].",0,2023,6,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,627,0,0
2023120301,2023-12-03,1,3,55,NO,DET,2,4,30,1,0,(3:55) (SHOTGUN) 7-T.HILL RIGHT GUARD TO DET 49 FOR 21 YARDS (79-J.COMINSKY).,0,2023,21,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,30,OWN,0,,0,,0,665,0,0
2023120301,2023-12-03,1,3,17,NO,DET,1,10,51,0,0,(3:17) 41-A.KAMARA RIGHT TACKLE TO DET 48 FOR 1 YARD (93-J.PASCHAL).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,49,OPP,0,,0,,0,703,0,0
2023120301,2023-12-03,1,2,37,NO,DET,2,9,52,0,0,(2:37) (SHOTGUN) 7-T.HILL PASS INCOMPLETE SHORT RIGHT TO 83-J.JOHNSON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,743,0,0
2023120301,2023-12-03,1,2,31,NO,DET,3,9,52,0,0,(2:31) (SHOTGUN) 4-D.CARR PASS INCOMPLETE DEEP RIGHT TO 17-A.PERRY [42-J.REEVES-MAYBIN].,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,749,0,0
2023120301,2023-12-03,1,2,27,NO,DET,4,9,52,0,0,"(2:27) 39-L.HEDLEY PUNTS 48 YARDS TO END ZONE, CENTER-49-Z.WOOD, TOUCHBACK.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,753,0,0
2023120301,2023-12-03,1,2,19,DET,NO,1,10,20,1,0,(2:19) 5-D.MONTGOMERY RIGHT GUARD TO DET 33 FOR 13 YARDS (27-I.YIADOM).,0,2023,13,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT GUARD,20,OWN,0,,0,,0,761,0,0
