GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,KC,GB
2023120310,2023-12-03,2,14,21,GB,KC,1,10,44,0,0,(14:21) (SHOTGUN) 9-C.WATSON RIGHT END TO GB 46 FOR 2 YARDS (56-G.KARLAFTIS). KC-20-J.REID WAS INJURED DURING THE PLAY.,0,2023,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,44,OWN,0,,0,,0,939,0,0
2023120310,2023-12-03,2,13,41,GB,KC,2,8,46,1,0,(13:41) 10-J.LOVE PASS DEEP LEFT TO 13-D.WICKS TO KC 27 FOR 27 YARDS (27-C.CONNER).,0,2023,27,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,46,OWN,0,,0,,0,979,0,0
2023120310,2023-12-03,2,12,58,GB,KC,1,10,73,0,0,(12:58) (SHOTGUN) 10-J.LOVE PASS SHORT RIGHT TO 85-T.KRAFT PUSHED OB AT KC 18 FOR 9 YARDS (21-M.EDWARDS).,0,2023,9,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,27,OPP,0,,0,,0,1022,0,0
2023120310,2023-12-03,2,12,18,GB,KC,2,1,82,1,0,(12:18) (SHOTGUN) 28-A.DILLON UP THE MIDDLE TO KC 14 FOR 4 YARDS (50-W.GAY; 90-C.OMENIHU).,0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,18,OPP,0,,0,,0,1062,0,0
2023120310,2023-12-03,2,11,34,GB,KC,1,10,86,0,0,(11:34) 28-A.DILLON RIGHT END TO KC 9 FOR 5 YARDS (43-J.COCHRANE).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,14,OPP,0,,0,,0,1106,0,0
2023120310,2023-12-03,2,10,48,GB,KC,2,5,91,0,0,(10:48) (SHOTGUN) 10-J.LOVE PASS INCOMPLETE SHORT RIGHT TO 9-C.WATSON.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,9,OPP,0,,0,,0,1152,0,0
2023120310,2023-12-03,2,10,48,GB,KC,0,0,100,1,0,TIMEOUT #2 BY GB AT 10:48.,0,2023,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,1152,0,0
2023120310,2023-12-03,2,10,44,GB,KC,3,5,91,1,0,"(10:44) (SHOTGUN) 10-J.LOVE PASS SHORT MIDDLE TO 9-C.WATSON FOR 9 YARDS, TOUCHDOWN.",0,2023,9,SHOTGUN,PASS,0,1,0,1,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,9,OPP,0,,0,,0,1156,0,0
2023120310,2023-12-03,2,10,39,GB,KC,0,0,85,1,0,"17-A.CARLSON EXTRA POINT IS GOOD, CENTER-42-M.ORZECH, HOLDER-19-D.WHELAN.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,1161,0,0
2023120310,2023-12-03,2,10,39,KC,GB,1,10,25,0,0,(10:39) (SHOTGUN) 10-I.PACHECO LEFT END TO KC 26 FOR 1 YARD (97-K.CLARK; 55-K.ENAGBARE).,0,2023,1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0,1161,0,0
