GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,ATL,NYJ
2023120302,2023-12-03,1,5,20,NYJ,ATL,2,6,43,0,0,(5:20) 20-BRE.HALL RIGHT TACKLE TO NYJ 45 FOR 2 YARDS (93-C.CAMPBELL; 3-J.BATES).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,43,OWN,0,,0,,0,13,580,0,0
2023120302,2023-12-03,1,4,37,NYJ,ATL,3,4,45,1,0,(4:37) (SHOTGUN) 7-T.BOYLE PASS SHORT RIGHT TO 83-T.CONKLIN TO ATL 41 FOR 14 YARDS (37-D.HELLAMS).,0,2023,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,45,OWN,0,,0,,0,13,623,0,0
2023120302,2023-12-03,1,4,0,NYJ,ATL,1,10,59,0,0,(4:00) 7-T.BOYLE PASS INCOMPLETE SHORT RIGHT TO 10-A.LAZARD.,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,41,OPP,0,,0,,0,13,660,0,0
2023120302,2023-12-03,1,3,54,NYJ,ATL,2,10,59,0,0,(3:54) 20-BRE.HALL RIGHT TACKLE TO ATL 43 FOR -2 YARDS (48-B.DUPREE).,0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,41,OPP,0,,0,,0,13,666,0,0
2023120302,2023-12-03,1,3,12,NYJ,ATL,3,12,57,0,0,(3:12) (SHOTGUN) 7-T.BOYLE SACKED AT ATL 48 FOR -5 YARDS (48-B.DUPREE).,0,2023,-5,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,13,708,0,0
2023120302,2023-12-03,1,2,27,NYJ,ATL,4,17,52,0,0,"(2:27) 5-T.MORSTEAD PUNTS 47 YARDS TO ATL 1, CENTER-42-T.HENNESSY, DOWNED BY NYJ-34-J.HARDEE.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,48,OPP,0,,0,,0,13,753,0,0
2023120302,2023-12-03,1,2,15,ATL,NYJ,1,10,1,0,0,(2:15) 9-D.RIDDER UP THE MIDDLE TO ATL 2 FOR 1 YARD (92-P.WINFREY).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,1,OWN,0,,0,,0,13,765,0,0
2023120302,2023-12-03,1,2,15,NYJ,ATL,0,0,100,1,0,TIMEOUT AT 02:15.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,765,0,0
2023120302,2023-12-03,1,1,40,ATL,NYJ,2,9,2,0,0,"(1:40) 7-B.ROBINSON LEFT END TACKLED IN END ZONE FOR -2 YARDS, SAFETY (21-A.DAVIS, 95-Q.WILLIAMS).",0,2023,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,2,OWN,0,,0,,0,13,800,0,0
2023120302,2023-12-03,1,1,36,NYJ,ATL,0,0,80,1,0,13-B.PINION KICKS 72 YARDS FROM ATL 20 TO NYJ 8. 82-X.GIPSON PUSHED OB AT NYJ 33 FOR 25 YARDS (33-T.FLOWERS).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,20,OPP,0,,0,,0,13,804,0,0
