GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,DEN,HOU
2023120307,2023-12-03,4,12,4,HOU,DEN,1,10,25,0,0,(12:04) 26-D.SINGLETARY UP THE MIDDLE TO HOU 28 FOR 3 YARDS (47-J.JEWELL; 99-Z.ALLEN).,0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,13,2876,0,0
2023120307,2023-12-03,4,12,4,HOU,DEN,0,0,100,1,0,TIMEOUT AT 12:04.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,2876,0,0
2023120307,2023-12-03,4,12,4,DEN,HOU,0,0,85,1,0,"16-W.LUTZ EXTRA POINT IS GOOD, CENTER-48-M.FRABONI, HOLDER-9-R.DIXON.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,13,2876,0,0
2023120307,2023-12-03,4,12,4,HOU,DEN,0,0,65,1,0,"16-W.LUTZ KICKS 65 YARDS FROM DEN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,13,2876,0,0
2023120307,2023-12-03,4,11,28,HOU,DEN,2,7,28,0,0,(11:28) 7-C.STROUD SACKED AT HOU 18 FOR -10 YARDS (49-A.SINGLETON).,0,2023,-10,UNDER CENTER,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,28,OWN,0,,0,,0,13,2912,0,0
2023120307,2023-12-03,4,10,44,HOU,DEN,3,17,18,0,0,(10:44) (SHOTGUN) 7-C.STROUD PASS INCOMPLETE DEEP LEFT TO 12-N.COLLINS (2-P.SURTAIN).,0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,18,OWN,0,,0,,0,13,2956,0,0
2023120307,2023-12-03,4,10,40,HOU,DEN,4,17,18,0,0,"(10:40) 11-C.JOHNSTON PUNTS 57 YARDS TO DEN 25, CENTER-46-J.WEEKS. 19-M.MIMS TO DEN 32 FOR 7 YARDS (35-J.HANSEN; 4-T.THOMAS). PENALTY ON DEN-32-D.TURNER-YELL, RUNNING INTO THE KICKER, DECLINED.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,1,0,0,,18,OWN,0,DEN,0,RUNNING INTO THE KICKER,0,13,2960,0,0
2023120307,2023-12-03,4,10,28,DEN,HOU,1,10,32,0,0,(10:28) 33-J.WILLIAMS RIGHT TACKLE TO DEN 36 FOR 4 YARDS (98-S.RANKINS). DEN-77-Q.MEINERZ WAS INJURED DURING THE PLAY.,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,32,OWN,0,,0,,0,13,2972,0,0
2023120307,2023-12-03,4,9,40,DEN,HOU,2,6,36,0,0,(9:40) (SHOTGUN) 3-R.WILSON PASS DEEP MIDDLE INTENDED FOR 14-C.SUTTON INTERCEPTED BY 24-D.STINGLEY AT HOU 27. 24-D.STINGLEY TO HOU 27 FOR NO GAIN (19-M.MIMS).,0,2023,0,SHOTGUN,PASS,0,1,0,0,DEEP MIDDLE,0,0,0,,1,0,0,0,0,,36,OWN,0,,0,,0,13,3020,0,0
2023120307,2023-12-03,4,9,33,HOU,DEN,1,10,27,0,0,"(9:33) 31-D.PIERCE LEFT TACKLE TO HOU 27 FOR NO GAIN (49-A.SINGLETON, 47-J.JEWELL).",0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,27,OWN,0,,0,,0,13,3027,0,0
