GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,TB,CAR
2023120304,2023-12-03,1,6,16,TB,CAR,1,1,99,1,0,"(6:16) 1-R.WHITE UP THE MIDDLE FOR 1 YARD, TOUCHDOWN.",0,2023,1,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,CENTER,1,OPP,0,,0,,0,13,524,0,0
2023120304,2023-12-03,1,6,8,CAR,TB,0,0,65,1,0,"5-J.CAMARDA KICKS 65 YARDS FROM TB 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,13,532,0,0
2023120304,2023-12-03,1,6,8,TB,CAR,0,0,100,1,0,TIMEOUT AT 06:08.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,532,0,0
2023120304,2023-12-03,1,6,8,TB,CAR,0,0,85,1,0,"4-C.MCLAUGHLIN EXTRA POINT IS GOOD, CENTER-97-Z.TRINER, HOLDER-5-J.CAMARDA.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,13,532,0,0
2023120304,2023-12-03,1,6,8,CAR,TB,1,10,25,0,0,"(6:08) 30-C.HUBBARD LEFT GUARD TO CAR 35 FOR 10 YARDS (30-D.DELANEY; 52-K.BRITT). PENALTY ON CAR-67-J.MCCRAY, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT CAR 32.",0,2023,10,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,1,0,0,LEFT GUARD,25,OWN,1,CAR,0,OFFENSIVE HOLDING,10,13,532,0,0
2023120304,2023-12-03,1,5,40,CAR,TB,1,13,22,0,0,(5:40) (SHOTGUN) 30-C.HUBBARD UP THE MIDDLE TO CAR 25 FOR 3 YARDS (94-C.KANCEY; 52-K.BRITT).,0,2023,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,22,OWN,0,,0,,0,13,560,0,0
2023120304,2023-12-03,1,4,56,CAR,TB,2,10,25,0,0,(4:56) 30-C.HUBBARD UP THE MIDDLE TO CAR 31 FOR 6 YARDS (51-J.RUSSELL).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,25,OWN,0,,0,,0,13,604,0,0
2023120304,2023-12-03,1,4,14,CAR,TB,3,4,31,1,0,(4:14) (SHOTGUN) 9-B.YOUNG PASS SHORT RIGHT TO 19-A.THIELEN RAN OB AT CAR 37 FOR 6 YARDS (29-C.IZIEN). TB-52-K.BRITT WAS INJURED DURING THE PLAY.,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,13,646,0,0
2023120304,2023-12-03,1,3,53,CAR,TB,0,0,100,1,0,TIMEOUT AT 03:53.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,13,667,0,0
2023120304,2023-12-03,1,3,31,CAR,TB,1,10,37,0,0,(3:31) 9-B.YOUNG PASS SHORT RIGHT TO 80-I.THOMAS PUSHED OB AT CAR 43 FOR 6 YARDS (9-J.TRYON).,0,2023,6,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,37,OWN,0,,0,,0,13,689,0,0
