GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,MIN,DET
2023122405,2023-12-24,1,3,49,MIN,DET,2,6,94,0,0,(3:49) 32-T.CHANDLER UP THE MIDDLE TO DET 4 FOR 2 YARDS (6-I.MELIFONWU).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,6,OPP,0,,0,,0,671,0,0
2023122405,2023-12-24,1,3,8,MIN,DET,3,4,96,0,0,"(3:08) (SHOTGUN) 12-N.MULLENS PASS INCOMPLETE SHORT RIGHT [97-A.HUTCHINSON]. PENALTY ON DET-32-B.BRANCH, DEFENSIVE HOLDING, 2 YARDS, ENFORCED AT DET 4 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,1,0,0,,4,OPP,1,DET,1,DEFENSIVE HOLDING,2,712,0,0
2023122405,2023-12-24,1,3,1,MIN,DET,1,2,98,0,0,(3:01) (SHOTGUN) 12-N.MULLENS PASS INCOMPLETE SHORT RIGHT TO 84-J.OLIVER [34-A.ANZALONE].,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,2,OPP,0,,0,,0,719,0,0
2023122405,2023-12-24,1,2,53,MIN,DET,2,2,98,1,0,"(2:53) (SHOTGUN) 32-T.CHANDLER RIGHT GUARD FOR 2 YARDS, TOUCHDOWN.",0,2023,2,SHOTGUN,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,RIGHT GUARD,2,OPP,0,,0,,0,727,0,0
2023122405,2023-12-24,1,2,51,MIN,DET,0,0,100,1,0,TIMEOUT AT 02:51.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,729,0,0
2023122405,2023-12-24,1,2,51,MIN,DET,0,0,85,1,0,"1-G.JOSEPH EXTRA POINT IS GOOD, CENTER-42-A.DEPAOLA, HOLDER-14-R.WRIGHT.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,729,0,0
2023122405,2023-12-24,1,2,51,DET,MIN,0,0,65,1,0,"1-G.JOSEPH KICKS 65 YARDS FROM MIN 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,729,0,0
2023122405,2023-12-24,1,2,51,DET,MIN,1,10,25,0,0,(2:51) 70-D.SKIPPER REPORTED IN AS ELIGIBLE.  16-J.GOFF PASS INCOMPLETE DEEP LEFT TO 8-J.REYNOLDS [99-D.HUNTER].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,729,0,0
2023122405,2023-12-24,1,2,46,DET,MIN,2,10,25,1,0,(2:46) (SHOTGUN) 16-J.GOFF PASS SHORT MIDDLE TO 9-J.WILLIAMS TO DET 36 FOR 11 YARDS (58-J.HICKS; 44-J.METELLUS).,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,734,0,0
2023122405,2023-12-24,1,2,12,DET,MIN,1,10,36,1,0,"(2:12) 26-J.GIBBS LEFT END TO DET 49 FOR 13 YARDS (24-C.BYNUM). FUMBLES (24-C.BYNUM), TOUCHED AT MIN 49, RECOVERED BY MIN-40-I.PACE AT MIN 46. 40-I.PACE TO DET 48 FOR 6 YARDS (14-A.ST. BROWN; 87-S.LAPORTA).",0,2023,13,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,1,0,0,0,LEFT END,36,OWN,0,,0,,0,768,0,0
