GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,TEN,SEA
2023122407,2023-12-24,2,0,10,TEN,SEA,3,3,34,0,0,"(:10) (NO HUDDLE, SHOTGUN) 17-R.TANNEHILL SACKED AT TEN 29 FOR -5 YARDS (53-B.MAFE).",0,2023,-5,NO HUDDLE SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,,34,OWN,0,,0,,0,16,1790,0,0
2023122407,2023-12-24,3,15,0,SEA,TEN,0,0,65,0,0,"13-T.ZENTNER KICKS 65 YARDS FROM TEN 35 TO SEA 0. 31-D.DALLAS TO SEA 30 FOR 30 YARDS (41-O.REESE). PENALTY ON TEN-54-G.WALLOW, UNNECESSARY ROUGHNESS, 15 YARDS, ENFORCED AT SEA 30.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,1,0,0,,35,OPP,1,TEN,0,UNNECESSARY ROUGHNESS,15,16,1800,0,0
2023122407,2023-12-24,2,0,0,TEN,SEA,0,0,100,1,0,END QUARTER 2,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,1800,0,0
2023122407,2023-12-24,3,14,54,SEA,TEN,1,10,45,1,0,(14:54) (SHOTGUN) 9-K.WALKER RIGHT TACKLE TO TEN 44 FOR 11 YARDS (24-E.MOLDEN).,0,2023,11,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,45,OWN,0,,0,,0,16,1806,0,0
2023122407,2023-12-24,3,14,19,SEA,TEN,1,10,56,0,0,"(14:19) (NO HUDDLE) 9-K.WALKER UP THE MIDDLE TO TEN 46 FOR -2 YARDS (49-A.KEY, 96-D.AUTRY).",0,2023,-2,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,CENTER,44,OPP,0,,0,,0,16,1841,0,0
2023122407,2023-12-24,3,13,31,SEA,TEN,2,12,54,0,0,"(13:31) (SHOTGUN) 7-G.SMITH PASS SHORT RIGHT TO 89-W.DISSLY TO TEN 40 FOR 6 YARDS (2-A.AL-SHAAIR, 21-R.MCCREARY).",0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,16,1889,0,0
2023122407,2023-12-24,3,12,43,SEA,TEN,3,6,60,1,0,(12:43) (SHOTGUN) 7-G.SMITH PASS SHORT LEFT TO 11-J.SMITH-NJIGBA TO TEN 30 FOR 10 YARDS (33-E.GARROR).,0,2023,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,40,OPP,0,,0,,0,16,1937,0,0
2023122407,2023-12-24,3,11,59,SEA,TEN,1,10,70,0,0,(11:59) 9-K.WALKER RIGHT TACKLE TO TEN 30 FOR NO GAIN (44-M.BROWN).,0,2023,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,30,OPP,0,,0,,0,16,1981,0,0
2023122407,2023-12-24,3,11,22,SEA,TEN,2,10,70,1,0,(11:22) (SHOTGUN) 7-G.SMITH PASS DEEP RIGHT TO 16-T.LOCKETT RAN OB AT TEN 11 FOR 19 YARDS.,0,2023,19,SHOTGUN,PASS,0,1,0,0,DEEP RIGHT,0,0,0,,0,0,0,0,0,,30,OPP,0,,0,,0,16,2018,0,0
2023122407,2023-12-24,3,10,48,SEA,TEN,1,10,89,0,0,(10:48) (SHOTGUN) 7-G.SMITH SCRAMBLES UP THE MIDDLE TO TEN 9 FOR 2 YARDS (49-A.KEY; 91-K.COBURN).,0,2023,2,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,11,OPP,0,,0,,0,16,2052,0,0
