GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,CHI,ARI
2023122409,2023-12-24,4,10,22,CHI,ARI,0,0,100,1,0,TIMEOUT AT 10:22.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,2978,0,0
2023122409,2023-12-24,4,10,22,ARI,CHI,1,10,20,0,0,(10:22) 6-J.CONNER LEFT TACKLE TO ARI 24 FOR 4 YARDS (95-D.WALKER).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,20,OWN,0,,0,,0,16,2978,0,0
2023122409,2023-12-24,4,9,54,ARI,CHI,2,6,24,1,0,"(9:54) (NO HUDDLE, SHOTGUN) 1-K.MURRAY PASS SHORT MIDDLE TO 6-J.CONNER RAN OB AT ARI 44 FOR 20 YARDS (53-T.EDWARDS).",0,2023,20,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,24,OWN,0,,0,,0,16,3006,0,0
2023122409,2023-12-24,4,9,30,ARI,CHI,1,10,44,0,0,"(9:30) (NO HUDDLE, SHOTGUN) 6-J.CONNER RIGHT END PUSHED OB AT ARI 43 FOR -1 YARDS (9-J.BRISKER).",0,2023,-1,NO HUDDLE SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,44,OWN,0,,0,,0,16,3030,0,0
2023122409,2023-12-24,4,8,53,ARI,CHI,2,11,43,0,0,(8:53) (SHOTGUN) 1-K.MURRAY PASS SHORT LEFT TO 6-J.CONNER RAN OB AT ARI 49 FOR 6 YARDS (33-J.JOHNSON).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,43,OWN,0,,0,,0,16,3067,0,0
2023122409,2023-12-24,4,8,19,ARI,CHI,3,5,49,0,0,"(8:19) (NO HUDDLE, SHOTGUN) 1-K.MURRAY SCRAMBLES LEFT END PUSHED OB AT CHI 48 FOR 3 YARDS (53-T.EDWARDS).",0,2023,3,NO HUDDLE SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,49,OWN,0,,0,,0,16,3101,0,0
2023122409,2023-12-24,4,7,36,ARI,CHI,4,2,52,0,0,"(7:36) (SHOTGUN) 1-K.MURRAY PASS INCOMPLETE DEEP LEFT TO 85-T.MCBRIDE. PENALTY ON CHI-9-J.BRISKER, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT CHI 48 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,1,0,0,,48,OPP,1,CHI,1,DEFENSIVE HOLDING,5,16,3144,0,0
2023122409,2023-12-24,4,7,32,ARI,CHI,1,10,57,0,0,(7:32) (SHOTGUN) 1-K.MURRAY PASS SHORT MIDDLE TO 85-T.MCBRIDE TO CHI 38 FOR 5 YARDS (53-T.EDWARDS).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,16,3148,0,0
2023122409,2023-12-24,4,6,54,ARI,CHI,2,5,62,0,0,"(6:54) (NO HUDDLE, SHOTGUN) 1-K.MURRAY PASS INCOMPLETE DEEP LEFT TO 14-MI.WILSON (32-T.SMITH).",0,2023,0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,16,3186,0,0
2023122409,2023-12-24,4,6,48,ARI,CHI,3,5,62,1,0,"(6:48) (SHOTGUN) 1-K.MURRAY PASS SHORT RIGHT TO 83-G.DORTCH FOR 38 YARDS, TOUCHDOWN.",0,2023,38,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,,38,OPP,0,,0,,0,16,3192,0,0
