GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Week,Duration,BAL,SF
2023122502,2023-12-25,1,6,52,SF,BAL,1,10,72,0,0,(6:52) 19-D.SAMUEL RIGHT END RAN OB AT BAL 27 FOR 1 YARD (44-M.HUMPHREY).,0,2023,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT END,28,OPP,0,,0,,0,16,488,0,0
2023122502,2023-12-25,1,6,11,SF,BAL,2,9,73,0,0,(6:11) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE SHORT LEFT TO 19-D.SAMUEL (24-J.CLOWNEY).,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,27,OPP,0,,0,,0,16,529,0,0
2023122502,2023-12-25,1,6,6,SF,BAL,3,9,73,0,0,(6:06) (SHOTGUN) 13-B.PURDY PASS INCOMPLETE SHORT LEFT TO 23-C.MCCAFFREY.,0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,27,OPP,0,,0,,0,16,534,0,0
2023122502,2023-12-25,1,6,3,SF,BAL,4,9,73,0,0,"(6:03) 4-J.MOODY 45 YARD FIELD GOAL IS GOOD, CENTER-46-T.PEPPER, HOLDER-18-M.WISHNOWSKY.",0,2023,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,,27,OPP,0,,0,,0,16,537,0,0
2023122502,2023-12-25,1,5,58,SF,BAL,0,0,100,1,0,TIMEOUT AT 05:58.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,16,542,0,0
2023122502,2023-12-25,1,5,58,BAL,SF,1,10,25,1,0,(5:58) (SHOTGUN) 8-L.JACKSON PASS SHORT RIGHT TO 4-Z.FLOWERS TO BAL 38 FOR 13 YARDS (57-D.GREENLAW).,0,2023,13,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,16,542,0,0
2023122502,2023-12-25,1,5,58,BAL,SF,0,0,65,1,0,"4-J.MOODY KICKS 65 YARDS FROM SF 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,16,542,0,0
2023122502,2023-12-25,1,5,16,BAL,SF,1,10,38,0,0,(5:16) (SHOTGUN) 8-L.JACKSON PASS SHORT LEFT TO 4-Z.FLOWERS TO BAL 36 FOR -2 YARDS (54-F.WARNER).,0,2023,-2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,38,OWN,0,,0,,0,16,584,0,0
2023122502,2023-12-25,1,4,36,BAL,SF,2,12,36,0,0,(4:36) (SHOTGUN) 8-L.JACKSON SCRAMBLES LEFT END RAN OB AT BAL 45 FOR 9 YARDS (54-F.WARNER; 27-J.BROWN).,0,2023,9,SHOTGUN,SCRAMBLE,1,0,0,0,,0,0,0,,0,0,0,0,0,,36,OWN,0,,0,,0,16,624,0,0
2023122502,2023-12-25,1,3,50,BAL,SF,3,3,45,0,0,"(3:50) (SHOTGUN) 8-L.JACKSON PASS INCOMPLETE DEEP LEFT TO 80-I.LIKELY. PENALTY ON SF-31-T.GIPSON, DEFENSIVE PASS INTERFERENCE, 21 YARDS, ENFORCED AT BAL 45 - NO PLAY.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,1,0,0,,45,OWN,1,SF,1,DEFENSIVE PASS INTERFERENCE,21,16,670,0,0
2023122502,2023-12-25,1,3,44,BAL,SF,1,10,66,0,0,(3:44) 35-G.EDWARDS LEFT TACKLE TO SF 30 FOR 4 YARDS (98-J.HARGRAVE).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,34,OPP,0,,0,,0,16,676,0,0
2023122502,2023-12-25,1,3,7,BAL,SF,2,6,70,0,0,"(3:07) (SHOTGUN) 8-L.JACKSON PASS INCOMPLETE DEEP RIGHT TO 3-O.BECKHAM. PENALTY ON SF-31-T.GIPSON, FACE MASK, 16 YARDS, ENFORCED AT SF 30 - NO PLAY. PENALTY ON SF-7-C.WARD, DEFENSIVE HOLDING, DECLINED.",0,2023,0,SHOTGUN,PASS,0,1,1,0,DEEP RIGHT,0,0,0,,0,0,1,0,0,,30,OPP,0,SF,1,FACE MASK,0,16,713,0,0
2023122502,2023-12-25,1,3,0,BAL,SF,1,10,86,0,0,(3:00) (SHOTGUN) 43-J.HILL LEFT END TO SF 9 FOR 5 YARDS (27-J.BROWN).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,14,OPP,0,,0,,0,16,720,0,0
2023122502,2023-12-25,1,2,25,BAL,SF,2,5,91,0,0,"(2:25) (SHOTGUN) 8-L.JACKSON LEFT END TO SF 12 FOR -3 YARDS (97-N.BOSA, 57-D.GREENLAW).",0,2023,-3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,9,OPP,0,,0,,0,16,755,0,0
2023122502,2023-12-25,1,1,42,BAL,SF,3,8,88,0,0,(1:42) (SHOTGUN) 8-L.JACKSON PASS SHORT LEFT TO 15-N.AGHOLOR TO SF 10 FOR 2 YARDS (20-A.THOMAS).,0,2023,2,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,12,OPP,0,,0,,0,16,798,0,0
