GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,KC,LV
2023122500,2023-12-25,1,1,18,KC,LV,0,0,65,1,0,2-D.CARLSON KICKS 57 YARDS FROM LV 35 TO KC 8. 17-R.JAMES TO KC 25 FOR 17 YARDS (59-L.MASTERSON).,0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,822,0,0
2023122500,2023-12-25,1,1,18,KC,LV,0,0,100,1,0,TIMEOUT AT 01:18.,0,2023,0,UNDER CENTER,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,822,0,0
2023122500,2023-12-25,1,1,14,KC,LV,1,10,25,0,0,(1:14) (SHOTGUN) 15-P.MAHOMES PASS SHORT RIGHT TO 10-I.PACHECO TO KC 19 FOR -6 YARDS (39-N.HOBBS).,0,2023,-6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,826,0,0
2023122500,2023-12-25,1,0,39,KC,LV,2,16,19,0,0,"(:39) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 10-I.PACHECO TO KC 20 FOR 1 YARD (41-R.SPILLANE, 21-A.ROBERTSON).",0,2023,1,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,19,OWN,0,,0,,0,861,0,0
2023122500,2023-12-25,2,15,0,KC,LV,3,15,20,0,0,"(15:00) (SHOTGUN) 15-P.MAHOMES PASS INCOMPLETE SHORT LEFT TO 87-T.KELCE. PENALTY ON LV-21-A.ROBERTSON, DEFENSIVE HOLDING, 5 YARDS, ENFORCED AT KC 20 - NO PLAY. PENALTY ON LV-21-A.ROBERTSON, DEFENSIVE OFFSIDE, DECLINED.",0,2023,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,1,0,0,,20,OWN,0,LV,1,DEFENSIVE HOLDING,0,900,0,0
2023122500,2023-12-25,1,0,0,KC,LV,0,0,100,1,0,END QUARTER 1,0,2023,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,,0,OPP,0,,0,,0,900,0,0
2023122500,2023-12-25,2,14,56,KC,LV,1,10,25,0,0,(14:56) 15-P.MAHOMES PASS INCOMPLETE SHORT RIGHT [98-M.CROSBY].,0,2023,0,UNDER CENTER,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,904,0,0
2023122500,2023-12-25,2,14,50,KC,LV,2,10,25,0,0,(14:50) 10-I.PACHECO LEFT END TO KC 22 FOR -3 YARDS (51-M.KOONCE).,0,2023,-3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0,910,0,0
2023122500,2023-12-25,2,14,6,KC,LV,3,13,22,0,0,(14:06) (SHOTGUN) 15-P.MAHOMES PASS SHORT LEFT TO 4-R.RICE PUSHED OB AT KC 33 FOR 11 YARDS (21-A.ROBERTSON) [51-M.KOONCE].,0,2023,11,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,22,OWN,0,,0,,0,954,0,0
2023122500,2023-12-25,2,13,24,KC,LV,4,2,33,0,0,"(13:24) 5-T.TOWNSEND PUNTS 42 YARDS TO LV 25, CENTER-41-J.WINCHESTER, FAIR CATCH BY 3-D.CARTER.",0,2023,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,996,0,0
